,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,חיפה - מפרץ,24.11.2024,13:04:31,2024-11-24T13:05:00,1,ירי רקטות וטילים,1,52213,חיפה - מפרץ,Haifa - Bay,حيفا - مفراتس,Хайфа - Мифрац
1,חיפה - מפרץ,23.11.2024,04:18:54,2024-11-23T04:19:00,1,ירי רקטות וטילים,1,51869,חיפה - מפרץ,Haifa - Bay,حيفا - مفراتس,Хайфа - Мифрац
2,חיפה - מפרץ,22.11.2024,02:09:03,2024-11-22T02:09:00,1,ירי רקטות וטילים,1,51704,חיפה - מפרץ,Haifa - Bay,حيفا - مفراتس,Хайфа - Мифрац
3,חיפה - מפרץ,20.11.2024,06:43:32,2024-11-20T06:44:00,2,חדירת כלי טיס עוין,6,51570,חיפה - מפרץ,Haifa - Bay,حيفا - مفراتس,Хайфа - Мифрац
4,חיפה - מפרץ,16.11.2024,19:44:29,2024-11-16T19:44:00,1,ירי רקטות וטילים,1,51046,חיפה - מפרץ,Haifa - Bay,حيفا - مفراتس,Хайфа - Мифрац
5,חיפה - מפרץ,16.11.2024,14:44:46,2024-11-16T14:45:00,1,ירי רקטות וטילים,1,51014,חיפה - מפרץ,Haifa - Bay,حيفا - مفراتس,Хайфа - Мифрац
6,חיפה - מפרץ,15.11.2024,09:01:24,2024-11-15T09:01:00,1,ירי רקטות וטילים,1,50898,חיפה - מפרץ,Haifa - Bay,حيفا - مفراتس,Хайфа - Мифрац
7,חיפה - מפרץ,14.11.2024,18:55:50,2024-11-14T18:56:00,2,חדירת כלי טיס עוין,6,50802,חיפה - מפרץ,Haifa - Bay,حيفا - مفراتس,Хайфа - Мифрац
8,חיפה - מפרץ,14.11.2024,15:53:15,2024-11-14T15:53:00,1,ירי רקטות וטילים,1,50752,חיפה - מפרץ,Haifa - Bay,حيفا - مفراتس,Хайфа - Мифрац
9,חיפה - מפרץ,12.11.2024,09:34:33,2024-11-12T09:35:00,2,חדירת כלי טיס עוין,6,50287,חיפה - מפרץ,Haifa - Bay,حيفا - مفراتس,Хайфа - Мифрац
10,חיפה - מפרץ,11.11.2024,15:42:21,2024-11-11T15:42:00,1,ירי רקטות וטילים,1,50131,חיפה - מפרץ,Haifa - Bay,حيفا - مفراتس,Хайфа - Мифрац
11,חיפה - מפרץ,08.11.2024,07:44:33,2024-11-08T07:45:00,1,ירי רקטות וטילים,1,49627,חיפה - מפרץ,Haifa - Bay,حيفا - مفراتس,Хайфа - Мифрац
12,חיפה - מפרץ,07.11.2024,16:14:50,2024-11-07T16:15:00,1,ירי רקטות וטילים,1,49539,חיפה - מפרץ,Haifa - Bay,حيفا - مفراتس,Хайфа - Мифрац
13,חיפה - מפרץ,07.11.2024,15:03:53,2024-11-07T15:04:00,1,ירי רקטות וטילים,1,49498,חיפה - מפרץ,Haifa - Bay,حيفا - مفراتس,Хайфа - Мифрац
14,חיפה - מפרץ,05.11.2024,06:38:26,2024-11-05T06:38:00,1,ירי רקטות וטילים,1,49023,חיפה - מפרץ,Haifa - Bay,حيفا - مفراتس,Хайфа - Мифрац
15,חיפה - מפרץ,03.11.2024,17:34:37,2024-11-03T17:35:00,2,חדירת כלי טיס עוין,6,48917,חיפה - מפרץ,Haifa - Bay,حيفا - مفراتس,Хайфа - Мифрац
16,חיפה - מפרץ,02.11.2024,16:28:38,2024-11-02T16:29:00,2,חדירת כלי טיס עוין,6,48776,חיפה - מפרץ,Haifa - Bay,حيفا - مفراتس,Хайфа - Мифрац
17,חיפה - מפרץ,02.11.2024,08:21:00,2024-11-02T08:21:00,2,חדירת כלי טיס עוין,6,48557,חיפה - מפרץ,Haifa - Bay,حيفا - مفراتس,Хайфа - Мифрац
