,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,חיפה - נווה שאנן ורמות כרמל,24.11.2024,13:03:52,2024-11-24T13:04:00,1,ירי רקטות וטילים,1,52190,חיפה - נווה שאנן ורמות כרמל,Haifa - Ramot HaCarmel and Neveh Sha'anan,حيفا نيفيه شعنان,Хайфа - Неве Шаанан и Рамот
1,חיפה - נווה שאנן ורמות כרמל,22.11.2024,16:34:41,2024-11-22T16:35:00,1,ירי רקטות וטילים,1,51760,חיפה - נווה שאנן ורמות כרמל,Haifa - Ramot HaCarmel and Neveh Sha'anan,حيفا نيفيه شعنان,Хайфа - Неве Шаанан и Рамот
2,חיפה - נווה שאנן ורמות כרמל,22.11.2024,02:09:05,2024-11-22T02:09:00,1,ירי רקטות וטילים,1,51702,חיפה - נווה שאנן ורמות כרמל,Haifa - Ramot HaCarmel and Neveh Sha'anan,حيفا نيفيه شعنان,Хайфа - Неве Шаанан и Рамот
3,חיפה - נווה שאנן ורמות כרמל,16.11.2024,19:44:16,2024-11-16T19:44:00,1,ירי רקטות וטילים,1,51041,חיפה - נווה שאנן ורמות כרמל,Haifa - Ramot HaCarmel and Neveh Sha'anan,حيفا نيفيه شعنان,Хайфа - Неве Шаанан и Рамот
4,חיפה - נווה שאנן ורמות כרמל,14.11.2024,18:55:50,2024-11-14T18:56:00,2,חדירת כלי טיס עוין,6,50803,חיפה - נווה שאנן ורמות כרמל,Haifa - Ramot HaCarmel and Neveh Sha'anan,حيفا نيفيه شعنان,Хайфа - Неве Шаанан и Рамот
5,חיפה - נווה שאנן ורמות כרמל,14.11.2024,15:53:15,2024-11-14T15:53:00,1,ירי רקטות וטילים,1,50753,חיפה - נווה שאנן ורמות כרמל,Haifa - Ramot HaCarmel and Neveh Sha'anan,حيفا نيفيه شعنان,Хайфа - Неве Шаанан и Рамот
6,חיפה - נווה שאנן ורמות כרמל,11.11.2024,15:43:13,2024-11-11T15:43:00,1,ירי רקטות וטילים,1,50165,חיפה - נווה שאנן ורמות כרמל,Haifa - Ramot HaCarmel and Neveh Sha'anan,حيفا نيفيه شعنان,Хайфа - Неве Шаанан и Рамот
7,חיפה - נווה שאנן ורמות כרמל,07.11.2024,15:03:53,2024-11-07T15:04:00,1,ירי רקטות וטילים,1,49499,חיפה - נווה שאנן ורמות כרמל,Haifa - Ramot HaCarmel and Neveh Sha'anan,حيفا نيفيه شعنان,Хайфа - Неве Шаанан и Рамот
8,חיפה - נווה שאנן ורמות כרמל,05.11.2024,06:38:26,2024-11-05T06:38:00,1,ירי רקטות וטילים,1,49024,חיפה - נווה שאנן ורמות כרמל,Haifa - Ramot HaCarmel and Neveh Sha'anan,حيفا نيفيه شعنان,Хайфа - Неве Шаанан и Рамот
9,חיפה - נווה שאנן ורמות כרמל,30.10.2024,06:20:07,2024-10-30T06:20:00,1,ירי רקטות וטילים,1,48042,חיפה - נווה שאנן ורמות כרמל,Haifa - Ramot HaCarmel and Neveh Sha'anan,حيفا نيفيه شعنان,Хайфа - Неве Шаанан и Рамот
