,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,חיפה - קריית חיים ושמואל,24.11.2024,18:12:22,2024-11-24T18:12:00,1,ירי רקטות וטילים,1,52376,חיפה - קריית חיים ושמואל,Haifa - Kiryat Haim and Shmuel ,حيفا - كريات حاييم وشموئيل,Хайфа - Кирьят Хаим и Шмуэль
1,חיפה - קריית חיים ושמואל,24.11.2024,13:04:31,2024-11-24T13:05:00,1,ירי רקטות וטילים,1,52214,חיפה - קריית חיים ושמואל,Haifa - Kiryat Haim and Shmuel ,حيفا - كريات حاييم وشموئيل,Хайфа - Кирьят Хаим и Шмуэль
2,חיפה - קריית חיים ושמואל,23.11.2024,04:18:55,2024-11-23T04:19:00,1,ירי רקטות וטילים,1,51867,חיפה - קריית חיים ושמואל,Haifa - Kiryat Haim and Shmuel ,حيفا - كريات حاييم وشموئيل,Хайфа - Кирьят Хаим и Шмуэль
3,חיפה - קריית חיים ושמואל,22.11.2024,02:09:03,2024-11-22T02:09:00,1,ירי רקטות וטילים,1,51705,חיפה - קריית חיים ושמואל,Haifa - Kiryat Haim and Shmuel ,حيفا - كريات حاييم وشموئيل,Хайфа - Кирьят Хаим и Шмуэль
4,חיפה - קריית חיים ושמואל,16.11.2024,19:45:15,2024-11-16T19:45:00,1,ירי רקטות וטילים,1,51048,חיפה - קריית חיים ושמואל,Haifa - Kiryat Haim and Shmuel ,حيفا - كريات حاييم وشموئيل,Хайфа - Кирьят Хаим и Шмуэль
5,חיפה - קריית חיים ושמואל,16.11.2024,14:44:46,2024-11-16T14:45:00,1,ירי רקטות וטילים,1,51015,חיפה - קריית חיים ושמואל,Haifa - Kiryat Haim and Shmuel ,حيفا - كريات حاييم وشموئيل,Хайфа - Кирьят Хаим и Шмуэль
6,חיפה - קריית חיים ושמואל,15.11.2024,09:01:24,2024-11-15T09:01:00,1,ירי רקטות וטילים,1,50899,חיפה - קריית חיים ושמואל,Haifa - Kiryat Haim and Shmuel ,حيفا - كريات حاييم وشموئيل,Хайфа - Кирьят Хаим и Шмуэль
7,חיפה - קריית חיים ושמואל,15.11.2024,06:53:27,2024-11-15T06:53:00,1,ירי רקטות וטילים,1,50868,חיפה - קריית חיים ושמואל,Haifa - Kiryat Haim and Shmuel ,حيفا - كريات حاييم وشموئيل,Хайфа - Кирьят Хаим и Шмуэль
8,חיפה - קריית חיים ושמואל,14.11.2024,15:53:58,2024-11-14T15:54:00,1,ירי רקטות וטילים,1,50755,חיפה - קריית חיים ושמואל,Haifa - Kiryat Haim and Shmuel ,حيفا - كريات حاييم وشموئيل,Хайфа - Кирьят Хаим и Шмуэль
9,חיפה - קריית חיים ושמואל,12.11.2024,09:34:06,2024-11-12T09:34:00,2,חדירת כלי טיס עוין,6,50282,חיפה - קריית חיים ושמואל,Haifa - Kiryat Haim and Shmuel ,حيفا - كريات حاييم وشموئيل,Хайфа - Кирьят Хаим и Шмуэль
10,חיפה - קריית חיים ושמואל,11.11.2024,15:42:21,2024-11-11T15:42:00,1,ירי רקטות וטילים,1,50132,חיפה - קריית חיים ושמואל,Haifa - Kiryat Haim and Shmuel ,حيفا - كريات حاييم وشموئيل,Хайфа - Кирьят Хаим и Шмуэль
11,חיפה - קריית חיים ושמואל,08.11.2024,07:44:33,2024-11-08T07:45:00,1,ירי רקטות וטילים,1,49628,חיפה - קריית חיים ושמואל,Haifa - Kiryat Haim and Shmuel ,حيفا - كريات حاييم وشموئيل,Хайфа - Кирьят Хаим и Шмуэль
