,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,חצור הגלילית,24.11.2024,12:11:09,2024-11-24T12:11:00,1,ירי רקטות וטילים,1,52099,חצור הגלילית,Hatzor HaGlilit,حتسور هجليليت,Хацор ха-Глилит
1,חצור הגלילית,23.11.2024,15:31:40,2024-11-23T15:32:00,1,ירי רקטות וטילים,1,51902,חצור הגלילית,Hatzor HaGlilit,حتسور هجليليت,Хацор ха-Глилит
2,חצור הגלילית,23.11.2024,12:21:55,2024-11-23T12:22:00,1,ירי רקטות וטילים,1,51893,חצור הגלילית,Hatzor HaGlilit,حتسور هجليليت,Хацор ха-Глилит
3,חצור הגלילית,19.11.2024,17:04:49,2024-11-19T17:05:00,2,חדירת כלי טיס עוין,6,51512,חצור הגלילית,Hatzor HaGlilit,حتسور هجليليت,Хацор ха-Глилит
4,חצור הגלילית,19.11.2024,10:58:34,2024-11-19T10:59:00,2,חדירת כלי טיס עוין,6,51449,חצור הגלילית,Hatzor HaGlilit,حتسور هجليليت,Хацор ха-Глилит
5,חצור הגלילית,11.11.2024,17:30:21,2024-11-11T17:30:00,1,ירי רקטות וטילים,1,50220,חצור הגלילית,Hatzor HaGlilit,حتسور هجليليت,Хацор ха-Глилит
6,חצור הגלילית,11.11.2024,17:25:29,2024-11-11T17:25:00,1,ירי רקטות וטילים,1,50217,חצור הגלילית,Hatzor HaGlilit,حتسور هجليليت,Хацор ха-Глилит
7,חצור הגלילית,11.11.2024,16:40:16,2024-11-11T16:40:00,1,ירי רקטות וטילים,1,50206,חצור הגלילית,Hatzor HaGlilit,حتسور هجليليت,Хацор ха-Глилит
8,חצור הגלילית,09.11.2024,08:06:52,2024-11-09T08:07:00,1,ירי רקטות וטילים,1,49818,חצור הגלילית,Hatzor HaGlilit,حتسور هجليليت,Хацор ха-Глилит
9,חצור הגלילית,06.11.2024,15:09:06,2024-11-06T15:09:00,1,ירי רקטות וטילים,1,49344,חצור הגלילית,Hatzor HaGlilit,حتسور هجليليت,Хацор ха-Глилит
10,חצור הגלילית,04.11.2024,09:25:20,2024-11-04T09:25:00,1,ירי רקטות וטילים,1,48965,חצור הגלילית,Hatzor HaGlilit,حتسور هجليليت,Хацор ха-Глилит
11,חצור הגלילית,02.11.2024,06:52:54,2024-11-02T06:53:00,1,ירי רקטות וטילים,1,48479,חצור הגלילית,Hatzor HaGlilit,حتسور هجليليت,Хацор ха-Глилит
12,חצור הגלילית,30.10.2024,15:18:25,2024-10-30T15:18:00,1,ירי רקטות וטילים,1,48116,חצור הגלילית,Hatzor HaGlilit,حتسور هجليليت,Хацор ха-Глилит
13,חצור הגלילית,28.10.2024,23:27:00,2024-10-28T23:27:00,1,ירי רקטות וטילים,1,47571,חצור הגלילית,Hatzor HaGlilit,حتسور هجليليت,Хацор ха-Глилит
14,חצור הגלילית,25.10.2024,18:15:37,2024-10-25T18:16:00,1,ירי רקטות וטילים,1,47158,חצור הגלילית,Hatzor HaGlilit,حتسور هجليليت,Хацор ха-Глилит
15,חצור הגלילית,24.10.2024,10:53:08,2024-10-24T10:53:00,1,ירי רקטות וטילים,1,46939,חצור הגלילית,Hatzor HaGlilit,حتسور هجليليت,Хацор ха-Глилит
16,חצור הגלילית,24.10.2024,10:52:28,2024-10-24T10:52:00,1,ירי רקטות וטילים,1,46930,חצור הגלילית,Hatzor HaGlilit,حتسور هجليليت,Хацор ха-Глилит
17,חצור הגלילית,20.10.2024,12:30:36,2024-10-20T12:31:00,1,ירי רקטות וטילים,1,45674,חצור הגלילית,Hatzor HaGlilit,حتسور هجليليت,Хацор ха-Глилит
18,חצור הגלילית,20.10.2024,12:29:56,2024-10-20T12:30:00,1,ירי רקטות וטילים,1,45664,חצור הגלילית,Hatzor HaGlilit,حتسور هجليليت,Хацор ха-Глилит
