,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,טירת יהודה,24.11.2024,12:52:33,2024-11-24T12:53:00,1,ירי רקטות וטילים,1,52129,טירת יהודה,Tirat Yehuda,طيرات يهودا,Тират Иеуда
1,טירת יהודה,12.11.2024,16:35:06,2024-11-12T16:35:00,1,ירי רקטות וטילים,1,50385,טירת יהודה,Tirat Yehuda,طيرات يهودا,Тират Иеуда
2,טירת יהודה,06.11.2024,16:17:26,2024-11-06T16:17:00,1,ירי רקטות וטילים,1,49393,טירת יהודה,Tirat Yehuda,طيرات يهودا,Тират Иеуда
3,טירת יהודה,06.11.2024,11:23:11,2024-11-06T11:23:00,1,ירי רקטות וטילים,1,49320,טירת יהודה,Tirat Yehuda,طيرات يهودا,Тират Иеуда
4,טירת יהודה,07.10.2024,17:43:49,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42733,טירת יהודה,Tirat Yehuda,طيرات يهودا,Тират Иеуда
5,טירת יהודה,01.10.2024,19:39:37,2024-10-01T19:40:00,1,ירי רקטות וטילים,1,40297,טירת יהודה,Tirat Yehuda,طيرات يهودا,Тират Иеуда
6,טירת יהודה,28.09.2024,17:41:08,2024-09-28T17:41:00,1,ירי רקטות וטילים,1,39021,טירת יהודה,Tirat Yehuda,طيرات يهودا,Тират Иеуда
7,טירת יהודה,27.09.2024,00:40:30,2024-09-27T00:41:00,1,ירי רקטות וטילים,1,38031,טירת יהודה,Tirat Yehuda,طيرات يهودا,Тират Иеуда
8,טירת יהודה,15.09.2024,06:32:26,2024-09-15T06:32:00,1,ירי רקטות וטילים,1,36189,טירת יהודה,Tirat Yehuda,طيرات يهودا,Тират Иеуда
9,טירת יהודה,02.12.2023,22:01:13,2023-12-02T22:01:00,1,ירי רקטות וטילים,1,25928,טירת יהודה,Tirat Yehuda,طيرات يهودا,Тират Иеуда
10,טירת יהודה,20.11.2023,18:03:48,2023-11-20T18:04:00,1,ירי רקטות וטילים,1,25439,טירת יהודה,Tirat Yehuda,طيرات يهودا,Тират Иеуда
11,טירת יהודה,17.11.2023,18:02:14,2023-11-17T18:02:00,1,ירי רקטות וטילים,1,25152,טירת יהודה,Tirat Yehuda,طيرات يهودا,Тират Иеуда
12,טירת יהודה,02.11.2023,17:01:28,2023-11-02T17:01:00,1,ירי רקטות וטילים,1,24346,טירת יהודה,Tirat Yehuda,طيرات يهودا,Тират Иеуда
13,טירת יהודה,24.10.2023,15:16:12,2023-10-24T15:16:00,1,ירי רקטות וטילים,1,23275,טירת יהודה,Tirat Yehuda,طيرات يهودا,Тират Иеуда
14,טירת יהודה,07.10.2023,21:19:56,2023-10-07T21:20:00,1,ירי רקטות וטילים,1,20491,טירת יהודה,Tirat Yehuda,طيرات يهودا,Тират Иеуда
