,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,טירת כרמל,24.11.2024,13:04:17,2024-11-24T13:04:00,1,ירי רקטות וטילים,1,52207,טירת כרמל,Tirat Carmel,طيرات كرمل,Тират Кармель
1,טירת כרמל,22.11.2024,16:34:41,2024-11-22T16:35:00,1,ירי רקטות וטילים,1,51762,טירת כרמל,Tirat Carmel,طيرات كرمل,Тират Кармель
2,טירת כרמל,16.11.2024,19:44:23,2024-11-16T19:44:00,1,ירי רקטות וטילים,1,51044,טירת כרמל,Tirat Carmel,طيرات كرمل,Тират Кармель
3,טירת כרמל,12.11.2024,12:55:24,2024-11-12T12:55:00,1,ירי רקטות וטילים,1,50295,טירת כרמל,Tirat Carmel,طيرات كرمل,Тират Кармель
4,טירת כרמל,07.11.2024,15:03:53,2024-11-07T15:04:00,1,ירי רקטות וטילים,1,49504,טירת כרמל,Tirat Carmel,طيرات كرمل,Тират Кармель
5,טירת כרמל,05.11.2024,06:38:26,2024-11-05T06:38:00,1,ירי רקטות וטילים,1,49038,טירת כרמל,Tirat Carmel,طيرات كرمل,Тират Кармель
6,טירת כרמל,22.10.2024,04:51:29,2024-10-22T04:51:00,1,ירי רקטות וטילים,1,46219,טירת כרמל,Tirat Carmel,طيرات كرمل,Тират Кармель
7,טירת כרמל,20.10.2024,15:40:50,2024-10-20T15:41:00,1,ירי רקטות וטילים,1,45700,טירת כרמל,Tirat Carmel,طيرات كرمل,Тират Кармель
8,טירת כרמל,20.10.2024,09:37:42,2024-10-20T09:38:00,1,ירי רקטות וטילים,1,45560,טירת כרמל,Tirat Carmel,طيرات كرمل,Тират Кармель
9,טירת כרמל,19.10.2024,08:02:52,2024-10-19T08:03:00,1,ירי רקטות וטילים,1,45376,טירת כרמל,Tirat Carmel,طيرات كرمل,Тират Кармель
10,טירת כרמל,15.10.2024,07:27:51,2024-10-15T07:28:00,1,ירי רקטות וטילים,1,44705,טירת כרמל,Tirat Carmel,طيرات كرمل,Тират Кармель
11,טירת כרמל,14.10.2024,17:16:40,2024-10-14T17:17:00,1,ירי רקטות וטילים,1,44338,טירת כרמל,Tirat Carmel,طيرات كرمل,Тират Кармель
12,טירת כרמל,14.10.2024,09:32:10,2024-10-14T09:32:00,1,ירי רקטות וטילים,1,44183,טירת כרמל,Tirat Carmel,طيرات كرمل,Тират Кармель
13,טירת כרמל,13.10.2024,23:04:25,2024-10-13T23:04:00,1,ירי רקטות וטילים,1,44170,טירת כרמל,Tirat Carmel,طيرات كرمل,Тират Кармель
14,טירת כרמל,13.10.2024,08:59:58,2024-10-13T09:00:00,1,ירי רקטות וטילים,1,43928,טירת כרמל,Tirat Carmel,طيرات كرمل,Тират Кармель
15,טירת כרמל,12.10.2024,13:07:41,2024-10-12T13:08:00,1,ירי רקטות וטילים,1,43780,טירת כרמל,Tirat Carmel,طيرات كرمل,Тират Кармель
16,טירת כרמל,09.10.2024,08:28:22,2024-10-09T08:28:00,1,ירי רקטות וטילים,1,43171,טירת כרמל,Tirat Carmel,طيرات كرمل,Тират Кармель
17,טירת כרמל,06.10.2024,23:22:41,2024-10-06T23:23:00,1,ירי רקטות וטילים,1,42427,טירת כרמל,Tirat Carmel,طيرات كرمل,Тират Кармель
18,טירת כרמל,06.10.2024,08:29:57,2024-10-06T08:30:00,1,ירי רקטות וטילים,1,42323,טירת כרמל,Tirat Carmel,طيرات كرمل,Тират Кармель
19,טירת כרמל,05.10.2024,13:26:43,2024-10-05T13:27:00,1,ירי רקטות וטילים,1,42158,טירת כרמל,Tirat Carmel,طيرات كرمل,Тират Кармель
20,טירת כרמל,04.10.2024,10:52:15,2024-10-04T10:52:00,1,ירי רקטות וטילים,1,41949,טירת כרמל,Tirat Carmel,طيرات كرمل,Тират Кармель
21,טירת כרמל,29.09.2024,21:14:48,2024-09-29T21:15:00,1,ירי רקטות וטילים,1,39232,טירת כרמל,Tirat Carmel,طيرات كرمل,Тират Кармель
22,טירת כרמל,27.09.2024,08:34:06,2024-09-27T08:34:00,1,ירי רקטות וטילים,1,38113,טירת כרמל,Tirat Carmel,طيرات كرمل,Тират Кармель
23,טירת כרמל,23.09.2024,19:42:34,2024-09-23T19:43:00,1,ירי רקטות וטילים,1,37310,טירת כרמל,Tirat Carmel,طيرات كرمل,Тират Кармель
