,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,טמרה,24.11.2024,18:12:22,2024-11-24T18:12:00,1,ירי רקטות וטילים,1,52386,טמרה,Tamra,طمره,Тамра
1,טמרה,24.11.2024,18:09:11,2024-11-24T18:09:00,1,ירי רקטות וטילים,1,52330,טמרה,Tamra,طمره,Тамра
2,טמרה,22.11.2024,15:35:38,2024-11-22T15:36:00,1,ירי רקטות וטילים,1,51746,טמרה,Tamra,طمره,Тамра
3,טמרה,18.11.2024,18:27:07,2024-11-18T18:27:00,1,ירי רקטות וטילים,1,51197,טמרה,Tamra,طمره,Тамра
4,טמרה,16.11.2024,10:46:58,2024-11-16T10:47:00,1,ירי רקטות וטילים,1,50986,טמרה,Tamra,طمره,Тамра
5,טמרה,11.11.2024,15:42:40,2024-11-11T15:43:00,1,ירי רקטות וטילים,1,50149,טמרה,Tamra,طمره,Тамра
6,טמרה,08.11.2024,15:54:05,2024-11-08T15:54:00,1,ירי רקטות וטילים,1,49769,טמרה,Tamra,طمره,Тамра
7,טמרה,08.11.2024,15:19:36,2024-11-08T15:20:00,1,ירי רקטות וטילים,1,49731,טמרה,Tamra,طمره,Тамра
8,טמרה,06.11.2024,18:02:02,2024-11-06T18:02:00,1,ירי רקטות וטילים,1,49414,טמרה,Tamra,طمره,Тамра
9,טמרה,02.11.2024,11:05:11,2024-11-02T11:05:00,1,ירי רקטות וטילים,1,48600,טמרה,Tamra,طمره,Тамра
10,טמרה,02.11.2024,09:16:32,2024-11-02T09:17:00,1,ירי רקטות וטילים,1,48579,טמרה,Tamra,طمره,Тамра
11,טמרה,02.11.2024,07:15:12,2024-11-02T07:15:00,1,ירי רקטות וטילים,1,48501,טמרה,Tamra,طمره,Тамра
12,טמרה,31.10.2024,15:12:40,2024-10-31T15:13:00,1,ירי רקטות וטילים,1,48317,טמרה,Tamra,طمره,Тамра
13,טמרה,30.10.2024,13:23:11,2024-10-30T13:23:00,1,ירי רקטות וטילים,1,48085,טמרה,Tamra,طمره,Тамра
14,טמרה,27.10.2024,12:31:04,2024-10-27T12:31:00,1,ירי רקטות וטילים,1,47369,טמרה,Tamra,طمره,Тамра
15,טמרה,23.10.2024,11:03:21,2024-10-23T11:03:00,1,ירי רקטות וטילים,1,46577,טמרה,Tamra,طمره,Тамра
16,טמרה,22.10.2024,04:52:55,2024-10-22T04:53:00,1,ירי רקטות וטילים,1,46252,טמרה,Tamra,طمره,Тамра
17,טמרה,21.10.2024,12:28:43,2024-10-21T12:29:00,1,ירי רקטות וטילים,1,45991,טמרה,Tamra,طمره,Тамра
18,טמרה,19.10.2024,12:26:05,2024-10-19T12:26:00,1,ירי רקטות וטילים,1,45469,טמרה,Tamra,طمره,Тамра
19,טמרה,19.10.2024,10:23:28,2024-10-19T10:23:00,1,ירי רקטות וטילים,1,45399,טמרה,Tamra,طمره,Тамра
20,טמרה,18.10.2024,06:59:29,2024-10-18T06:59:00,1,ירי רקטות וטילים,1,45237,טמרה,Tamra,طمره,Тамра
21,טמרה,17.10.2024,07:29:02,2024-10-17T07:29:00,1,ירי רקטות וטילים,1,45095,טמרה,Tamra,طمره,Тамра
22,טמרה,17.10.2024,03:28:33,2024-10-17T03:29:00,1,ירי רקטות וטילים,1,45023,טמרה,Tamra,طمره,Тамра
23,טמרה,17.10.2024,03:26:16,2024-10-17T03:26:00,1,ירי רקטות וטילים,1,44930,טמרה,Tamra,طمره,Тамра
24,טמרה,13.10.2024,09:01:24,2024-10-13T09:01:00,1,ירי רקטות וטילים,1,43976,טמרה,Tamra,طمره,Тамра
25,טמרה,11.10.2024,17:21:45,2024-10-11T17:22:00,1,ירי רקטות וטילים,1,43626,טמרה,Tamra,طمره,Тамра
26,טמרה,11.10.2024,16:31:01,2024-10-11T16:31:00,1,ירי רקטות וטילים,1,43545,טמרה,Tamra,طمره,Тамра
27,טמרה,08.10.2024,12:12:21,2024-10-08T12:12:00,1,ירי רקטות וטילים,1,43037,טמרה,Tamra,طمره,Тамра
28,טמרה,05.10.2024,16:44:45,2024-10-05T16:45:00,1,ירי רקטות וטילים,1,42225,טמרה,Tamra,طمره,Тамра
29,טמרה,04.10.2024,13:00:19,2024-10-04T13:00:00,1,ירי רקטות וטילים,1,42005,טמרה,Tamra,طمره,Тамра
30,טמרה,03.10.2024,21:48:20,2024-10-03T21:48:00,1,ירי רקטות וטילים,1,41843,טמרה,Tamra,طمره,Тамра
31,טמרה,01.10.2024,16:10:52,2024-10-01T16:11:00,1,ירי רקטות וטילים,1,39502,טמרה,Tamra,طمره,Тамра
32,טמרה,30.09.2024,19:54:10,2024-09-30T19:54:00,1,ירי רקטות וטילים,1,39373,טמרה,Tamra,طمره,Тамра
33,טמרה,29.09.2024,21:15:11,2024-09-29T21:15:00,1,ירי רקטות וטילים,1,39301,טמרה,Tamra,طمره,Тамра
34,טמרה,28.09.2024,10:43:27,2024-09-28T10:43:00,1,ירי רקטות וטילים,1,38817,טמרה,Tamra,طمره,Тамра
35,טמרה,28.09.2024,09:35:21,2024-09-28T09:35:00,1,ירי רקטות וטילים,1,38565,טמרה,Tamra,طمره,Тамра
36,טמרה,28.09.2024,07:59:03,2024-09-28T07:59:00,1,ירי רקטות וטילים,1,38227,טמרה,Tamra,طمره,Тамра
37,טמרה,25.09.2024,13:37:04,2024-09-25T13:37:00,1,ירי רקטות וטילים,1,37869,טמרה,Tamra,طمره,Тамра
38,טמרה,24.09.2024,07:42:34,2024-09-24T07:43:00,1,ירי רקטות וטילים,1,37419,טמרה,Tamra,طمره,Тамра
39,טמרה,22.09.2024,06:29:39,2024-09-22T06:30:00,1,ירי רקטות וטילים,1,36732,טמרה,Tamra,طمره,Тамра
40,טמרה,24.08.2024,01:22:20,2024-08-24T01:22:00,1,ירי רקטות וטילים,1,35363,טמרה,Tamra,طمره,Тамра
