,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,יהוד מונוסון,24.11.2024,12:52:33,2024-11-24T12:53:00,1,ירי רקטות וטילים,1,52123,יהוד מונוסון,Yehud-Monosson,يهود- مونوسون,Йехуд-Моноссон
1,יהוד מונוסון,12.11.2024,16:35:26,2024-11-12T16:35:00,1,ירי רקטות וטילים,1,50394,יהוד מונוסון,Yehud-Monosson,يهود- مونوسون,Йехуд-Моноссон
2,יהוד מונוסון,06.11.2024,16:17:21,2024-11-06T16:17:00,1,ירי רקטות וטילים,1,49369,יהוד מונוסון,Yehud-Monosson,يهود- مونوسون,Йехуд-Моноссон
3,יהוד מונוסון,06.11.2024,11:21:46,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49217,יהוד מונוסון,Yehud-Monosson,يهود- مونوسون,Йехуд-Моноссон
4,יהוד מונוסון,14.10.2024,17:35:30,2024-10-14T17:36:00,1,ירי רקטות וטילים,1,44504,יהוד מונוסון,Yehud-Monosson,يهود- مونوسون,Йехуд-Моноссон
5,יהוד מונוסון,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42795,יהוד מונוסון,Yehud-Monosson,يهود- مونوسون,Йехуд-Моноссон
6,יהוד מונוסון,01.10.2024,19:39:37,2024-10-01T19:40:00,1,ירי רקטות וטילים,1,40234,יהוד מונוסון,Yehud-Monosson,يهود- مونوسون,Йехуд-Моноссон
7,יהוד מונוסון,28.09.2024,17:41:08,2024-09-28T17:41:00,1,ירי רקטות וטילים,1,38978,יהוד מונוסון,Yehud-Monosson,يهود- مونوسون,Йехуд-Моноссон
8,יהוד מונוסון,27.09.2024,00:40:30,2024-09-27T00:41:00,1,ירי רקטות וטילים,1,37992,יהוד מונוסון,Yehud-Monosson,يهود- مونوسون,Йехуд-Моноссон
9,יהוד מונוסון,15.09.2024,06:32:26,2024-09-15T06:32:00,1,ירי רקטות וטילים,1,36128,יהוד מונוסון,Yehud-Monosson,يهود- مونوسون,Йехуд-Моноссон
