,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,יחיעם,24.11.2024,13:04:01,2024-11-24T13:04:00,1,ירי רקטות וטילים,1,52194,יחיעם,Yechiam,يحيعام,Йехиам
1,יחיעם,15.11.2024,00:18:47,2024-11-15T00:19:00,1,ירי רקטות וטילים,1,50866,יחיעם,Yechiam,يحيعام,Йехиам
2,יחיעם,11.11.2024,15:42:20,2024-11-11T15:42:00,1,ירי רקטות וטילים,1,50136,יחיעם,Yechiam,يحيعام,Йехиам
3,יחיעם,08.11.2024,06:45:39,2024-11-08T06:46:00,1,ירי רקטות וטילים,1,49612,יחיעם,Yechiam,يحيعام,Йехиам
4,יחיעם,07.11.2024,16:15:35,2024-11-07T16:16:00,1,ירי רקטות וטילים,1,49553,יחיעם,Yechiam,يحيعام,Йехиам
5,יחיעם,06.11.2024,16:07:23,2024-11-06T16:07:00,1,ירי רקטות וטילים,1,49359,יחיעם,Yechiam,يحيعام,Йехиам
6,יחיעם,06.11.2024,11:21:42,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49202,יחיעם,Yechiam,يحيعام,Йехиам
7,יחיעם,31.10.2024,16:20:25,2024-10-31T16:20:00,1,ירי רקטות וטילים,1,48350,יחיעם,Yechiam,يحيعام,Йехиам
8,יחיעם,29.10.2024,10:38:49,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47848,יחיעם,Yechiam,يحيعام,Йехиам
9,יחיעם,26.10.2024,09:06:17,2024-10-26T09:06:00,2,חדירת כלי טיס עוין,6,47209,יחיעם,Yechiam,يحيعام,Йехиам
10,יחיעם,26.10.2024,09:05:15,2024-10-26T09:05:00,2,חדירת כלי טיס עוין,6,47205,יחיעם,Yechiam,يحيعام,Йехиам
11,יחיעם,21.10.2024,12:28:43,2024-10-21T12:29:00,1,ירי רקטות וטילים,1,45954,יחיעם,Yechiam,يحيعام,Йехиам
12,יחיעם,17.10.2024,03:28:33,2024-10-17T03:29:00,1,ירי רקטות וטילים,1,44996,יחיעם,Yechiam,يحيعام,Йехиам
13,יחיעם,14.10.2024,15:13:39,2024-10-14T15:14:00,1,ירי רקטות וטילים,1,44316,יחיעם,Yechiam,يحيعام,Йехиам
14,יחיעם,13.10.2024,18:36:00,2024-10-13T18:36:00,1,ירי רקטות וטילים,1,44091,יחיעם,Yechiam,يحيعام,Йехиам
15,יחיעם,11.10.2024,17:23:03,2024-10-11T17:23:00,1,ירי רקטות וטילים,1,43685,יחיעם,Yechiam,يحيعام,Йехиам
16,יחיעם,02.10.2024,13:08:59,2024-10-02T13:09:00,2,חדירת כלי טיס עוין,6,41599,יחיעם,Yechiam,يحيعام,Йехиам
17,יחיעם,01.10.2024,16:11:39,2024-10-01T16:12:00,1,ירי רקטות וטילים,1,39576,יחיעם,Yechiam,يحيعام,Йехиам
18,יחיעם,29.09.2024,21:15:11,2024-09-29T21:15:00,1,ירי רקטות וטילים,1,39272,יחיעם,Yechiam,يحيعام,Йехиам
19,יחיעם,28.09.2024,10:42:57,2024-09-28T10:43:00,1,ירי רקטות וטילים,1,38793,יחיעם,Yechiam,يحيعام,Йехиам
20,יחיעם,28.09.2024,09:36:21,2024-09-28T09:36:00,1,ירי רקטות וטילים,1,38650,יחיעם,Yechiam,يحيعام,Йехиам
21,יחיעם,28.09.2024,08:01:08,2024-09-28T08:01:00,1,ירי רקטות וטילים,1,38326,יחיעם,Yechiam,يحيعام,Йехиам
22,יחיעם,18.09.2024,14:59:12,2024-09-18T14:59:00,1,ירי רקטות וטילים,1,36348,יחיעם,Yechiam,يحيعام,Йехиам
23,יחיעם,02.09.2024,16:57:08,2024-09-02T16:57:00,1,ירי רקטות וטילים,1,35716,יחיעם,Yechiam,يحيعام,Йехиам
24,יחיעם,02.09.2024,16:56:17,2024-09-02T16:56:00,1,ירי רקטות וטילים,1,35710,יחיעם,Yechiam,يحيعام,Йехиам
25,יחיעם,11.07.2024,11:04:40,2024-07-11T11:05:00,2,חדירת כלי טיס עוין,6,33960,יחיעם,Yechiam,يحيعام,Йехиам
26,יחיעם,04.07.2024,11:21:10,2024-07-04T11:21:00,2,חדירת כלי טיס עוין,6,33744,יחיעם,Yechiam,يحيعام,Йехиам
27,יחיעם,28.06.2024,19:48:40,2024-06-28T19:49:00,2,חדירת כלי טיס עוין,6,33448,יחיעם,Yechiam,يحيعام,Йехиам
28,יחיעם,13.06.2024,05:04:01,2024-06-13T05:04:00,1,ירי רקטות וטילים,1,32816,יחיעם,Yechiam,يحيعام,Йехиам
29,יחיעם,10.06.2024,12:39:12,2024-06-10T12:39:00,2,חדירת כלי טיס עוין,6,32517,יחיעם,Yechiam,يحيعام,Йехиам
30,יחיעם,07.06.2024,20:13:25,2024-06-07T20:13:00,2,חדירת כלי טיס עוין,6,32393,יחיעם,Yechiam,يحيعام,Йехиам
31,יחיעם,17.05.2024,05:36:21,2024-05-17T05:36:00,2,חדירת כלי טיס עוין,6,31076,יחיעם,Yechiam,يحيعام,Йехиам
32,יחיעם,17.05.2024,05:33:23,2024-05-17T05:33:00,2,חדירת כלי טיס עוין,6,31069,יחיעם,Yechiam,يحيعام,Йехиам
33,יחיעם,17.05.2024,05:31:29,2024-05-17T05:31:00,2,חדירת כלי טיס עוין,6,31062,יחיעם,Yechiam,يحيعام,Йехиам
34,יחיעם,12.05.2024,16:48:11,2024-05-12T16:48:00,2,חדירת כלי טיס עוין,6,30776,יחיעם,Yechiam,يحيعام,Йехиам
35,יחיעם,06.01.2024,08:07:25,2024-01-06T08:07:00,2,חדירת כלי טיס עוין,6,27370,יחיעם,Yechiam,يحيعام,Йехиам
36,יחיעם,11.10.2023,18:20:23,2023-10-11T18:20:00,2,חדירת כלי טיס עוין,6,21532,יחיעם,Yechiam,يحيعام,Йехиам
