,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,ינוב,24.11.2024,18:47:10,2024-11-24T18:47:00,1,ירי רקטות וטילים,1,52449,ינוב,Yanuv,ينوف,Янув
1,ינוב,19.11.2024,08:53:14,2024-11-19T08:53:00,1,ירי רקטות וטילים,1,51369,ינוב,Yanuv,ينوف,Янув
2,ינוב,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51319,ינוב,Yanuv,ينوف,Янув
3,ינוב,13.11.2024,17:47:08,2024-11-13T17:47:00,1,ירי רקטות וטילים,1,50701,ינוב,Yanuv,ينوف,Янув
4,ינוב,06.11.2024,11:21:23,2024-11-06T11:21:00,1,ירי רקטות וטילים,1,49171,ינוב,Yanuv,ينوف,Янув
5,ינוב,14.10.2024,17:37:02,2024-10-14T17:37:00,1,ירי רקטות וטילים,1,44580,ינוב,Yanuv,ينوف,Янув
6,ינוב,14.10.2024,17:33:29,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44447,ינוב,Yanuv,ينوف,Янув
7,ינוב,14.10.2024,11:19:30,2024-10-14T11:20:00,1,ירי רקטות וטילים,1,44206,ינוב,Yanuv,ينوف,Янув
8,ינוב,01.10.2024,18:38:25,2024-10-01T18:38:00,1,ירי רקטות וטילים,1,39678,ינוב,Yanuv,ينوف,Янув
9,ינוב,12.10.2023,08:39:08,2023-10-12T08:39:00,1,ירי רקטות וטילים,1,21764,ינוב,Yanuv,ينوف,Янув
