,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,ינוח ג'ת,24.11.2024,14:37:12,2024-11-24T14:37:00,1,ירי רקטות וטילים,1,52261,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
1,ינוח ג'ת,24.11.2024,08:44:45,2024-11-24T08:45:00,1,ירי רקטות וטילים,1,52058,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
2,ינוח ג'ת,24.11.2024,06:27:42,2024-11-24T06:28:00,2,חדירת כלי טיס עוין,6,51958,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
3,ינוח ג'ת,24.11.2024,06:25:34,2024-11-24T06:26:00,2,חדירת כלי טיס עוין,6,51949,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
4,ינוח ג'ת,24.11.2024,06:23:55,2024-11-24T06:24:00,2,חדירת כלי טיס עוין,6,51945,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
5,ינוח ג'ת,19.11.2024,14:23:45,2024-11-19T14:24:00,1,ירי רקטות וטילים,1,51485,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
6,ינוח ג'ת,19.11.2024,09:50:45,2024-11-19T09:51:00,1,ירי רקטות וטילים,1,51412,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
7,ינוח ג'ת,13.11.2024,12:13:59,2024-11-13T12:14:00,1,ירי רקטות וטילים,1,50475,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
8,ינוח ג'ת,11.11.2024,15:42:20,2024-11-11T15:42:00,1,ירי רקטות וטילים,1,50137,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
9,ינוח ג'ת,11.11.2024,12:08:07,2024-11-11T12:08:00,1,ירי רקטות וטילים,1,50066,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
10,ינוח ג'ת,11.11.2024,12:07:25,2024-11-11T12:07:00,1,ירי רקטות וטילים,1,50011,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
11,ינוח ג'ת,06.11.2024,11:21:42,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49203,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
12,ינוח ג'ת,31.10.2024,16:20:15,2024-10-31T16:20:00,1,ירי רקטות וטילים,1,48346,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
13,ינוח ג'ת,29.10.2024,10:38:52,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47872,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
14,ינוח ג'ת,29.10.2024,10:38:49,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47849,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
15,ינוח ג'ת,29.10.2024,10:38:45,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47829,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
16,ינוח ג'ת,29.10.2024,10:38:41,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47846,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
17,ינוח ג'ת,29.10.2024,10:38:40,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47778,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
18,ינוח ג'ת,29.10.2024,10:38:36,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47806,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
19,ינוח ג'ת,29.10.2024,10:38:35,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47826,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
20,ינוח ג'ת,29.10.2024,10:38:33,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47760,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
21,ינוח ג'ת,29.10.2024,10:38:30,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47724,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
22,ינוח ג'ת,29.10.2024,10:38:28,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47739,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
23,ינוח ג'ת,29.10.2024,10:38:27,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47742,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
24,ינוח ג'ת,29.10.2024,10:38:26,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47744,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
25,ינוח ג'ת,29.10.2024,10:38:25,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47678,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
26,ינוח ג'ת,29.10.2024,10:38:13,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47647,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
27,ינוח ג'ת,29.10.2024,10:38:06,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47634,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
28,ינוח ג'ת,29.10.2024,10:38:00,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47608,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
29,ינוח ג'ת,25.10.2024,14:59:28,2024-10-25T14:59:00,1,ירי רקטות וטילים,1,47128,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
30,ינוח ג'ת,21.10.2024,12:28:43,2024-10-21T12:29:00,1,ירי רקטות וטילים,1,45955,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
31,ינוח ג'ת,17.10.2024,08:12:45,2024-10-17T08:13:00,1,ירי רקטות וטילים,1,45195,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
32,ינוח ג'ת,17.10.2024,03:28:33,2024-10-17T03:29:00,1,ירי רקטות וטילים,1,44997,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
33,ינוח ג'ת,16.10.2024,14:17:52,2024-10-16T14:18:00,1,ירי רקטות וטילים,1,44850,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
34,ינוח ג'ת,16.10.2024,14:17:01,2024-10-16T14:17:00,1,ירי רקטות וטילים,1,44830,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
35,ינוח ג'ת,13.10.2024,18:35:44,2024-10-13T18:36:00,1,ירי רקטות וטילים,1,44079,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
36,ינוח ג'ת,13.10.2024,14:03:08,2024-10-13T14:03:00,1,ירי רקטות וטילים,1,44050,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
37,ינוח ג'ת,13.10.2024,14:02:12,2024-10-13T14:02:00,1,ירי רקטות וטילים,1,44031,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
38,ינוח ג'ת,07.10.2024,12:40:42,2024-10-07T12:41:00,1,ירי רקטות וטילים,1,42562,ינוח ג'ת,Yanuh-Jat,يانوح - جت,Янух-Джат
