,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,יסוד המעלה,24.11.2024,16:47:10,2024-11-24T16:47:00,1,ירי רקטות וטילים,1,52327,יסוד המעלה,Yesud Hama'ala,يسود همعلاه,Есуд ха-Маале
1,יסוד המעלה,23.11.2024,21:53:38,2024-11-23T21:54:00,1,ירי רקטות וטילים,1,51917,יסוד המעלה,Yesud Hama'ala,يسود همعلاه,Есуд ха-Маале
2,יסוד המעלה,14.11.2024,06:30:40,2024-11-14T06:31:00,1,ירי רקטות וטילים,1,50715,יסוד המעלה,Yesud Hama'ala,يسود همعلاه,Есуд ха-Маале
3,יסוד המעלה,11.11.2024,13:43:24,2024-11-11T13:43:00,1,ירי רקטות וטילים,1,50114,יסוד המעלה,Yesud Hama'ala,يسود همعلاه,Есуд ха-Маале
4,יסוד המעלה,04.11.2024,17:19:14,2024-11-04T17:19:00,1,ירי רקטות וטילים,1,49005,יסוד המעלה,Yesud Hama'ala,يسود همعلاه,Есуд ха-Маале
5,יסוד המעלה,04.11.2024,00:21:51,2024-11-04T00:22:00,1,ירי רקטות וטילים,1,48954,יסוד המעלה,Yesud Hama'ala,يسود همعلاه,Есуд ха-Маале
6,יסוד המעלה,02.11.2024,09:50:23,2024-11-02T09:50:00,1,ירי רקטות וטילים,1,48591,יסוד המעלה,Yesud Hama'ala,يسود همعلاه,Есуд ха-Маале
7,יסוד המעלה,30.10.2024,16:17:56,2024-10-30T16:18:00,1,ירי רקטות וטילים,1,48124,יסוד המעלה,Yesud Hama'ala,يسود همعلاه,Есуд ха-Маале
8,יסוד המעלה,27.10.2024,19:17:42,2024-10-27T19:18:00,1,ירי רקטות וטילים,1,47441,יסוד המעלה,Yesud Hama'ala,يسود همعلاه,Есуд ха-Маале
9,יסוד המעלה,26.10.2024,14:11:01,2024-10-26T14:11:00,1,ירי רקטות וטילים,1,47260,יסוד המעלה,Yesud Hama'ala,يسود همعلاه,Есуд ха-Маале
10,יסוד המעלה,26.10.2024,14:10:17,2024-10-26T14:10:00,1,ירי רקטות וטילים,1,47257,יסוד המעלה,Yesud Hama'ala,يسود همعلاه,Есуд ха-Маале
11,יסוד המעלה,26.10.2024,14:09:37,2024-10-26T14:10:00,1,ירי רקטות וטילים,1,47247,יסוד המעלה,Yesud Hama'ala,يسود همعلاه,Есуд ха-Маале
12,יסוד המעלה,21.10.2024,15:37:49,2024-10-21T15:38:00,1,ירי רקטות וטילים,1,46063,יסוד המעלה,Yesud Hama'ala,يسود همعلاه,Есуд ха-Маале
13,יסוד המעלה,14.10.2024,15:12:31,2024-10-14T15:13:00,2,חדירת כלי טיס עוין,6,44314,יסוד המעלה,Yesud Hama'ala,يسود همعلاه,Есуд ха-Маале
14,יסוד המעלה,12.10.2024,21:08:38,2024-10-12T21:09:00,1,ירי רקטות וטילים,1,43851,יסוד המעלה,Yesud Hama'ala,يسود همعلاه,Есуд ха-Маале
15,יסוד המעלה,11.10.2024,16:35:20,2024-10-11T16:35:00,2,חדירת כלי טיס עוין,6,43600,יסוד המעלה,Yesud Hama'ala,يسود همعلاه,Есуд ха-Маале
16,יסוד המעלה,29.09.2024,12:56:55,2024-09-29T12:57:00,1,ירי רקטות וטילים,1,39115,יסוד המעלה,Yesud Hama'ala,يسود همعلاه,Есуд ха-Маале
17,יסוד המעלה,07.09.2024,19:26:43,2024-09-07T19:27:00,2,חדירת כלי טיס עוין,6,35863,יסוד המעלה,Yesud Hama'ala,يسود همعلاه,Есуд ха-Маале
18,יסוד המעלה,26.08.2024,18:42:34,2024-08-26T18:43:00,2,חדירת כלי טיס עוין,6,35570,יסוד המעלה,Yesud Hama'ala,يسود همعلاه,Есуд ха-Маале
19,יסוד המעלה,21.08.2024,11:26:09,2024-08-21T11:26:00,2,חדירת כלי טיס עוין,6,35254,יסוד המעלה,Yesud Hama'ala,يسود همعلاه,Есуд ха-Маале
20,יסוד המעלה,20.08.2024,08:02:02,2024-08-20T08:02:00,1,ירי רקטות וטילים,1,35154,יסוד המעלה,Yesud Hama'ala,يسود همعلاه,Есуд ха-Маале
21,יסוד המעלה,20.08.2024,08:01:22,2024-08-20T08:01:00,1,ירי רקטות וטילים,1,35151,יסוד המעלה,Yesud Hama'ala,يسود همعلاه,Есуд ха-Маале
22,יסוד המעלה,14.07.2024,12:14:30,2024-07-14T12:15:00,2,חדירת כלי טיס עוין,6,34036,יסוד המעלה,Yesud Hama'ala,يسود همعلاه,Есуд ха-Маале
23,יסוד המעלה,14.07.2024,12:08:53,2024-07-14T12:09:00,2,חדירת כלי טיס עוין,6,34021,יסוד המעלה,Yesud Hama'ala,يسود همعلاه,Есуд ха-Маале
