,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,יסעור,24.11.2024,18:12:22,2024-11-24T18:12:00,1,ירי רקטות וטילים,1,52387,יסעור,Yasur,يسعور,Ясур
1,יסעור,15.11.2024,09:01:07,2024-11-15T09:01:00,1,ירי רקטות וטילים,1,50895,יסעור,Yasur,يسعور,Ясур
2,יסעור,11.11.2024,16:02:20,2024-11-11T16:02:00,1,ירי רקטות וטילים,1,50184,יסעור,Yasur,يسعور,Ясур
3,יסעור,08.11.2024,15:54:20,2024-11-08T15:54:00,1,ירי רקטות וטילים,1,49770,יסעור,Yasur,يسعور,Ясур
4,יסעור,02.11.2024,11:05:38,2024-11-02T11:06:00,1,ירי רקטות וטילים,1,48623,יסעור,Yasur,يسعور,Ясур
5,יסעור,30.10.2024,17:29:47,2024-10-30T17:30:00,2,חדירת כלי טיס עוין,6,48161,יסעור,Yasur,يسعور,Ясур
6,יסעור,21.10.2024,12:28:43,2024-10-21T12:29:00,1,ירי רקטות וטילים,1,45994,יסעור,Yasur,يسعور,Ясур
7,יסעור,19.10.2024,12:25:26,2024-10-19T12:25:00,1,ירי רקטות וטילים,1,45462,יסעור,Yasur,يسعور,Ясур
8,יסעור,18.10.2024,06:59:29,2024-10-18T06:59:00,1,ירי רקטות וטילים,1,45236,יסעור,Yasur,يسعور,Ясур
9,יסעור,17.10.2024,07:29:02,2024-10-17T07:29:00,1,ירי רקטות וטילים,1,45096,יסעור,Yasur,يسعور,Ясур
10,יסעור,13.10.2024,09:44:41,2024-10-13T09:45:00,1,ירי רקטות וטילים,1,43982,יסעור,Yasur,يسعور,Ясур
11,יסעור,13.10.2024,09:01:24,2024-10-13T09:01:00,1,ירי רקטות וטילים,1,43977,יסעור,Yasur,يسعور,Ясур
12,יסעור,12.10.2024,15:13:52,2024-10-12T15:14:00,1,ירי רקטות וטילים,1,43808,יסעור,Yasur,يسعور,Ясур
13,יסעור,11.10.2024,17:21:46,2024-10-11T17:22:00,1,ירי רקטות וטילים,1,43623,יסעור,Yasur,يسعور,Ясур
14,יסעור,08.10.2024,12:12:42,2024-10-08T12:13:00,1,ירי רקטות וטילים,1,43042,יסעור,Yasur,يسعور,Ясур
15,יסעור,05.10.2024,16:44:45,2024-10-05T16:45:00,1,ירי רקטות וטילים,1,42226,יסעור,Yasur,يسعور,Ясур
16,יסעור,04.10.2024,13:00:45,2024-10-04T13:01:00,1,ירי רקטות וטילים,1,42016,יסעור,Yasur,يسعور,Ясур
17,יסעור,03.10.2024,21:48:20,2024-10-03T21:48:00,1,ירי רקטות וטילים,1,41844,יסעור,Yasur,يسعور,Ясур
18,יסעור,01.10.2024,16:11:01,2024-10-01T16:11:00,1,ירי רקטות וטילים,1,39506,יסעור,Yasur,يسعور,Ясур
19,יסעור,29.09.2024,21:15:11,2024-09-29T21:15:00,1,ירי רקטות וטילים,1,39302,יסעור,Yasur,يسعور,Ясур
20,יסעור,28.09.2024,10:42:27,2024-09-28T10:42:00,1,ירי רקטות וטילים,1,38720,יסעור,Yasur,يسعور,Ясур
21,יסעור,28.09.2024,09:36:10,2024-09-28T09:36:00,1,ירי רקטות וטילים,1,38597,יסעור,Yasur,يسعور,Ясур
22,יסעור,28.09.2024,07:59:03,2024-09-28T07:59:00,1,ירי רקטות וטילים,1,38230,יסעור,Yasur,يسعور,Ясур
23,יסעור,24.09.2024,15:03:24,2024-09-24T15:03:00,1,ירי רקטות וטילים,1,37563,יסעור,Yasur,يسعور,Ясур
24,יסעור,24.09.2024,13:57:44,2024-09-24T13:58:00,1,ירי רקטות וטילים,1,37535,יסעור,Yasur,يسعور,Ясур
25,יסעור,24.09.2024,07:42:34,2024-09-24T07:43:00,1,ירי רקטות וטילים,1,37420,יסעור,Yasur,يسعور,Ясур
26,יסעור,22.09.2024,06:31:28,2024-09-22T06:31:00,1,ירי רקטות וטילים,1,36790,יסעור,Yasur,يسعور,Ясур
