,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,יראון,24.11.2024,20:11:24,2024-11-24T20:11:00,1,ירי רקטות וטילים,1,52462,יראון,Yir'on,يرئون,Ирон
1,יראון,24.11.2024,13:10:37,2024-11-24T13:11:00,1,ירי רקטות וטילים,1,52217,יראון,Yir'on,يرئون,Ирон
2,יראון,24.11.2024,12:50:37,2024-11-24T12:51:00,1,ירי רקטות וטילים,1,52109,יראון,Yir'on,يرئون,Ирон
3,יראון,19.11.2024,10:58:34,2024-11-19T10:59:00,2,חדירת כלי טיס עוין,6,51462,יראון,Yir'on,يرئون,Ирон
4,יראון,19.11.2024,10:37:59,2024-11-19T10:38:00,1,ירי רקטות וטילים,1,51438,יראון,Yir'on,يرئون,Ирон
5,יראון,18.11.2024,15:11:52,2024-11-18T15:12:00,1,ירי רקטות וטילים,1,51179,יראון,Yir'on,يرئون,Ирон
6,יראון,18.11.2024,15:10:32,2024-11-18T15:11:00,1,ירי רקטות וטילים,1,51176,יראון,Yir'on,يرئون,Ирон
7,יראון,16.11.2024,15:23:16,2024-11-16T15:23:00,1,ירי רקטות וטילים,1,51033,יראון,Yir'on,يرئون,Ирон
8,יראון,16.11.2024,11:49:36,2024-11-16T11:50:00,1,ירי רקטות וטילים,1,51000,יראון,Yir'on,يرئون,Ирон
9,יראון,16.11.2024,11:49:00,2024-11-16T11:49:00,1,ירי רקטות וטילים,1,50997,יראון,Yir'on,يرئون,Ирон
10,יראון,15.11.2024,22:42:47,2024-11-15T22:43:00,1,ירי רקטות וטילים,1,50934,יראון,Yir'on,يرئون,Ирон
11,יראון,15.11.2024,15:08:04,2024-11-15T15:08:00,1,ירי רקטות וטילים,1,50921,יראון,Yir'on,يرئون,Ирон
12,יראון,15.11.2024,15:00:16,2024-11-15T15:00:00,1,ירי רקטות וטילים,1,50919,יראון,Yir'on,يرئون,Ирон
13,יראון,15.11.2024,08:18:26,2024-11-15T08:18:00,1,ירי רקטות וטילים,1,50893,יראון,Yir'on,يرئون,Ирон
14,יראון,13.11.2024,18:44:54,2024-11-13T18:45:00,1,ירי רקטות וטילים,1,50706,יראון,Yir'on,يرئون,Ирон
15,יראון,13.11.2024,07:01:24,2024-11-13T07:01:00,2,חדירת כלי טיס עוין,6,50460,יראון,Yir'on,يرئون,Ирон
16,יראון,12.11.2024,13:13:04,2024-11-12T13:13:00,1,ירי רקטות וטילים,1,50298,יראון,Yir'on,يرئون,Ирон
17,יראון,09.11.2024,08:06:20,2024-11-09T08:06:00,1,ירי רקטות וטילים,1,49808,יראון,Yir'on,يرئون,Ирон
18,יראון,08.11.2024,17:03:29,2024-11-08T17:03:00,1,ירי רקטות וטילים,1,49783,יראון,Yir'on,يرئون,Ирон
19,יראון,06.11.2024,22:46:30,2024-11-06T22:47:00,1,ירי רקטות וטילים,1,49444,יראון,Yir'on,يرئون,Ирон
20,יראון,06.11.2024,19:34:02,2024-11-06T19:34:00,1,ירי רקטות וטילים,1,49439,יראון,Yir'on,يرئون,Ирон
21,יראון,05.11.2024,17:10:54,2024-11-05T17:11:00,1,ירי רקטות וטילים,1,49091,יראון,Yir'on,يرئون,Ирон
22,יראון,02.11.2024,20:37:41,2024-11-02T20:38:00,1,ירי רקטות וטילים,1,48789,יראון,Yir'on,يرئون,Ирон
23,יראון,02.11.2024,12:03:25,2024-11-02T12:03:00,1,ירי רקטות וטילים,1,48639,יראון,Yir'on,يرئون,Ирон
24,יראון,31.10.2024,21:13:12,2024-10-31T21:13:00,1,ירי רקטות וטילים,1,48355,יראון,Yir'on,يرئون,Ирон
25,יראון,31.10.2024,18:04:51,2024-10-31T18:05:00,1,ירי רקטות וטילים,1,48353,יראון,Yir'on,يرئون,Ирон
26,יראון,29.10.2024,15:51:24,2024-10-29T15:51:00,1,ירי רקטות וטילים,1,47938,יראון,Yir'on,يرئون,Ирон
27,יראון,29.10.2024,07:52:08,2024-10-29T07:52:00,1,ירי רקטות וטילים,1,47592,יראון,Yir'on,يرئون,Ирон
28,יראון,27.10.2024,15:33:29,2024-10-27T15:33:00,1,ירי רקטות וטילים,1,47434,יראון,Yir'on,يرئون,Ирон
29,יראון,27.10.2024,09:16:15,2024-10-27T09:16:00,1,ירי רקטות וטילים,1,47362,יראון,Yir'on,يرئون,Ирон
