,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,ירחיב,24.11.2024,18:31:06,2024-11-24T18:31:00,1,ירי רקטות וטילים,1,52399,ירחיב,Yafhiv,يرحيب,Ярхив
1,ירחיב,24.11.2024,12:53:34,2024-11-24T12:54:00,1,ירי רקטות וטילים,1,52142,ירחיב,Yafhiv,يرحيب,Ярхив
2,ירחיב,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51262,ירחיב,Yafhiv,يرحيب,Ярхив
3,ירחיב,08.11.2024,15:19:59,2024-11-08T15:20:00,1,ירי רקטות וטילים,1,49742,ירחיב,Yafhiv,يرحيب,Ярхив
4,ירחיב,06.11.2024,11:21:53,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49239,ירחיב,Yafhiv,يرحيب,Ярхив
5,ירחיב,02.11.2024,02:17:36,2024-11-02T02:18:00,1,ירי רקטות וטילים,1,48461,ירחיב,Yafhiv,يرحيب,Ярхив
6,ירחיב,23.10.2024,20:33:22,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46860,ירחיב,Yafhiv,يرحيب,Ярхив
7,ירחיב,14.10.2024,17:33:13,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44364,ירחיב,Yafhiv,يرحيب,Ярхив
8,ירחיב,07.10.2024,23:13:22,2024-10-07T23:13:00,1,ירי רקטות וטילים,1,42918,ירחיב,Yafhiv,يرحيب,Ярхив
9,ירחיב,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42811,ירחיב,Yafhiv,يرحيب,Ярхив
10,ירחיב,01.10.2024,18:37:32,2024-10-01T18:38:00,1,ירי רקטות וטילים,1,39618,ירחיב,Yafhiv,يرحيب,Ярхив
11,ירחיב,01.10.2024,11:03:35,2024-10-01T11:04:00,1,ירי רקטות וטילים,1,39423,ירחיב,Yafhiv,يرحيب,Ярхив
12,ירחיב,28.10.2023,18:10:41,2023-10-28T18:11:00,1,ירי רקטות וטילים,1,23829,ירחיב,Yafhiv,يرحيب,Ярхив
13,ירחיב,14.10.2023,21:01:04,2023-10-14T21:01:00,1,ירי רקטות וטילים,1,22263,ירחיב,Yafhiv,يرحيب,Ярхив
