,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,ירקונה,24.11.2024,12:52:37,2024-11-24T12:53:00,1,ירי רקטות וטילים,1,52122,ירקונה,Yarkona,يركونة,Яркона
1,ירקונה,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51263,ירקונה,Yarkona,يركونة,Яркона
2,ירקונה,12.11.2024,16:35:06,2024-11-12T16:35:00,1,ירי רקטות וטילים,1,50380,ירקונה,Yarkona,يركونة,Яркона
3,ירקונה,06.11.2024,11:21:53,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49240,ירקונה,Yarkona,يركونة,Яркона
4,ירקונה,02.11.2024,02:17:36,2024-11-02T02:18:00,1,ירי רקטות וטילים,1,48462,ירקונה,Yarkona,يركونة,Яркона
5,ירקונה,23.10.2024,20:33:12,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46843,ירקונה,Yarkona,يركونة,Яркона
6,ירקונה,14.10.2024,17:33:13,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44365,ירקונה,Yarkona,يركونة,Яркона
7,ירקונה,07.10.2024,23:13:22,2024-10-07T23:13:00,1,ירי רקטות וטילים,1,42919,ירקונה,Yarkona,يركونة,Яркона
8,ירקונה,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42812,ירקונה,Yarkona,يركونة,Яркона
9,ירקונה,01.10.2024,11:03:35,2024-10-01T11:04:00,1,ירי רקטות וטילים,1,39424,ירקונה,Yarkona,يركونة,Яркона
10,ירקונה,21.12.2023,13:30:29,2023-12-21T13:30:00,1,ירי רקטות וטילים,1,26886,ירקונה,Yarkona,يركونة,Яркона
11,ירקונה,20.11.2023,18:03:48,2023-11-20T18:04:00,1,ירי רקטות וטילים,1,25400,ירקונה,Yarkona,يركونة,Яркона
12,ירקונה,05.11.2023,20:01:21,2023-11-05T20:01:00,1,ירי רקטות וטילים,1,24554,ירקונה,Yarkona,يركونة,Яркона
13,ירקונה,26.10.2023,13:31:33,2023-10-26T13:32:00,1,ירי רקטות וטילים,1,23532,ירקונה,Yarkona,يركونة,Яркона
14,ירקונה,24.10.2023,17:01:11,2023-10-24T17:01:00,1,ירי רקטות וטילים,1,23370,ירקונה,Yarkona,يركونة,Яркона
15,ירקונה,18.10.2023,18:28:43,2023-10-18T18:29:00,1,ירי רקטות וטילים,1,22824,ירקונה,Yarkona,يركونة,Яркона
16,ירקונה,17.10.2023,19:59:36,2023-10-17T20:00:00,1,ירי רקטות וטילים,1,22724,ירקונה,Yarkona,يركونة,Яркона
17,ירקונה,09.10.2023,12:02:17,2023-10-09T12:02:00,1,ירי רקטות וטילים,1,20861,ירקונה,Yarkona,يركونة,Яркона
18,ירקונה,07.10.2023,20:00:37,2023-10-07T20:01:00,1,ירי רקטות וטילים,1,20273,ירקונה,Yarkona,يركونة,Яркона
