,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,כאבול,24.11.2024,18:09:11,2024-11-24T18:09:00,1,ירי רקטות וטילים,1,52331,כאבול,Kabul,كابول,Кабул
1,כאבול,18.11.2024,18:27:59,2024-11-18T18:28:00,1,ירי רקטות וטילים,1,51202,כאבול,Kabul,كابول,Кабул
2,כאבול,11.11.2024,15:43:27,2024-11-11T15:43:00,1,ירי רקטות וטילים,1,50166,כאבול,Kabul,كابول,Кабул
3,כאבול,08.11.2024,15:54:23,2024-11-08T15:54:00,1,ירי רקטות וטילים,1,49771,כאבול,Kabul,كابول,Кабул
4,כאבול,02.11.2024,09:17:20,2024-11-02T09:17:00,1,ירי רקטות וטילים,1,48582,כאבול,Kabul,كابول,Кабул
5,כאבול,02.11.2024,07:15:12,2024-11-02T07:15:00,1,ירי רקטות וטילים,1,48502,כאבול,Kabul,كابول,Кабул
6,כאבול,27.10.2024,12:31:04,2024-10-27T12:31:00,1,ירי רקטות וטילים,1,47370,כאבול,Kabul,كابول,Кабул
7,כאבול,23.10.2024,11:03:21,2024-10-23T11:03:00,1,ירי רקטות וטילים,1,46578,כאבול,Kabul,كابول,Кабул
8,כאבול,21.10.2024,12:28:43,2024-10-21T12:29:00,1,ירי רקטות וטילים,1,45996,כאבול,Kabul,كابول,Кабул
9,כאבול,19.10.2024,12:26:05,2024-10-19T12:26:00,1,ירי רקטות וטילים,1,45470,כאבול,Kabul,كابول,Кабул
10,כאבול,18.10.2024,06:59:29,2024-10-18T06:59:00,1,ירי רקטות וטילים,1,45238,כאבול,Kabul,كابول,Кабул
11,כאבול,17.10.2024,03:28:33,2024-10-17T03:29:00,1,ירי רקטות וטילים,1,45027,כאבול,Kabul,كابول,Кабул
12,כאבול,13.10.2024,09:01:24,2024-10-13T09:01:00,1,ירי רקטות וטילים,1,43978,כאבול,Kabul,كابول,Кабул
13,כאבול,11.10.2024,17:21:49,2024-10-11T17:22:00,1,ירי רקטות וטילים,1,43629,כאבול,Kabul,كابول,Кабул
14,כאבול,11.10.2024,16:31:01,2024-10-11T16:31:00,1,ירי רקטות וטילים,1,43547,כאבול,Kabul,كابول,Кабул
15,כאבול,05.10.2024,16:44:45,2024-10-05T16:45:00,1,ירי רקטות וטילים,1,42228,כאבול,Kabul,كابول,Кабул
16,כאבול,04.10.2024,12:59:49,2024-10-04T13:00:00,1,ירי רקטות וטילים,1,41992,כאבול,Kabul,كابول,Кабул
17,כאבול,03.10.2024,21:48:20,2024-10-03T21:48:00,1,ירי רקטות וטילים,1,41845,כאבול,Kabul,كابول,Кабул
18,כאבול,01.10.2024,16:11:01,2024-10-01T16:11:00,1,ירי רקטות וטילים,1,39507,כאבול,Kabul,كابول,Кабул
19,כאבול,29.09.2024,21:15:11,2024-09-29T21:15:00,1,ירי רקטות וטילים,1,39303,כאבול,Kabul,كابول,Кабул
20,כאבול,28.09.2024,10:42:27,2024-09-28T10:42:00,1,ירי רקטות וטילים,1,38722,כאבול,Kabul,كابول,Кабул
21,כאבול,28.09.2024,09:35:21,2024-09-28T09:35:00,1,ירי רקטות וטילים,1,38568,כאבול,Kabul,كابول,Кабул
22,כאבול,28.09.2024,07:59:03,2024-09-28T07:59:00,1,ירי רקטות וטילים,1,38232,כאבול,Kabul,كابول,Кабул
23,כאבול,24.09.2024,07:42:34,2024-09-24T07:43:00,1,ירי רקטות וטילים,1,37421,כאבול,Kabul,كابول,Кабул
24,כאבול,22.09.2024,06:31:28,2024-09-22T06:31:00,1,ירי רקטות וטילים,1,36791,כאבול,Kabul,كابول,Кабул
