,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,כאוכב אבו אלהיג'א,24.11.2024,18:09:22,2024-11-24T18:09:00,1,ירי רקטות וטילים,1,52339,כאוכב אבו אלהיג'א,Kaukab Abu al-Hija,كوكب ابو الهيجا,Каукаб Абу Альхижда
1,כאוכב אבו אלהיג'א,30.10.2024,06:19:58,2024-10-30T06:20:00,1,ירי רקטות וטילים,1,48041,כאוכב אבו אלהיג'א,Kaukab Abu al-Hija,كوكب ابو الهيجا,Каукаб Абу Альхижда
2,כאוכב אבו אלהיג'א,27.10.2024,12:32:05,2024-10-27T12:32:00,1,ירי רקטות וטילים,1,47385,כאוכב אבו אלהיג'א,Kaukab Abu al-Hija,كوكب ابو الهيجا,Каукаб Абу Альхижда
3,כאוכב אבו אלהיג'א,21.10.2024,12:28:43,2024-10-21T12:29:00,1,ירי רקטות וטילים,1,45997,כאוכב אבו אלהיג'א,Kaukab Abu al-Hija,كوكب ابو الهيجا,Каукаб Абу Альхижда
4,כאוכב אבו אלהיג'א,17.10.2024,03:28:33,2024-10-17T03:29:00,1,ירי רקטות וטילים,1,45028,כאוכב אבו אלהיג'א,Kaukab Abu al-Hija,كوكب ابو الهيجا,Каукаб Абу Альхижда
5,כאוכב אבו אלהיג'א,17.10.2024,03:26:16,2024-10-17T03:26:00,1,ירי רקטות וטילים,1,44932,כאוכב אבו אלהיג'א,Kaukab Abu al-Hija,كوكب ابو الهيجا,Каукаб Абу Альхижда
6,כאוכב אבו אלהיג'א,13.10.2024,14:02:15,2024-10-13T14:02:00,1,ירי רקטות וטילים,1,44021,כאוכב אבו אלהיג'א,Kaukab Abu al-Hija,كوكب ابو الهيجا,Каукаб Абу Альхижда
7,כאוכב אבו אלהיג'א,11.10.2024,17:22:19,2024-10-11T17:22:00,1,ירי רקטות וטילים,1,43645,כאוכב אבו אלהיג'א,Kaukab Abu al-Hija,كوكب ابو الهيجا,Каукаб Абу Альхижда
8,כאוכב אבו אלהיג'א,11.10.2024,16:31:01,2024-10-11T16:31:00,1,ירי רקטות וטילים,1,43548,כאוכב אבו אלהיג'א,Kaukab Abu al-Hija,كوكب ابو الهيجا,Каукаб Абу Альхижда
9,כאוכב אבו אלהיג'א,05.10.2024,16:44:45,2024-10-05T16:45:00,1,ירי רקטות וטילים,1,42222,כאוכב אבו אלהיג'א,Kaukab Abu al-Hija,كوكب ابو الهيجا,Каукаб Абу Альхижда
10,כאוכב אבו אלהיג'א,04.10.2024,13:00:13,2024-10-04T13:00:00,1,ירי רקטות וטילים,1,41997,כאוכב אבו אלהיג'א,Kaukab Abu al-Hija,كوكب ابو الهيجا,Каукаб Абу Альхижда
11,כאוכב אבו אלהיג'א,28.09.2024,09:35:21,2024-09-28T09:35:00,1,ירי רקטות וטילים,1,38569,כאוכב אבו אלהיג'א,Kaukab Abu al-Hija,كوكب ابو الهيجا,Каукаб Абу Альхижда
12,כאוכב אבו אלהיג'א,28.09.2024,07:59:03,2024-09-28T07:59:00,1,ירי רקטות וטילים,1,38233,כאוכב אבו אלהיג'א,Kaukab Abu al-Hija,كوكب ابو الهيجا,Каукаб Абу Альхижда
13,כאוכב אבו אלהיג'א,25.09.2024,13:37:15,2024-09-25T13:37:00,1,ירי רקטות וטילים,1,37877,כאוכב אבו אלהיג'א,Kaukab Abu al-Hija,كوكب ابو الهيجا,Каукаб Абу Альхижда
14,כאוכב אבו אלהיג'א,24.09.2024,15:12:32,2024-09-24T15:13:00,1,ירי רקטות וטילים,1,37597,כאוכב אבו אלהיג'א,Kaukab Abu al-Hija,كوكب ابو الهيجا,Каукаб Абу Альхижда
15,כאוכב אבו אלהיג'א,22.09.2024,06:24:38,2024-09-22T06:25:00,1,ירי רקטות וטילים,1,36721,כאוכב אבו אלהיג'א,Kaukab Abu al-Hija,كوكب ابو الهيجا,Каукаб Абу Альхижда
16,כאוכב אבו אלהיג'א,22.09.2024,05:10:55,2024-09-22T05:11:00,1,ירי רקטות וטילים,1,36705,כאוכב אבו אלהיג'א,Kaukab Abu al-Hija,كوكب ابو الهيجا,Каукаб Абу Альхижда
17,כאוכב אבו אלהיג'א,23.06.2024,11:24:13,2024-06-23T11:24:00,1,ירי רקטות וטילים,1,33284,כאוכב אבו אלהיג'א,Kaukab Abu al-Hija,كوكب ابو الهيجا,Каукаб Абу Альхижда
18,כאוכב אבו אלהיג'א,13.10.2023,15:02:23,2023-10-13T15:02:00,1,ירי רקטות וטילים,1,21969,כאוכב אבו אלהיג'א,Kaukab Abu al-Hija,كوكب ابو الهيجا,Каукаб Абу Альхижда
