,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,כלא דמון,24.11.2024,18:11:55,2024-11-24T18:12:00,1,ירי רקטות וטילים,1,52370,כלא דמון,Damon Priosn,سجن الدامون,Тюрьма Дамон
1,כלא דמון,07.11.2024,15:03:53,2024-11-07T15:04:00,1,ירי רקטות וטילים,1,49518,כלא דמון,Damon Priosn,سجن الدامون,Тюрьма Дамон
2,כלא דמון,05.11.2024,06:38:26,2024-11-05T06:38:00,1,ירי רקטות וטילים,1,49056,כלא דמון,Damon Priosn,سجن الدامون,Тюрьма Дамон
3,כלא דמון,30.10.2024,06:20:07,2024-10-30T06:20:00,1,ירי רקטות וטילים,1,48045,כלא דמון,Damon Priosn,سجن الدامون,Тюрьма Дамон
4,כלא דמון,22.10.2024,04:51:29,2024-10-22T04:51:00,1,ירי רקטות וטילים,1,46223,כלא דמון,Damon Priosn,سجن الدامون,Тюрьма Дамон
5,כלא דמון,20.10.2024,15:41:01,2024-10-20T15:41:00,1,ירי רקטות וטילים,1,45714,כלא דמון,Damon Priosn,سجن الدامون,Тюрьма Дамон
6,כלא דמון,20.10.2024,09:37:42,2024-10-20T09:38:00,1,ירי רקטות וטילים,1,45571,כלא דמון,Damon Priosn,سجن الدامون,Тюрьма Дамон
7,כלא דמון,15.10.2024,07:27:51,2024-10-15T07:28:00,1,ירי רקטות וטילים,1,44724,כלא דמון,Damon Priosn,سجن الدامون,Тюрьма Дамон
8,כלא דמון,13.10.2024,08:59:58,2024-10-13T09:00:00,1,ירי רקטות וטילים,1,43930,כלא דמון,Damon Priosn,سجن الدامون,Тюрьма Дамон
9,כלא דמון,12.10.2024,13:07:41,2024-10-12T13:08:00,1,ירי רקטות וטילים,1,43792,כלא דמון,Damon Priosn,سجن الدامون,Тюрьма Дамон
10,כלא דמון,06.10.2024,08:29:57,2024-10-06T08:30:00,1,ירי רקטות וטילים,1,42327,כלא דמון,Damon Priosn,سجن الدامون,Тюрьма Дамон
11,כלא דמון,05.10.2024,13:26:43,2024-10-05T13:27:00,1,ירי רקטות וטילים,1,42165,כלא דמון,Damon Priosn,سجن الدامون,Тюрьма Дамон
12,כלא דמון,04.10.2024,10:52:15,2024-10-04T10:52:00,1,ירי רקטות וטילים,1,41973,כלא דמון,Damon Priosn,سجن الدامون,Тюрьма Дамон
13,כלא דמון,29.09.2024,21:14:48,2024-09-29T21:15:00,1,ירי רקטות וטילים,1,39245,כלא דמון,Damon Priosn,سجن الدامون,Тюрьма Дамон
14,כלא דמון,23.09.2024,19:42:46,2024-09-23T19:43:00,1,ירי רקטות וטילים,1,37324,כלא דמון,Damon Priosn,سجن الدامون,Тюрьма Дамон
15,כלא דמון,23.09.2024,17:41:48,2024-09-23T17:42:00,1,ירי רקטות וטילים,1,37203,כלא דמון,Damon Priosn,سجن الدامون,Тюрьма Дамон
16,כלא דמון,22.09.2024,01:10:21,2024-09-22T01:10:00,1,ירי רקטות וטילים,1,36586,כלא דמון,Damon Priosn,سجن الدامون,Тюрьма Дамон
