,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,כליל,24.11.2024,13:04:01,2024-11-24T13:04:00,1,ירי רקטות וטילים,1,52195,כליל,Klil,خليل,Клиль
1,כליל,24.11.2024,06:17:05,2024-11-24T06:17:00,1,ירי רקטות וטילים,1,51932,כליל,Klil,خليل,Клиль
2,כליל,22.11.2024,16:47:47,2024-11-22T16:48:00,1,ירי רקטות וטילים,1,51788,כליל,Klil,خليل,Клиль
3,כליל,22.11.2024,16:46:56,2024-11-22T16:47:00,1,ירי רקטות וטילים,1,51781,כליל,Klil,خليل,Клиль
4,כליל,18.11.2024,19:10:15,2024-11-18T19:10:00,1,ירי רקטות וטילים,1,51210,כליל,Klil,خليل,Клиль
5,כליל,16.11.2024,10:48:27,2024-11-16T10:48:00,1,ירי רקטות וטילים,1,50994,כליל,Klil,خليل,Клиль
6,כליל,16.11.2024,10:46:58,2024-11-16T10:47:00,1,ירי רקטות וטילים,1,50988,כליל,Klil,خليل,Клиль
7,כליל,15.11.2024,06:54:25,2024-11-15T06:54:00,1,ירי רקטות וטילים,1,50886,כליל,Klil,خليل,Клиль
8,כליל,15.11.2024,00:18:47,2024-11-15T00:19:00,1,ירי רקטות וטילים,1,50867,כליל,Klil,خليل,Клиль
9,כליל,12.11.2024,16:34:45,2024-11-12T16:35:00,1,ירי רקטות וטילים,1,50355,כליל,Klil,خليل,Клиль
10,כליל,11.11.2024,15:42:20,2024-11-11T15:42:00,1,ירי רקטות וטילים,1,50138,כליל,Klil,خليل,Клиль
11,כליל,08.11.2024,15:19:12,2024-11-08T15:19:00,1,ירי רקטות וטילים,1,49722,כליל,Klil,خليل,Клиль
12,כליל,08.11.2024,06:45:32,2024-11-08T06:46:00,1,ירי רקטות וטילים,1,49601,כליל,Klil,خليل,Клиль
13,כליל,07.11.2024,16:15:22,2024-11-07T16:15:00,1,ירי רקטות וטילים,1,49546,כליל,Klil,خليل,Клиль
14,כליל,07.11.2024,16:14:41,2024-11-07T16:15:00,1,ירי רקטות וטילים,1,49536,כליל,Klil,خليل,Клиль
15,כליל,06.11.2024,16:07:23,2024-11-06T16:07:00,1,ירי רקטות וטילים,1,49360,כליל,Klil,خليل,Клиль
16,כליל,06.11.2024,11:21:42,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49204,כליל,Klil,خليل,Клиль
17,כליל,31.10.2024,16:20:25,2024-10-31T16:20:00,1,ירי רקטות וטילים,1,48351,כליל,Klil,خليل,Клиль
18,כליל,29.10.2024,10:38:49,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47850,כליל,Klil,خليل,Клиль
