,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,כפר ביאליק,24.11.2024,18:12:22,2024-11-24T18:12:00,1,ירי רקטות וטילים,1,52377,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
1,כפר ביאליק,23.11.2024,04:19:01,2024-11-23T04:19:00,1,ירי רקטות וטילים,1,51871,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
2,כפר ביאליק,22.11.2024,21:19:00,2024-11-22T21:19:00,2,חדירת כלי טיס עוין,6,51847,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
3,כפר ביאליק,22.11.2024,02:09:03,2024-11-22T02:09:00,1,ירי רקטות וטילים,1,51706,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
4,כפר ביאליק,20.11.2024,06:41:27,2024-11-20T06:41:00,2,חדירת כלי טיס עוין,6,51567,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
5,כפר ביאליק,16.11.2024,19:45:15,2024-11-16T19:45:00,1,ירי רקטות וטילים,1,51049,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
6,כפר ביאליק,15.11.2024,09:01:24,2024-11-15T09:01:00,1,ירי רקטות וטילים,1,50900,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
7,כפר ביאליק,14.11.2024,18:54:00,2024-11-14T18:54:00,2,חדירת כלי טיס עוין,6,50799,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
8,כפר ביאליק,14.11.2024,15:54:14,2024-11-14T15:54:00,1,ירי רקטות וטילים,1,50757,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
9,כפר ביאליק,12.11.2024,09:34:06,2024-11-12T09:34:00,2,חדירת כלי טיס עוין,6,50283,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
10,כפר ביאליק,11.11.2024,15:42:18,2024-11-11T15:42:00,1,ירי רקטות וטילים,1,50143,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
11,כפר ביאליק,08.11.2024,07:45:02,2024-11-08T07:45:00,1,ירי רקטות וטילים,1,49648,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
12,כפר ביאליק,07.11.2024,16:14:42,2024-11-07T16:15:00,1,ירי רקטות וטילים,1,49530,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
13,כפר ביאליק,05.11.2024,06:38:26,2024-11-05T06:38:00,1,ירי רקטות וטילים,1,49026,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
14,כפר ביאליק,03.11.2024,17:33:40,2024-11-03T17:34:00,2,חדירת כלי טיס עוין,6,48915,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
15,כפר ביאליק,02.11.2024,16:27:57,2024-11-02T16:28:00,2,חדירת כלי טיס עוין,6,48775,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
16,כפר ביאליק,02.11.2024,08:21:09,2024-11-02T08:21:00,2,חדירת כלי טיס עוין,6,48558,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
17,כפר ביאליק,31.10.2024,21:21:13,2024-10-31T21:21:00,2,חדירת כלי טיס עוין,6,48358,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
18,כפר ביאליק,31.10.2024,15:12:50,2024-10-31T15:13:00,1,ירי רקטות וטילים,1,48322,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
19,כפר ביאליק,30.10.2024,17:33:59,2024-10-30T17:34:00,2,חדירת כלי טיס עוין,6,48192,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
20,כפר ביאליק,25.10.2024,09:02:06,2024-10-25T09:02:00,1,ירי רקטות וטילים,1,47095,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
21,כפר ביאליק,22.10.2024,18:27:57,2024-10-22T18:28:00,2,חדירת כלי טיס עוין,6,46443,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
22,כפר ביאליק,22.10.2024,18:25:55,2024-10-22T18:26:00,2,חדירת כלי טיס עוין,6,46437,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
23,כפר ביאליק,22.10.2024,04:52:07,2024-10-22T04:52:00,1,ירי רקטות וטילים,1,46235,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
24,כפר ביאליק,21.10.2024,12:28:43,2024-10-21T12:29:00,1,ירי רקטות וטילים,1,45973,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
25,כפר ביאליק,20.10.2024,15:41:18,2024-10-20T15:41:00,1,ירי רקטות וטילים,1,45716,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
26,כפר ביאליק,20.10.2024,09:38:40,2024-10-20T09:39:00,1,ירי רקטות וטילים,1,45577,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
27,כפר ביאליק,19.10.2024,10:22:46,2024-10-19T10:23:00,1,ירי רקטות וטילים,1,45388,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
28,כפר ביאליק,19.10.2024,07:04:23,2024-10-19T07:04:00,2,חדירת כלי טיס עוין,6,45347,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
29,כפר ביאליק,17.10.2024,07:28:17,2024-10-17T07:28:00,1,ירי רקטות וטילים,1,45081,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
30,כפר ביאליק,15.10.2024,14:20:26,2024-10-15T14:20:00,1,ירי רקטות וטילים,1,44741,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
31,כפר ביאליק,15.10.2024,07:27:51,2024-10-15T07:28:00,1,ירי רקטות וטילים,1,44692,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
32,כפר ביאליק,13.10.2024,09:01:24,2024-10-13T09:01:00,1,ירי רקטות וטילים,1,43970,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
33,כפר ביאליק,09.10.2024,13:10:55,2024-10-09T13:11:00,1,ירי רקטות וטילים,1,43195,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
34,כפר ביאליק,08.10.2024,12:44:33,2024-10-08T12:45:00,1,ירי רקטות וטילים,1,43071,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
35,כפר ביאליק,08.10.2024,12:14:59,2024-10-08T12:15:00,1,ירי רקטות וטילים,1,43055,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
36,כפר ביאליק,08.10.2024,12:11:45,2024-10-08T12:12:00,1,ירי רקטות וטילים,1,43027,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
37,כפר ביאליק,05.10.2024,13:26:43,2024-10-05T13:27:00,1,ירי רקטות וטילים,1,42142,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
38,כפר ביאליק,04.10.2024,07:03:44,2024-10-04T07:04:00,1,ירי רקטות וטילים,1,41884,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
39,כפר ביאליק,04.10.2024,07:01:27,2024-10-04T07:01:00,1,ירי רקטות וטילים,1,41869,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
40,כפר ביאליק,03.10.2024,21:48:21,2024-10-03T21:48:00,1,ירי רקטות וטילים,1,41831,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
41,כפר ביאליק,01.10.2024,16:10:52,2024-10-01T16:11:00,1,ירי רקטות וטילים,1,39494,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
42,כפר ביאליק,29.09.2024,21:15:11,2024-09-29T21:15:00,1,ירי רקטות וטילים,1,39290,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
43,כפר ביאליק,27.09.2024,08:34:07,2024-09-27T08:34:00,1,ירי רקטות וטילים,1,38114,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
44,כפר ביאליק,24.09.2024,15:03:50,2024-09-24T15:04:00,1,ירי רקטות וטילים,1,37570,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
45,כפר ביאליק,23.09.2024,17:02:05,2024-09-23T17:02:00,1,ירי רקטות וטילים,1,37081,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
46,כפר ביאליק,23.04.2024,13:47:03,2024-04-23T13:47:00,2,חדירת כלי טיס עוין,6,30285,כפר ביאליק,Kfar Biyalik,كفار بياليك,Кфар Бялик
