,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,כפר בלום,24.11.2024,13:45:38,2024-11-24T13:46:00,1,ירי רקטות וטילים,1,52227,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
1,כפר בלום,24.11.2024,13:44:57,2024-11-24T13:45:00,1,ירי רקטות וטילים,1,52223,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
2,כפר בלום,24.11.2024,09:59:29,2024-11-24T09:59:00,1,ירי רקטות וטילים,1,52066,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
3,כפר בלום,24.11.2024,00:10:09,2024-11-24T00:10:00,1,ירי רקטות וטילים,1,51922,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
4,כפר בלום,19.11.2024,10:46:03,2024-11-19T10:46:00,1,ירי רקטות וטילים,1,51439,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
5,כפר בלום,14.11.2024,22:02:23,2024-11-14T22:02:00,1,ירי רקטות וטילים,1,50844,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
6,כפר בלום,13.11.2024,16:05:06,2024-11-13T16:05:00,1,ירי רקטות וטילים,1,50559,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
7,כפר בלום,13.11.2024,15:19:08,2024-11-13T15:19:00,1,ירי רקטות וטילים,1,50552,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
8,כפר בלום,12.11.2024,07:02:05,2024-11-12T07:02:00,1,ירי רקטות וטילים,1,50241,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
9,כפר בלום,08.11.2024,15:40:51,2024-11-08T15:41:00,2,חדירת כלי טיס עוין,6,49761,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
10,כפר בלום,01.11.2024,06:39:23,2024-11-01T06:39:00,1,ירי רקטות וטילים,1,48387,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
11,כפר בלום,01.11.2024,06:33:29,2024-11-01T06:33:00,1,ירי רקטות וטילים,1,48382,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
12,כפר בלום,01.11.2024,02:08:48,2024-11-01T02:09:00,1,ירי רקטות וטילים,1,48379,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
13,כפר בלום,24.10.2024,18:20:18,2024-10-24T18:20:00,2,חדירת כלי טיס עוין,6,47035,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
14,כפר בלום,24.10.2024,16:46:14,2024-10-24T16:46:00,2,חדירת כלי טיס עוין,6,47007,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
15,כפר בלום,11.10.2024,10:47:52,2024-10-11T10:48:00,1,ירי רקטות וטילים,1,43514,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
16,כפר בלום,10.10.2024,13:34:51,2024-10-10T13:35:00,1,ירי רקטות וטילים,1,43392,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
17,כפר בלום,07.10.2024,17:27:33,2024-10-07T17:28:00,1,ירי רקטות וטילים,1,42670,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
18,כפר בלום,06.10.2024,00:30:49,2024-10-06T00:31:00,1,ירי רקטות וטילים,1,42272,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
19,כפר בלום,04.10.2024,18:06:45,2024-10-04T18:07:00,1,ירי רקטות וטילים,1,42068,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
20,כפר בלום,25.09.2024,15:28:29,2024-09-25T15:28:00,1,ירי רקטות וטילים,1,37899,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
21,כפר בלום,20.09.2024,13:02:25,2024-09-20T13:02:00,1,ירי רקטות וטילים,1,36425,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
22,כפר בלום,15.09.2024,08:19:26,2024-09-15T08:19:00,1,ירי רקטות וטילים,1,36245,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
23,כפר בלום,08.09.2024,18:58:14,2024-09-08T18:58:00,2,חדירת כלי טיס עוין,6,35905,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
24,כפר בלום,04.09.2024,19:58:04,2024-09-04T19:58:00,1,ירי רקטות וטילים,1,35793,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
25,כפר בלום,04.09.2024,19:57:22,2024-09-04T19:57:00,1,ירי רקטות וטילים,1,35787,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
26,כפר בלום,21.08.2024,11:26:04,2024-08-21T11:26:00,2,חדירת כלי טיס עוין,6,35246,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
27,כפר בלום,16.08.2024,18:33:46,2024-08-16T18:34:00,1,ירי רקטות וטילים,1,35068,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
28,כפר בלום,15.08.2024,18:21:01,2024-08-15T18:21:00,2,חדירת כלי טיס עוין,6,35042,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
29,כפר בלום,15.08.2024,14:29:52,2024-08-15T14:30:00,1,ירי רקטות וטילים,1,35033,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
30,כפר בלום,15.08.2024,14:29:43,2024-08-15T14:30:00,1,ירי רקטות וטילים,1,35021,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
31,כפר בלום,13.08.2024,10:18:49,2024-08-13T10:19:00,2,חדירת כלי טיס עוין,6,34959,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
32,כפר בלום,04.08.2024,00:25:05,2024-08-04T00:25:00,1,ירי רקטות וטילים,1,34667,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
33,כפר בלום,27.07.2024,18:53:58,2024-07-27T18:54:00,2,חדירת כלי טיס עוין,6,34541,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
34,כפר בלום,23.07.2024,15:56:08,2024-07-23T15:56:00,2,חדירת כלי טיס עוין,6,34373,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
35,כפר בלום,23.07.2024,15:55:03,2024-07-23T15:55:00,2,חדירת כלי טיס עוין,6,34372,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
36,כפר בלום,20.07.2024,15:57:56,2024-07-20T15:58:00,1,ירי רקטות וטילים,1,34210,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
37,כפר בלום,07.07.2024,19:02:02,2024-07-07T19:02:00,2,חדירת כלי טיס עוין,6,33874,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
38,כפר בלום,06.07.2024,08:35:36,2024-07-06T08:36:00,2,חדירת כלי טיס עוין,6,33821,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
39,כפר בלום,04.07.2024,11:03:36,2024-07-04T11:04:00,1,ירי רקטות וטילים,1,33707,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
40,כפר בלום,04.07.2024,10:42:52,2024-07-04T10:43:00,2,חדירת כלי טיס עוין,6,33648,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
41,כפר בלום,04.07.2024,10:00:19,2024-07-04T10:00:00,1,ירי רקטות וטילים,1,33569,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
42,כפר בלום,28.06.2024,14:21:48,2024-06-28T14:22:00,1,ירי רקטות וטילים,1,33403,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
43,כפר בלום,13.06.2024,16:34:08,2024-06-13T16:34:00,2,חדירת כלי טיס עוין,6,33045,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
44,כפר בלום,13.06.2024,14:16:28,2024-06-13T14:16:00,2,חדירת כלי טיס עוין,6,32967,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
45,כפר בלום,13.06.2024,09:28:59,2024-06-13T09:29:00,2,חדירת כלי טיס עוין,6,32847,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
46,כפר בלום,12.06.2024,20:48:07,2024-06-12T20:48:00,2,חדירת כלי טיס עוין,6,32807,כפר בלום,Kfar Blum,كفار بلوم,Кфар Блум
