,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,כפר ברא,24.11.2024,18:31:06,2024-11-24T18:31:00,1,ירי רקטות וטילים,1,52400,כפר ברא,Kafr Bara,كفر برا,Кфар Бара
1,כפר ברא,24.11.2024,12:53:42,2024-11-24T12:54:00,1,ירי רקטות וטילים,1,52149,כפר ברא,Kafr Bara,كفر برا,Кфар Бара
2,כפר ברא,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51265,כפר ברא,Kafr Bara,كفر برا,Кфар Бара
3,כפר ברא,06.11.2024,11:21:53,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49241,כפר ברא,Kafr Bara,كفر برا,Кфар Бара
4,כפר ברא,23.10.2024,20:33:22,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46861,כפר ברא,Kafr Bara,كفر برا,Кфар Бара
5,כפר ברא,14.10.2024,17:33:56,2024-10-14T17:34:00,1,ירי רקטות וטילים,1,44469,כפר ברא,Kafr Bara,كفر برا,Кфар Бара
6,כפר ברא,07.10.2024,23:13:22,2024-10-07T23:13:00,1,ירי רקטות וטילים,1,42920,כפר ברא,Kafr Bara,كفر برا,Кфар Бара
7,כפר ברא,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42813,כפר ברא,Kafr Bara,كفر برا,Кфар Бара
8,כפר ברא,01.10.2024,18:37:32,2024-10-01T18:38:00,1,ירי רקטות וטילים,1,39620,כפר ברא,Kafr Bara,كفر برا,Кфар Бара
9,כפר ברא,01.10.2024,11:03:35,2024-10-01T11:04:00,1,ירי רקטות וטילים,1,39425,כפר ברא,Kafr Bara,كفر برا,Кфар Бара
10,כפר ברא,07.11.2023,21:00:04,2023-11-07T21:00:00,1,ירי רקטות וטילים,1,24697,כפר ברא,Kafr Bara,كفر برا,Кфар Бара
11,כפר ברא,05.11.2023,20:01:52,2023-11-05T20:02:00,1,ירי רקטות וטילים,1,24568,כפר ברא,Kafr Bara,كفر برا,Кфар Бара
12,כפר ברא,28.10.2023,18:10:46,2023-10-28T18:11:00,1,ירי רקטות וטילים,1,23850,כפר ברא,Kafr Bara,كفر برا,Кфар Бара
13,כפר ברא,14.10.2023,21:01:12,2023-10-14T21:01:00,1,ירי רקטות וטילים,1,22269,כפר ברא,Kafr Bara,كفر برا,Кфар Бара
