,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,כפר ורדים,24.11.2024,14:37:09,2024-11-24T14:37:00,1,ירי רקטות וטילים,1,52258,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
1,כפר ורדים,24.11.2024,08:44:45,2024-11-24T08:45:00,1,ירי רקטות וטילים,1,52057,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
2,כפר ורדים,24.11.2024,08:44:02,2024-11-24T08:44:00,1,ירי רקטות וטילים,1,52043,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
3,כפר ורדים,24.11.2024,06:27:42,2024-11-24T06:28:00,2,חדירת כלי טיס עוין,6,51957,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
4,כפר ורדים,24.11.2024,06:26:37,2024-11-24T06:27:00,2,חדירת כלי טיס עוין,6,51955,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
5,כפר ורדים,19.11.2024,14:23:45,2024-11-19T14:24:00,1,ירי רקטות וטילים,1,51484,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
6,כפר ורדים,19.11.2024,09:50:44,2024-11-19T09:51:00,1,ירי רקטות וטילים,1,51416,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
7,כפר ורדים,13.11.2024,12:14:35,2024-11-13T12:15:00,1,ירי רקטות וטילים,1,50483,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
8,כפר ורדים,13.11.2024,12:13:55,2024-11-13T12:14:00,1,ירי רקטות וטילים,1,50472,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
9,כפר ורדים,11.11.2024,12:09:37,2024-11-11T12:10:00,1,ירי רקטות וטילים,1,50091,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
10,כפר ורדים,11.11.2024,12:08:07,2024-11-11T12:08:00,1,ירי רקטות וטילים,1,50062,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
11,כפר ורדים,11.11.2024,12:07:24,2024-11-11T12:07:00,1,ירי רקטות וטילים,1,50016,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
12,כפר ורדים,01.11.2024,13:36:39,2024-11-01T13:37:00,1,ירי רקטות וטילים,1,48428,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
13,כפר ורדים,31.10.2024,16:20:17,2024-10-31T16:20:00,1,ירי רקטות וטילים,1,48342,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
14,כפר ורדים,29.10.2024,10:38:36,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47808,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
15,כפר ורדים,29.10.2024,10:38:35,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47825,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
16,כפר ורדים,29.10.2024,10:38:34,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47821,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
17,כפר ורדים,29.10.2024,10:38:33,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47761,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
18,כפר ורדים,29.10.2024,10:38:31,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47775,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
19,כפר ורדים,29.10.2024,10:38:30,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47725,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
20,כפר ורדים,29.10.2024,10:38:29,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47730,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
21,כפר ורדים,29.10.2024,10:38:28,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47736,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
22,כפר ורדים,29.10.2024,10:38:27,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47740,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
23,כפר ורדים,29.10.2024,10:38:26,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47749,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
24,כפר ורדים,29.10.2024,10:38:25,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47680,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
25,כפר ורדים,29.10.2024,10:38:24,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47691,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
26,כפר ורדים,29.10.2024,10:38:23,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47694,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
27,כפר ורדים,29.10.2024,10:38:22,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47708,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
28,כפר ורדים,29.10.2024,10:38:21,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47705,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
29,כפר ורדים,29.10.2024,10:38:19,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47661,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
30,כפר ורדים,29.10.2024,10:38:17,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47667,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
31,כפר ורדים,29.10.2024,10:38:15,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47639,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
32,כפר ורדים,29.10.2024,10:38:14,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47644,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
33,כפר ורדים,29.10.2024,10:38:13,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47648,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
34,כפר ורדים,29.10.2024,10:38:11,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47655,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
35,כפר ורדים,29.10.2024,10:38:09,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47625,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
36,כפר ורדים,29.10.2024,10:38:08,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47628,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
37,כפר ורדים,29.10.2024,10:38:07,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47630,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
38,כפר ורדים,29.10.2024,10:38:06,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47637,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
39,כפר ורדים,29.10.2024,10:38:05,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47612,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
40,כפר ורדים,29.10.2024,10:38:02,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47618,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
41,כפר ורדים,29.10.2024,10:38:01,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47621,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
42,כפר ורדים,29.10.2024,10:38:00,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47606,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
43,כפר ורדים,29.10.2024,10:37:58,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47609,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
44,כפר ורדים,27.10.2024,21:10:24,2024-10-27T21:10:00,2,חדירת כלי טיס עוין,6,47449,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
45,כפר ורדים,25.10.2024,14:59:28,2024-10-25T14:59:00,1,ירי רקטות וטילים,1,47126,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
46,כפר ורדים,21.10.2024,12:28:43,2024-10-21T12:29:00,1,ירי רקטות וטילים,1,45931,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
47,כפר ורדים,21.10.2024,08:23:20,2024-10-21T08:23:00,1,ירי רקטות וטילים,1,45870,כפר ורדים,Kfar Vradim,كفار فراديم,Кфар Врадим
