,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,כפר זיתים,24.11.2024,14:32:21,2024-11-24T14:32:00,1,ירי רקטות וטילים,1,52252,כפר זיתים,Kfar Zeitim,كفار زيتيم,Кфар Зеитим
1,כפר זיתים,09.11.2024,14:32:03,2024-11-09T14:32:00,1,ירי רקטות וטילים,1,49864,כפר זיתים,Kfar Zeitim,كفار زيتيم,Кфар Зеитим
2,כפר זיתים,23.10.2024,16:36:54,2024-10-23T16:37:00,1,ירי רקטות וטילים,1,46688,כפר זיתים,Kfar Zeitim,كفار زيتيم,Кфар Зеитим
3,כפר זיתים,21.10.2024,15:44:08,2024-10-21T15:44:00,1,ירי רקטות וטילים,1,46133,כפר זיתים,Kfar Zeitim,كفار زيتيم,Кфар Зеитим
4,כפר זיתים,20.10.2024,16:32:58,2024-10-20T16:33:00,1,ירי רקטות וטילים,1,45803,כפר זיתים,Kfar Zeitim,كفار زيتيم,Кфар Зеитим
5,כפר זיתים,08.10.2024,11:09:45,2024-10-08T11:10:00,1,ירי רקטות וטילים,1,43018,כפר זיתים,Kfar Zeitim,كفار زيتيم,Кфар Зеитим
6,כפר זיתים,06.10.2024,23:57:43,2024-10-06T23:58:00,1,ירי רקטות וטילים,1,42449,כפר זיתים,Kfar Zeitim,كفار زيتيم,Кфар Зеитим
7,כפר זיתים,01.10.2024,19:52:24,2024-10-01T19:52:00,1,ירי רקטות וטילים,1,41127,כפר זיתים,Kfar Zeitim,كفار زيتيم,Кфар Зеитим
8,כפר זיתים,24.09.2024,14:51:52,2024-09-24T14:52:00,1,ירי רקטות וטילים,1,37547,כפר זיתים,Kfar Zeitim,كفار زيتيم,Кфар Зеитим
9,כפר זיתים,23.09.2024,17:20:33,2024-09-23T17:21:00,1,ירי רקטות וטילים,1,37143,כפר זיתים,Kfar Zeitim,كفار زيتيم,Кфар Зеитим
10,כפר זיתים,23.09.2024,16:25:19,2024-09-23T16:25:00,1,ירי רקטות וטילים,1,37076,כפר זיתים,Kfar Zeitim,كفار زيتيم,Кфар Зеитим
11,כפר זיתים,07.07.2024,10:01:29,2024-07-07T10:01:00,1,ירי רקטות וטילים,1,33847,כפר זיתים,Kfar Zeitim,كفار زيتيم,Кфар Зеитим
