,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,כפר יאסיף,24.11.2024,13:04:22,2024-11-24T13:04:00,1,ירי רקטות וטילים,1,52212,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
1,כפר יאסיף,22.11.2024,21:10:54,2024-11-22T21:11:00,1,ירי רקטות וטילים,1,51832,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
2,כפר יאסיף,15.11.2024,06:54:25,2024-11-15T06:54:00,1,ירי רקטות וטילים,1,50883,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
3,כפר יאסיף,11.11.2024,15:43:05,2024-11-11T15:43:00,1,ירי רקטות וטילים,1,50161,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
4,כפר יאסיף,08.11.2024,15:19:05,2024-11-08T15:19:00,1,ירי רקטות וטילים,1,49714,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
5,כפר יאסיף,08.11.2024,06:45:49,2024-11-08T06:46:00,1,ירי רקטות וטילים,1,49621,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
6,כפר יאסיף,07.11.2024,16:14:41,2024-11-07T16:15:00,1,ירי רקטות וטילים,1,49537,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
7,כפר יאסיף,06.11.2024,11:21:45,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49189,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
8,כפר יאסיף,30.10.2024,17:29:51,2024-10-30T17:30:00,2,חדירת כלי טיס עוין,6,48167,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
9,כפר יאסיף,27.10.2024,08:07:07,2024-10-27T08:07:00,2,חדירת כלי טיס עוין,6,47350,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
10,כפר יאסיף,22.10.2024,13:27:41,2024-10-22T13:28:00,1,ירי רקטות וטילים,1,46358,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
11,כפר יאסיף,22.10.2024,13:27:00,2024-10-22T13:27:00,1,ירי רקטות וטילים,1,46344,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
12,כפר יאסיף,21.10.2024,12:28:43,2024-10-21T12:29:00,1,ירי רקטות וטילים,1,45960,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
13,כפר יאסיף,20.10.2024,15:42:34,2024-10-20T15:43:00,1,ירי רקטות וטילים,1,45765,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
14,כפר יאסיף,20.10.2024,15:41:42,2024-10-20T15:42:00,1,ירי רקטות וטילים,1,45735,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
15,כפר יאסיף,13.10.2024,09:01:24,2024-10-13T09:01:00,1,ירי רקטות וטילים,1,43962,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
16,כפר יאסיף,12.10.2024,15:13:47,2024-10-12T15:14:00,1,ירי רקטות וטילים,1,43806,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
17,כפר יאסיף,11.10.2024,17:23:34,2024-10-11T17:24:00,1,ירי רקטות וטילים,1,43692,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
18,כפר יאסיף,11.10.2024,17:22:45,2024-10-11T17:23:00,1,ירי רקטות וטילים,1,43674,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
19,כפר יאסיף,08.10.2024,12:44:48,2024-10-08T12:45:00,1,ירי רקטות וטילים,1,43081,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
20,כפר יאסיף,06.10.2024,13:49:33,2024-10-06T13:50:00,1,ירי רקטות וטילים,1,42349,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
21,כפר יאסיף,01.10.2024,16:11:37,2024-10-01T16:12:00,1,ירי רקטות וטילים,1,39596,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
22,כפר יאסיף,29.09.2024,21:15:11,2024-09-29T21:15:00,1,ירי רקטות וטילים,1,39276,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
23,כפר יאסיף,28.09.2024,10:42:52,2024-09-28T10:43:00,1,ירי רקטות וטילים,1,38769,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
24,כפר יאסיף,24.09.2024,15:03:49,2024-09-24T15:04:00,1,ירי רקטות וטילים,1,37578,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
25,כפר יאסיף,24.09.2024,13:57:44,2024-09-24T13:58:00,1,ירי רקטות וטילים,1,37534,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
26,כפר יאסיף,23.09.2024,17:02:55,2024-09-23T17:03:00,1,ירי רקטות וטילים,1,37105,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
27,כפר יאסיף,22.09.2024,06:31:40,2024-09-22T06:32:00,1,ירי רקטות וטילים,1,36806,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
28,כפר יאסיף,22.09.2024,06:30:53,2024-09-22T06:31:00,1,ירי רקטות וטילים,1,36767,כפר יאסיף,Kfar Yassif,كفر ياسيف,Кфар Ясиф
