,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,כפר יונה,24.11.2024,18:47:10,2024-11-24T18:47:00,1,ירי רקטות וטילים,1,52453,כפר יונה,Kfar Yona,كفر يونه,Кфар Йона
1,כפר יונה,24.11.2024,07:27:27,2024-11-24T07:27:00,1,ירי רקטות וטילים,1,52004,כפר יונה,Kfar Yona,كفر يونه,Кфар Йона
2,כפר יונה,19.11.2024,08:52:52,2024-11-19T08:53:00,1,ירי רקטות וטילים,1,51345,כפר יונה,Kfar Yona,كفر يونه,Кфар Йона
3,כפר יונה,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51320,כפר יונה,Kfar Yona,كفر يونه,Кфар Йона
4,כפר יונה,13.11.2024,17:47:08,2024-11-13T17:47:00,1,ירי רקטות וטילים,1,50702,כפר יונה,Kfar Yona,كفر يونه,Кфар Йона
5,כפר יונה,06.11.2024,11:21:23,2024-11-06T11:21:00,1,ירי רקטות וטילים,1,49172,כפר יונה,Kfar Yona,كفر يونه,Кфар Йона
6,כפר יונה,30.10.2024,06:17:13,2024-10-30T06:17:00,1,ירי רקטות וטילים,1,48004,כפר יונה,Kfar Yona,كفر يونه,Кфар Йона
7,כפר יונה,14.10.2024,17:37:02,2024-10-14T17:37:00,1,ירי רקטות וטילים,1,44581,כפר יונה,Kfar Yona,كفر يونه,Кфар Йона
8,כפר יונה,14.10.2024,17:33:29,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44448,כפר יונה,Kfar Yona,كفر يونه,Кфар Йона
9,כפר יונה,14.10.2024,11:19:27,2024-10-14T11:19:00,1,ירי רקטות וטילים,1,44214,כפר יונה,Kfar Yona,كفر يونه,Кфар Йона
10,כפר יונה,01.10.2024,18:38:25,2024-10-01T18:38:00,1,ירי רקטות וטילים,1,39680,כפר יונה,Kfar Yona,كفر يونه,Кфар Йона
11,כפר יונה,25.09.2024,06:32:24,2024-09-25T06:32:00,1,ירי רקטות וטילים,1,37781,כפר יונה,Kfar Yona,كفر يونه,Кфар Йона
12,כפר יונה,12.10.2023,08:39:08,2023-10-12T08:39:00,1,ירי רקטות וטילים,1,21765,כפר יונה,Kfar Yona,كفر يونه,Кфар Йона
