,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,כפר מנדא,24.11.2024,18:09:22,2024-11-24T18:09:00,1,ירי רקטות וטילים,1,52340,כפר מנדא,Kfar Manda,كفر مندا,Кфар Манда
1,כפר מנדא,19.11.2024,09:50:51,2024-11-19T09:51:00,1,ירי רקטות וטילים,1,51424,כפר מנדא,Kfar Manda,كفر مندا,Кфар Манда
2,כפר מנדא,08.11.2024,07:44:40,2024-11-08T07:45:00,1,ירי רקטות וטילים,1,49633,כפר מנדא,Kfar Manda,كفر مندا,Кфар Манда
3,כפר מנדא,31.10.2024,23:21:35,2024-10-31T23:22:00,2,חדירת כלי טיס עוין,6,48374,כפר מנדא,Kfar Manda,كفر مندا,Кфар Манда
4,כפר מנדא,21.10.2024,12:28:43,2024-10-21T12:29:00,1,ירי רקטות וטילים,1,46000,כפר מנדא,Kfar Manda,كفر مندا,Кфар Манда
5,כפר מנדא,17.10.2024,03:28:33,2024-10-17T03:29:00,1,ירי רקטות וטילים,1,45029,כפר מנדא,Kfar Manda,كفر مندا,Кфар Манда
6,כפר מנדא,17.10.2024,03:26:16,2024-10-17T03:26:00,1,ירי רקטות וטילים,1,44935,כפר מנדא,Kfar Manda,كفر مندا,Кфар Манда
7,כפר מנדא,13.10.2024,14:02:31,2024-10-13T14:03:00,1,ירי רקטות וטילים,1,44038,כפר מנדא,Kfar Manda,كفر مندا,Кфар Манда
8,כפר מנדא,11.10.2024,17:22:19,2024-10-11T17:22:00,1,ירי רקטות וטילים,1,43646,כפר מנדא,Kfar Manda,كفر مندا,Кфар Манда
9,כפר מנדא,11.10.2024,16:31:01,2024-10-11T16:31:00,1,ירי רקטות וטילים,1,43550,כפר מנדא,Kfar Manda,كفر مندا,Кфар Манда
10,כפר מנדא,01.10.2024,19:52:24,2024-10-01T19:52:00,1,ירי רקטות וטילים,1,41054,כפר מנדא,Kfar Manda,كفر مندا,Кфар Манда
11,כפר מנדא,28.09.2024,09:35:21,2024-09-28T09:35:00,1,ירי רקטות וטילים,1,38571,כפר מנדא,Kfar Manda,كفر مندا,Кфар Манда
12,כפר מנדא,28.09.2024,08:04:00,2024-09-28T08:04:00,1,ירי רקטות וטילים,1,38413,כפר מנדא,Kfar Manda,كفر مندا,Кфар Манда
13,כפר מנדא,28.09.2024,07:59:03,2024-09-28T07:59:00,1,ירי רקטות וטילים,1,38234,כפר מנדא,Kfar Manda,كفر مندا,Кфар Манда
14,כפר מנדא,26.09.2024,19:08:35,2024-09-26T19:09:00,1,ירי רקטות וטילים,1,37976,כפר מנדא,Kfar Manda,كفر مندا,Кфар Манда
15,כפר מנדא,25.09.2024,13:38:26,2024-09-25T13:38:00,1,ירי רקטות וטילים,1,37892,כפר מנדא,Kfar Manda,كفر مندا,Кфар Манда
16,כפר מנדא,24.09.2024,15:12:28,2024-09-24T15:12:00,1,ירי רקטות וטילים,1,37591,כפר מנדא,Kfar Manda,كفر مندا,Кфар Манда
17,כפר מנדא,22.09.2024,06:24:38,2024-09-22T06:25:00,1,ירי רקטות וטילים,1,36722,כפר מנדא,Kfar Manda,كفر مندا,Кфар Манда
18,כפר מנדא,22.09.2024,05:10:52,2024-09-22T05:11:00,1,ירי רקטות וטילים,1,36687,כפר מנדא,Kfar Manda,كفر مندا,Кфар Манда
19,כפר מנדא,22.09.2024,01:11:48,2024-09-22T01:12:00,1,ירי רקטות וטילים,1,36630,כפר מנדא,Kfar Manda,كفر مندا,Кфар Манда
20,כפר מנדא,12.06.2024,09:00:28,2024-06-12T09:00:00,1,ירי רקטות וטילים,1,32685,כפר מנדא,Kfar Manda,كفر مندا,Кфар Манда
21,כפר מנדא,13.10.2023,15:02:31,2023-10-13T15:03:00,1,ירי רקטות וטילים,1,21974,כפר מנדא,Kfar Manda,كفر مندا,Кфар Манда
