,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,כפר מסריק,24.11.2024,18:12:24,2024-11-24T18:12:00,1,ירי רקטות וטילים,1,52371,כפר מסריק,Kfar Masaryk,كفار مسريك,Кфар Масарик
1,כפר מסריק,24.11.2024,16:28:32,2024-11-24T16:29:00,1,ירי רקטות וטילים,1,52313,כפר מסריק,Kfar Masaryk,كفار مسريك,Кфар Масарик
2,כפר מסריק,24.11.2024,15:32:22,2024-11-24T15:32:00,1,ירי רקטות וטילים,1,52282,כפר מסריק,Kfar Masaryk,كفار مسريك,Кфар Масарик
3,כפר מסריק,20.11.2024,06:37:30,2024-11-20T06:38:00,2,חדירת כלי טיס עוין,6,51557,כפר מסריק,Kfar Masaryk,كفار مسريك,Кфар Масарик
4,כפר מסריק,17.11.2024,10:12:36,2024-11-17T10:13:00,1,ירי רקטות וטילים,1,51084,כפר מסריק,Kfar Masaryk,كفار مسريك,Кфар Масарик
5,כפר מסריק,17.11.2024,10:11:55,2024-11-17T10:12:00,1,ירי רקטות וטילים,1,51078,כפר מסריק,Kfar Masaryk,كفار مسريك,Кфар Масарик
6,כפר מסריק,16.11.2024,14:45:03,2024-11-16T14:45:00,1,ירי רקטות וטילים,1,51024,כפר מסריק,Kfar Masaryk,كفار مسريك,Кфар Масарик
7,כפר מסריק,16.11.2024,10:47:21,2024-11-16T10:47:00,1,ירי רקטות וטילים,1,50991,כפר מסריק,Kfar Masaryk,كفار مسريك,Кфар Масарик
8,כפר מסריק,15.11.2024,09:02:14,2024-11-15T09:02:00,1,ירי רקטות וטילים,1,50905,כפר מסריק,Kfar Masaryk,كفار مسريك,Кфар Масарик
9,כפר מסריק,15.11.2024,06:54:00,2024-11-15T06:54:00,1,ירי רקטות וטילים,1,50874,כפר מסריק,Kfar Masaryk,كفار مسريك,Кфар Масарик
10,כפר מסריק,14.11.2024,18:50:54,2024-11-14T18:51:00,2,חדירת כלי טיס עוין,6,50795,כפר מסריק,Kfar Masaryk,كفار مسريك,Кфар Масарик
11,כפר מסריק,14.11.2024,18:49:50,2024-11-14T18:50:00,2,חדירת כלי טיס עוין,6,50793,כפר מסריק,Kfar Masaryk,كفار مسريك,Кфар Масарик
12,כפר מסריק,13.11.2024,14:58:14,2024-11-13T14:58:00,2,חדירת כלי טיס עוין,6,50535,כפר מסריק,Kfar Masaryk,كفار مسريك,Кфар Масарик
13,כפר מסריק,13.11.2024,14:57:10,2024-11-13T14:57:00,2,חדירת כלי טיס עוין,6,50532,כפר מסריק,Kfar Masaryk,كفار مسريك,Кфар Масарик
14,כפר מסריק,12.11.2024,09:29:52,2024-11-12T09:30:00,2,חדירת כלי טיס עוין,6,50277,כפר מסריק,Kfar Masaryk,كفار مسريك,Кфар Масарик
