,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,כפר סבא,24.11.2024,18:31:06,2024-11-24T18:31:00,1,ירי רקטות וטילים,1,52401,כפר סבא,Kfar Saba,كفار سابا,Кфар Саба
1,כפר סבא,24.11.2024,12:53:34,2024-11-24T12:54:00,1,ירי רקטות וטילים,1,52143,כפר סבא,Kfar Saba,كفار سابا,Кфар Саба
2,כפר סבא,19.11.2024,08:53:04,2024-11-19T08:53:00,1,ירי רקטות וטילים,1,51364,כפר סבא,Kfar Saba,كفار سابا,Кфар Саба
3,כפר סבא,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51269,כפר סבא,Kfar Saba,كفار سابا,Кфар Саба
4,כפר סבא,13.11.2024,17:44:54,2024-11-13T17:45:00,1,ירי רקטות וטילים,1,50659,כפר סבא,Kfar Saba,كفار سابا,Кфар Саба
5,כפר סבא,12.11.2024,16:36:09,2024-11-12T16:36:00,1,ירי רקטות וטילים,1,50406,כפר סבא,Kfar Saba,كفار سابا,Кфар Саба
6,כפר סבא,08.11.2024,15:19:59,2024-11-08T15:20:00,1,ירי רקטות וטילים,1,49743,כפר סבא,Kfar Saba,كفار سابا,Кфар Саба
7,כפר סבא,06.11.2024,11:21:53,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49243,כפר סבא,Kfar Saba,كفار سابا,Кфар Саба
8,כפר סבא,02.11.2024,02:17:35,2024-11-02T02:18:00,1,ירי רקטות וטילים,1,48470,כפר סבא,Kfar Saba,كفار سابا,Кфар Саба
9,כפר סבא,23.10.2024,20:33:12,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46845,כפר סבא,Kfar Saba,كفار سابا,Кфар Саба
10,כפר סבא,14.10.2024,17:33:13,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44368,כפר סבא,Kfar Saba,كفار سابا,Кфар Саба
11,כפר סבא,07.10.2024,23:13:22,2024-10-07T23:13:00,1,ירי רקטות וטילים,1,42922,כפר סבא,Kfar Saba,كفار سابا,Кфар Саба
12,כפר סבא,07.10.2024,17:44:17,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42847,כפר סבא,Kfar Saba,كفار سابا,Кфар Саба
13,כפר סבא,01.10.2024,18:37:32,2024-10-01T18:38:00,1,ירי רקטות וטילים,1,39622,כפר סבא,Kfar Saba,كفار سابا,Кфар Саба
14,כפר סבא,01.10.2024,11:03:33,2024-10-01T11:04:00,1,ירי רקטות וטילים,1,39439,כפר סבא,Kfar Saba,كفار سابا,Кфар Саба
15,כפר סבא,26.05.2024,14:00:12,2024-05-26T14:00:00,1,ירי רקטות וטילים,1,31710,כפר סבא,Kfar Saba,كفار سابا,Кфар Саба
16,כפר סבא,21.12.2023,13:30:32,2023-12-21T13:31:00,1,ירי רקטות וטילים,1,26891,כפר סבא,Kfar Saba,كفار سابا,Кфар Саба
17,כפר סבא,31.10.2023,14:36:39,2023-10-31T14:37:00,1,ירי רקטות וטילים,1,24153,כפר סבא,Kfar Saba,كفار سابا,Кфар Саба
18,כפר סבא,31.10.2023,14:31:22,2023-10-31T14:31:00,1,ירי רקטות וטילים,1,24141,כפר סבא,Kfar Saba,كفار سابا,Кфар Саба
19,כפר סבא,29.10.2023,12:00:41,2023-10-29T12:01:00,1,ירי רקטות וטילים,1,23934,כפר סבא,Kfar Saba,كفار سابا,Кфар Саба
20,כפר סבא,24.10.2023,17:01:11,2023-10-24T17:01:00,1,ירי רקטות וטילים,1,23371,כפר סבא,Kfar Saba,كفار سابا,Кфар Саба
21,כפר סבא,07.10.2023,20:00:41,2023-10-07T20:01:00,1,ירי רקטות וטילים,1,20292,כפר סבא,Kfar Saba,كفار سابا,Кфар Саба
22,כפר סבא,07.10.2023,06:33:21,2023-10-07T06:33:00,1,ירי רקטות וטילים,1,16649,כפר סבא,Kfar Saba,كفار سابا,Кфар Саба
