,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,כפר סירקין,24.11.2024,12:52:23,2024-11-24T12:52:00,1,ירי רקטות וטילים,1,52112,כפר סירקין,Kfar Sirkin,كفار سيركين,Кфар Сиркин
1,כפר סירקין,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51237,כפר סירקין,Kfar Sirkin,كفار سيركين,Кфар Сиркин
2,כפר סירקין,12.11.2024,16:36:38,2024-11-12T16:37:00,1,ירי רקטות וטילים,1,50411,כפר סירקין,Kfar Sirkin,كفار سيركين,Кфар Сиркин
3,כפר סירקין,08.11.2024,15:19:04,2024-11-08T15:19:00,1,ירי רקטות וטילים,1,49715,כפר סירקין,Kfar Sirkin,كفار سيركين,Кфар Сиркин
4,כפר סירקין,06.11.2024,16:17:26,2024-11-06T16:17:00,1,ירי רקטות וטילים,1,49378,כפר סירקין,Kfar Sirkin,كفار سيركين,Кфар Сиркин
5,כפר סירקין,06.11.2024,11:22:42,2024-11-06T11:23:00,1,ירי רקטות וטילים,1,49286,כפר סירקין,Kfar Sirkin,كفار سيركين,Кфар Сиркин
6,כפר סירקין,07.10.2024,23:13:22,2024-10-07T23:13:00,1,ירי רקטות וטילים,1,42909,כפר סירקין,Kfar Sirkin,كفار سيركين,Кфар Сиркин
7,כפר סירקין,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42796,כפר סירקין,Kfar Sirkin,كفار سيركين,Кфар Сиркин
8,כפר סירקין,28.09.2024,17:41:08,2024-09-28T17:41:00,1,ירי רקטות וטילים,1,38979,כפר סירקין,Kfar Sirkin,كفار سيركين,Кфар Сиркин
9,כפר סירקין,27.09.2024,00:40:41,2024-09-27T00:41:00,1,ירי רקטות וטילים,1,38044,כפר סירקין,Kfar Sirkin,كفار سيركين,Кфар Сиркин
10,כפר סירקין,15.09.2024,06:32:40,2024-09-15T06:33:00,1,ירי רקטות וטילים,1,36229,כפר סירקין,Kfar Sirkin,كفار سيركين,Кфар Сиркин
11,כפר סירקין,20.11.2023,18:03:48,2023-11-20T18:04:00,1,ירי רקטות וטילים,1,25369,כפר סירקין,Kfar Sirkin,كفار سيركين,Кфар Сиркин
12,כפר סירקין,07.11.2023,21:34:10,2023-11-07T21:34:00,1,ירי רקטות וטילים,1,24739,כפר סירקין,Kfar Sirkin,كفار سيركين,Кфар Сиркин
13,כפר סירקין,07.11.2023,21:00:14,2023-11-07T21:00:00,1,ירי רקטות וטילים,1,24710,כפר סירקין,Kfar Sirkin,كفار سيركين,Кфар Сиркин
14,כפר סירקין,28.10.2023,18:10:41,2023-10-28T18:11:00,1,ירי רקטות וטילים,1,23836,כפר סירקין,Kfar Sirkin,كفار سيركين,Кфар Сиркин
15,כפר סירקין,25.10.2023,21:31:15,2023-10-25T21:31:00,1,ירי רקטות וטילים,1,23477,כפר סירקין,Kfar Sirkin,كفار سيركين,Кфар Сиркин
16,כפר סירקין,14.10.2023,21:02:19,2023-10-14T21:02:00,1,ירי רקטות וטילים,1,22280,כפר סירקין,Kfar Sirkin,كفار سيركين,Кфар Сиркин
17,כפר סירקין,07.10.2023,20:00:37,2023-10-07T20:01:00,1,ירי רקטות וטילים,1,20261,כפר סירקין,Kfar Sirkin,كفار سيركين,Кфар Сиркин
18,כפר סירקין,07.10.2023,07:33:23,2023-10-07T07:33:00,1,ירי רקטות וטילים,1,17679,כפר סירקין,Kfar Sirkin,كفار سيركين,Кфар Сиркин
