,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,כפר קאסם,24.11.2024,18:31:06,2024-11-24T18:31:00,1,ירי רקטות וטילים,1,52402,כפר קאסם,Kfar Kassem,كفر قاسم,Кфар Касем
1,כפר קאסם,24.11.2024,12:53:42,2024-11-24T12:54:00,1,ירי רקטות וטילים,1,52150,כפר קאסם,Kfar Kassem,كفر قاسم,Кфар Касем
2,כפר קאסם,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51271,כפר קאסם,Kfar Kassem,كفر قاسم,Кфар Касем
3,כפר קאסם,06.11.2024,11:21:53,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49244,כפר קאסם,Kfar Kassem,كفر قاسم,Кфар Касем
4,כפר קאסם,23.10.2024,20:33:13,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46818,כפר קאסם,Kfar Kassem,كفر قاسم,Кфар Касем
5,כפר קאסם,14.10.2024,17:33:56,2024-10-14T17:34:00,1,ירי רקטות וטילים,1,44471,כפר קאסם,Kfar Kassem,كفر قاسم,Кфар Касем
6,כפר קאסם,07.10.2024,23:13:22,2024-10-07T23:13:00,1,ירי רקטות וטילים,1,42923,כפר קאסם,Kfar Kassem,كفر قاسم,Кфар Касем
7,כפר קאסם,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42814,כפר קאסם,Kfar Kassem,كفر قاسم,Кфар Касем
8,כפר קאסם,01.10.2024,18:37:32,2024-10-01T18:38:00,1,ירי רקטות וטילים,1,39624,כפר קאסם,Kfar Kassem,كفر قاسم,Кфар Касем
9,כפר קאסם,01.10.2024,11:03:35,2024-10-01T11:04:00,1,ירי רקטות וטילים,1,39426,כפר קאסם,Kfar Kassem,كفر قاسم,Кфар Касем
10,כפר קאסם,07.11.2023,21:00:04,2023-11-07T21:00:00,1,ירי רקטות וטילים,1,24698,כפר קאסם,Kfar Kassem,كفر قاسم,Кфар Касем
11,כפר קאסם,05.11.2023,20:01:48,2023-11-05T20:02:00,1,ירי רקטות וטילים,1,24565,כפר קאסם,Kfar Kassem,كفر قاسم,Кфар Касем
12,כפר קאסם,02.11.2023,17:01:17,2023-11-02T17:01:00,1,ירי רקטות וטילים,1,24335,כפר קאסם,Kfar Kassem,كفر قاسم,Кфар Касем
13,כפר קאסם,28.10.2023,18:10:46,2023-10-28T18:11:00,1,ירי רקטות וטילים,1,23851,כפר קאסם,Kfar Kassem,كفر قاسم,Кфар Касем
14,כפר קאסם,14.10.2023,21:01:12,2023-10-14T21:01:00,1,ירי רקטות וטילים,1,22270,כפר קאסם,Kfar Kassem,كفر قاسم,Кфар Касем
15,כפר קאסם,07.10.2023,21:20:58,2023-10-07T21:21:00,1,ירי רקטות וטילים,1,20512,כפר קאסם,Kfar Kassem,كفر قاسم,Кфар Касем
