,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,כפר שמאי,24.11.2024,14:24:46,2024-11-24T14:25:00,1,ירי רקטות וטילים,1,52249,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
1,כפר שמאי,24.11.2024,14:24:01,2024-11-24T14:24:00,1,ירי רקטות וטילים,1,52241,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
2,כפר שמאי,02.11.2024,12:37:34,2024-11-02T12:38:00,1,ירי רקטות וטילים,1,48645,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
3,כפר שמאי,28.10.2024,23:27:02,2024-10-28T23:27:00,1,ירי רקטות וטילים,1,47568,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
4,כפר שמאי,25.10.2024,15:30:45,2024-10-25T15:31:00,1,ירי רקטות וטילים,1,47145,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
5,כפר שמאי,24.10.2024,16:55:25,2024-10-24T16:55:00,1,ירי רקטות וטילים,1,47020,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
6,כפר שמאי,20.10.2024,16:25:52,2024-10-20T16:26:00,1,ירי רקטות וטילים,1,45778,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
7,כפר שמאי,19.10.2024,12:22:28,2024-10-19T12:22:00,1,ירי רקטות וטילים,1,45449,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
8,כפר שמאי,18.10.2024,23:46:12,2024-10-18T23:46:00,1,ירי רקטות וטילים,1,45301,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
9,כפר שמאי,18.10.2024,22:30:42,2024-10-18T22:31:00,1,ירי רקטות וטילים,1,45291,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
10,כפר שמאי,17.10.2024,03:28:33,2024-10-17T03:29:00,1,ירי רקטות וטילים,1,45002,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
11,כפר שמאי,17.10.2024,01:22:16,2024-10-17T01:22:00,1,ירי רקטות וטילים,1,44920,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
12,כפר שמאי,09.10.2024,16:45:04,2024-10-09T16:45:00,1,ירי רקטות וטילים,1,43311,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
13,כפר שמאי,08.10.2024,07:57:50,2024-10-08T07:58:00,1,ירי רקטות וטילים,1,43007,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
14,כפר שמאי,05.10.2024,18:47:59,2024-10-05T18:48:00,1,ירי רקטות וטילים,1,42252,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
15,כפר שמאי,02.10.2024,13:02:46,2024-10-02T13:03:00,1,ירי רקטות וטילים,1,41592,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
16,כפר שמאי,02.10.2024,13:01:58,2024-10-02T13:02:00,1,ירי רקטות וטילים,1,41579,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
17,כפר שמאי,01.10.2024,19:52:24,2024-10-01T19:52:00,1,ירי רקטות וטילים,1,41133,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
18,כפר שמאי,28.09.2024,09:36:21,2024-09-28T09:36:00,1,ירי רקטות וטילים,1,38654,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
19,כפר שמאי,28.09.2024,08:01:08,2024-09-28T08:01:00,1,ירי רקטות וטילים,1,38332,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
20,כפר שמאי,26.09.2024,16:08:18,2024-09-26T16:08:00,1,ירי רקטות וטילים,1,37944,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
21,כפר שמאי,26.09.2024,16:07:36,2024-09-26T16:08:00,1,ירי רקטות וטילים,1,37934,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
22,כפר שמאי,26.09.2024,16:06:55,2024-09-26T16:07:00,1,ירי רקטות וטילים,1,37926,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
23,כפר שמאי,25.09.2024,11:01:22,2024-09-25T11:01:00,1,ירי רקטות וטילים,1,37837,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
24,כפר שמאי,20.09.2024,13:02:45,2024-09-20T13:03:00,1,ירי רקטות וטילים,1,36435,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
25,כפר שמאי,10.08.2024,19:43:53,2024-08-10T19:44:00,2,חדירת כלי טיס עוין,6,34934,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
26,כפר שמאי,07.07.2024,13:02:59,2024-07-07T13:03:00,1,ירי רקטות וטילים,1,33860,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
27,כפר שמאי,12.06.2024,10:01:06,2024-06-12T10:01:00,1,ירי רקטות וטילים,1,32726,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
28,כפר שמאי,10.03.2024,09:24:48,2024-03-10T09:25:00,1,ירי רקטות וטילים,1,28590,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
29,כפר שמאי,14.02.2024,09:12:45,2024-02-14T09:13:00,1,ירי רקטות וטילים,1,28105,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
30,כפר שמאי,06.01.2024,08:07:25,2024-01-06T08:07:00,2,חדירת כלי טיס עוין,6,27374,כפר שמאי,Kfar Shamai,كفار شماي,Кфар Шамай
