,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,כרם בן זמרה,24.11.2024,15:35:23,2024-11-24T15:35:00,1,ירי רקטות וטילים,1,52300,כרם בן זמרה,Kerem Ben Zimra,كرم بن زمره,Керем Бен Зимра
1,כרם בן זמרה,24.11.2024,14:24:03,2024-11-24T14:24:00,1,ירי רקטות וטילים,1,52239,כרם בן זמרה,Kerem Ben Zimra,كرم بن زمره,Керем Бен Зимра
2,כרם בן זמרה,24.11.2024,12:11:15,2024-11-24T12:11:00,1,ירי רקטות וטילים,1,52105,כרם בן זמרה,Kerem Ben Zimra,كرم بن زمره,Керем Бен Зимра
3,כרם בן זמרה,19.11.2024,10:58:34,2024-11-19T10:59:00,2,חדירת כלי טיס עוין,6,51463,כרם בן זמרה,Kerem Ben Zimra,كرم بن زمره,Керем Бен Зимра
4,כרם בן זמרה,18.11.2024,15:10:44,2024-11-18T15:11:00,1,ירי רקטות וטילים,1,51177,כרם בן זמרה,Kerem Ben Zimra,كرم بن زمره,Керем Бен Зимра
5,כרם בן זמרה,16.11.2024,16:40:58,2024-11-16T16:41:00,1,ירי רקטות וטילים,1,51036,כרם בן זמרה,Kerem Ben Zimra,كرم بن زمره,Керем Бен Зимра
6,כרם בן זמרה,16.11.2024,11:49:25,2024-11-16T11:49:00,1,ירי רקטות וטילים,1,50998,כרם בן זמרה,Kerem Ben Zimra,كرم بن زمره,Керем Бен Зимра
7,כרם בן זמרה,13.11.2024,06:19:40,2024-11-13T06:20:00,1,ירי רקטות וטילים,1,50457,כרם בן זמרה,Kerem Ben Zimra,كرم بن زمره,Керем Бен Зимра
8,כרם בן זמרה,11.11.2024,15:51:52,2024-11-11T15:52:00,2,חדירת כלי טיס עוין,6,50180,כרם בן זמרה,Kerem Ben Zimra,كرم بن زمره,Керем Бен Зимра
9,כרם בן זמרה,05.11.2024,10:35:21,2024-11-05T10:35:00,1,ירי רקטות וטילים,1,49083,כרם בן זמרה,Kerem Ben Zimra,كرم بن زمره,Керем Бен Зимра
10,כרם בן זמרה,02.11.2024,12:37:32,2024-11-02T12:38:00,1,ירי רקטות וטילים,1,48650,כרם בן זמרה,Kerem Ben Zimra,كرم بن زمره,Керем Бен Зимра
11,כרם בן זמרה,31.10.2024,07:41:26,2024-10-31T07:41:00,1,ירי רקטות וטילים,1,48263,כרם בן זמרה,Kerem Ben Zimra,كرم بن زمره,Керем Бен Зимра
12,כרם בן זמרה,30.10.2024,15:18:46,2024-10-30T15:19:00,1,ירי רקטות וטילים,1,48121,כרם בן זמרה,Kerem Ben Zimra,كرم بن زمره,Керем Бен Зимра
13,כרם בן זמרה,29.10.2024,07:51:59,2024-10-29T07:52:00,1,ירי רקטות וטילים,1,47591,כרם בן זמרה,Kerem Ben Zimra,كرم بن زمره,Керем Бен Зимра
14,כרם בן זמרה,24.10.2024,10:53:17,2024-10-24T10:53:00,1,ירי רקטות וטילים,1,46950,כרם בן זמרה,Kerem Ben Zimra,كرم بن زمره,Керем Бен Зимра
15,כרם בן זמרה,20.10.2024,16:25:57,2024-10-20T16:26:00,1,ירי רקטות וטילים,1,45784,כרם בן זמרה,Kerem Ben Zimra,كرم بن زمره,Керем Бен Зимра
16,כרם בן זמרה,20.10.2024,12:30:57,2024-10-20T12:31:00,1,ירי רקטות וטילים,1,45686,כרם בן זמרה,Kerem Ben Zimra,كرم بن زمره,Керем Бен Зимра
17,כרם בן זמרה,16.10.2024,01:39:14,2024-10-16T01:39:00,1,ירי רקטות וטילים,1,44791,כרם בן זמרה,Kerem Ben Zimra,كرم بن زمره,Керем Бен Зимра
18,כרם בן זמרה,11.10.2024,16:31:54,2024-10-11T16:32:00,1,ירי רקטות וטילים,1,43580,כרם בן זמרה,Kerem Ben Zimra,كرم بن زمره,Керем Бен Зимра
19,כרם בן זמרה,10.10.2024,15:54:52,2024-10-10T15:55:00,1,ירי רקטות וטילים,1,43469,כרם בן זמרה,Kerem Ben Zimra,كرم بن زمره,Керем Бен Зимра
20,כרם בן זמרה,09.10.2024,16:45:43,2024-10-09T16:46:00,1,ירי רקטות וטילים,1,43329,כרם בן זמרה,Kerem Ben Zimra,كرم بن زمره,Керем Бен Зимра
21,כרם בן זמרה,09.10.2024,16:44:54,2024-10-09T16:45:00,1,ירי רקטות וטילים,1,43304,כרם בן זמרה,Kerem Ben Zimra,كرم بن زمره,Керем Бен Зимра
22,כרם בן זמרה,09.10.2024,16:44:05,2024-10-09T16:44:00,1,ירי רקטות וטילים,1,43279,כרם בן זמרה,Kerem Ben Zimra,كرم بن زمره,Керем Бен Зимра
23,כרם בן זמרה,09.10.2024,16:42:26,2024-10-09T16:42:00,1,ירי רקטות וטילים,1,43259,כרם בן זמרה,Kerem Ben Zimra,كرم بن زمره,Керем Бен Зимра
24,כרם בן זמרה,08.10.2024,04:51:00,2024-10-08T04:51:00,1,ירי רקטות וטילים,1,42999,כרם בן זמרה,Kerem Ben Zimra,كرم بن زمره,Керем Бен Зимра
25,כרם בן זמרה,08.10.2024,04:46:50,2024-10-08T04:47:00,1,ירי רקטות וטילים,1,42990,כרם בן זמרה,Kerem Ben Zimra,كرم بن زمره,Керем Бен Зимра
26,כרם בן זמרה,06.10.2024,15:39:08,2024-10-06T15:39:00,1,ירי רקטות וטילים,1,42362,כרם בן זמרה,Kerem Ben Zimra,كرم بن زمره,Керем Бен Зимра
