,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,להבות הבשן,24.11.2024,13:45:50,2024-11-24T13:46:00,1,ירי רקטות וטילים,1,52229,להבות הבשן,Lehavot HaBashan,لهفوت هباشان,Лехавот ха-Башан
1,להבות הבשן,08.11.2024,15:43:47,2024-11-08T15:44:00,2,חדירת כלי טיס עוין,6,49763,להבות הבשן,Lehavot HaBashan,لهفوت هباشان,Лехавот ха-Башан
2,להבות הבשן,03.11.2024,14:22:12,2024-11-03T14:22:00,1,ירי רקטות וטילים,1,48864,להבות הבשן,Lehavot HaBashan,لهفوت هباشان,Лехавот ха-Башан
3,להבות הבשן,24.10.2024,18:20:18,2024-10-24T18:20:00,2,חדירת כלי טיס עוין,6,47037,להבות הבשן,Lehavot HaBashan,لهفوت هباشان,Лехавот ха-Башан
4,להבות הבשן,24.10.2024,16:46:14,2024-10-24T16:46:00,2,חדירת כלי טיס עוין,6,47009,להבות הבשן,Lehavot HaBashan,لهفوت هباشان,Лехавот ха-Башан
5,להבות הבשן,12.10.2024,21:36:44,2024-10-12T21:37:00,1,ירי רקטות וטילים,1,43853,להבות הבשן,Lehavot HaBashan,لهفوت هباشان,Лехавот ха-Башан
6,להבות הבשן,25.09.2024,15:28:25,2024-09-25T15:28:00,1,ירי רקטות וטילים,1,37897,להבות הבשן,Lehavot HaBashan,لهفوت هباشان,Лехавот ха-Башан
7,להבות הבשן,25.09.2024,15:09:15,2024-09-25T15:09:00,1,ירי רקטות וטילים,1,37896,להבות הבשן,Lehavot HaBashan,لهفوت هباشان,Лехавот ха-Башан
8,להבות הבשן,15.09.2024,08:19:50,2024-09-15T08:20:00,1,ירי רקטות וטילים,1,36252,להבות הבשן,Lehavot HaBashan,لهفوت هباشان,Лехавот ха-Башан
9,להבות הבשן,04.09.2024,19:57:23,2024-09-04T19:57:00,1,ירי רקטות וטילים,1,35789,להבות הבשן,Lehavot HaBashan,لهفوت هباشان,Лехавот ха-Башан
10,להבות הבשן,21.08.2024,11:26:04,2024-08-21T11:26:00,2,חדירת כלי טיס עוין,6,35248,להבות הבשן,Lehavot HaBashan,لهفوت هباشان,Лехавот ха-Башан
