,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,לוחמי הגטאות,24.11.2024,13:01:10,2024-11-24T13:01:00,1,ירי רקטות וטילים,1,52177,לוחמי הגטאות,Lochamei HaGetaot,لوحمي هجيتؤوت,Лохамей ха-Гетаот
1,לוחמי הגטאות,22.11.2024,21:13:06,2024-11-22T21:13:00,2,חדירת כלי טיס עוין,6,51844,לוחמי הגטאות,Lochamei HaGetaot,لوحمي هجيتؤوت,Лохамей ха-Гетаот
2,לוחמי הגטאות,22.11.2024,21:12:06,2024-11-22T21:12:00,2,חדירת כלי טיס עוין,6,51842,לוחמי הגטאות,Lochamei HaGetaot,لوحمي هجيتؤوت,Лохамей ха-Гетаот
3,לוחמי הגטאות,22.11.2024,21:11:04,2024-11-22T21:11:00,2,חדירת כלי טיס עוין,6,51835,לוחמי הגטאות,Lochamei HaGetaot,لوحمي هجيتؤوت,Лохамей ха-Гетаот
4,לוחמי הגטאות,20.11.2024,16:19:24,2024-11-20T16:19:00,1,ירי רקטות וטילים,1,51598,לוחמי הגטאות,Lochamei HaGetaot,لوحمي هجيتؤوت,Лохамей ха-Гетаот
5,לוחמי הגטאות,20.11.2024,06:34:25,2024-11-20T06:34:00,2,חדירת כלי טיס עוין,6,51551,לוחמי הגטאות,Lochamei HaGetaot,لوحمي هجيتؤوت,Лохамей ха-Гетаот
6,לוחמי הגטאות,16.11.2024,14:44:57,2024-11-16T14:45:00,1,ירי רקטות וטילים,1,51018,לוחמי הגטאות,Lochamei HaGetaot,لوحمي هجيتؤوت,Лохамей ха-Гетаот
7,לוחמי הגטאות,14.11.2024,18:46:38,2024-11-14T18:47:00,2,חדירת כלי טיס עוין,6,50785,לוחמי הגטאות,Lochamei HaGetaot,لوحمي هجيتؤوت,Лохамей ха-Гетаот
8,לוחמי הגטאות,13.11.2024,14:53:18,2024-11-13T14:53:00,2,חדירת כלי טיס עוין,6,50522,לוחמי הגטאות,Lochamei HaGetaot,لوحمي هجيتؤوت,Лохамей ха-Гетаот
9,לוחמי הגטאות,12.11.2024,09:25:54,2024-11-12T09:26:00,2,חדירת כלי טיס עוין,6,50269,לוחמי הגטאות,Lochamei HaGetaot,لوحمي هجيتؤوت,Лохамей ха-Гетаот
10,לוחמי הגטאות,08.11.2024,06:45:52,2024-11-08T06:46:00,1,ירי רקטות וטילים,1,49618,לוחמי הגטאות,Lochamei HaGetaot,لوحمي هجيتؤوت,Лохамей ха-Гетаот
11,לוחמי הגטאות,07.11.2024,13:47:13,2024-11-07T13:47:00,1,ירי רקטות וטילים,1,49476,לוחמי הגטאות,Lochamei HaGetaot,لوحمي هجيتؤوت,Лохамей ха-Гетаот
12,לוחמי הגטאות,06.11.2024,11:21:45,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49190,לוחמי הגטאות,Lochamei HaGetaot,لوحمي هجيتؤوت,Лохамей ха-Гетаот
13,לוחמי הגטאות,05.11.2024,17:18:54,2024-11-05T17:19:00,1,ירי רקטות וטילים,1,49103,לוחמי הגטאות,Lochamei HaGetaot,لوحمي هجيتؤوت,Лохамей ха-Гетаот
14,לוחמי הגטאות,03.11.2024,17:26:48,2024-11-03T17:27:00,1,ירי רקטות וטילים,1,48898,לוחמי הגטאות,Lochamei HaGetaot,لوحمي هجيتؤوت,Лохамей ха-Гетаот
15,לוחמי הגטאות,03.11.2024,17:25:43,2024-11-03T17:26:00,2,חדירת כלי טיס עוין,6,48896,לוחמי הגטאות,Lochamei HaGetaot,لوحمي هجيتؤوت,Лохамей ха-Гетаот
16,לוחמי הגטאות,02.11.2024,16:21:41,2024-11-02T16:22:00,2,חדירת כלי טיס עוין,6,48758,לוחמי הגטאות,Lochamei HaGetaot,لوحمي هجيتؤوت,Лохамей ха-Гетаот
17,לוחמי הגטאות,02.11.2024,15:54:29,2024-11-02T15:54:00,1,ירי רקטות וטילים,1,48735,לוחמי הגטאות,Lochamei HaGetaot,لوحمي هجيتؤوت,Лохамей ха-Гетаот
18,לוחמי הגטאות,02.11.2024,12:45:36,2024-11-02T12:46:00,1,ירי רקטות וטילים,1,48665,לוחמי הגטאות,Lochamei HaGetaot,لوحمي هجيتؤوت,Лохамей ха-Гетаот
19,לוחמי הגטאות,02.11.2024,11:05:37,2024-11-02T11:06:00,1,ירי רקטות וטילים,1,48631,לוחמי הגטאות,Lochamei HaGetaot,لوحمي هجيتؤوت,Лохамей ха-Гетаот
20,לוחמי הגטאות,02.11.2024,08:14:45,2024-11-02T08:15:00,2,חדירת כלי טיס עוין,6,48537,לוחמי הגטאות,Lochamei HaGetaot,لوحمي هجيتؤوت,Лохамей ха-Гетаот
21,לוחמי הגטאות,30.10.2024,17:37:29,2024-10-30T17:37:00,2,חדירת כלי טיס עוין,6,48207,לוחמי הגטאות,Lochamei HaGetaot,لوحمي هجيتؤوت,Лохамей ха-Гетаот
22,לוחמי הגטאות,30.10.2024,17:27:19,2024-10-30T17:27:00,2,חדירת כלי טיס עוין,6,48153,לוחמי הגטאות,Lochamei HaGetaot,لوحمي هجيتؤوت,Лохамей ха-Гетаот
23,לוחמי הגטאות,30.10.2024,17:26:19,2024-10-30T17:26:00,2,חדירת כלי טיס עוין,6,48149,לוחמי הגטאות,Lochamei HaGetaot,لوحمي هجيتؤوت,Лохамей ха-Гетаот
