,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,לימן,24.11.2024,16:32:14,2024-11-24T16:32:00,1,ירי רקטות וטילים,1,52321,לימן,Lehman,ليمن,Лехман
1,לימן,24.11.2024,13:04:10,2024-11-24T13:04:00,1,ירי רקטות וטילים,1,52203,לימן,Lehman,ليمن,Лехман
2,לימן,24.11.2024,13:03:32,2024-11-24T13:04:00,1,ירי רקטות וטילים,1,52184,לימן,Lehman,ليمن,Лехман
3,לימן,24.11.2024,13:00:35,2024-11-24T13:01:00,1,ירי רקטות וטילים,1,52164,לימן,Lehman,ليمن,Лехман
4,לימן,24.11.2024,10:49:36,2024-11-24T10:50:00,1,ירי רקטות וטילים,1,52081,לימן,Lehman,ليمن,Лехман
5,לימן,24.11.2024,06:18:36,2024-11-24T06:19:00,2,חדירת כלי טיס עוין,6,51937,לימן,Lehman,ليمن,Лехман
6,לימן,22.11.2024,21:33:58,2024-11-22T21:34:00,2,חדירת כלי טיס עוין,6,51854,לימן,Lehman,ليمن,Лехман
7,לימן,22.11.2024,21:11:19,2024-11-22T21:11:00,1,ירי רקטות וטילים,1,51838,לימן,Lehman,ليمن,Лехман
8,לימן,22.11.2024,21:05:48,2024-11-22T21:06:00,2,חדירת כלי טיס עוין,6,51806,לימן,Lehman,ليمن,Лехман
9,לימן,22.11.2024,21:04:41,2024-11-22T21:05:00,2,חדירת כלי טיס עוין,6,51799,לימן,Lehman,ليمن,Лехман
10,לימן,22.11.2024,16:30:55,2024-11-22T16:31:00,1,ירי רקטות וטילים,1,51755,לימן,Lehman,ليمن,Лехман
11,לימן,21.11.2024,11:47:21,2024-11-21T11:47:00,1,ירי רקטות וטילים,1,51662,לימן,Lehman,ليمن,Лехман
12,לימן,21.11.2024,06:31:50,2024-11-21T06:32:00,2,חדירת כלי טיס עוין,6,51644,לימן,Lehman,ليمن,Лехман
13,לימן,21.11.2024,06:28:16,2024-11-21T06:28:00,2,חדירת כלי טיס עוין,6,51633,לימן,Lehman,ليمن,Лехман
14,לימן,21.11.2024,06:26:46,2024-11-21T06:27:00,2,חדירת כלי טיס עוין,6,51629,לימן,Lehman,ليمن,Лехман
15,לימן,20.11.2024,16:50:35,2024-11-20T16:51:00,1,ירי רקטות וטילים,1,51620,לימן,Lehman,ليمن,Лехман
16,לימן,20.11.2024,16:43:17,2024-11-20T16:43:00,1,ירי רקטות וטילים,1,51614,לימן,Lehman,ليمن,Лехман
17,לימן,20.11.2024,06:32:30,2024-11-20T06:33:00,2,חדירת כלי טיס עוין,6,51545,לימן,Lehman,ليمن,Лехман
18,לימן,20.11.2024,06:30:14,2024-11-20T06:30:00,2,חדירת כלי טיס עוין,6,51539,לימן,Lehman,ليمن,Лехман
19,לימן,20.11.2024,06:28:30,2024-11-20T06:29:00,2,חדירת כלי טיס עוין,6,51532,לימן,Lehman,ليمن,Лехман
20,לימן,20.11.2024,06:27:30,2024-11-20T06:28:00,2,חדירת כלי טיס עוין,6,51530,לימן,Lehman,ليمن,Лехман
21,לימן,18.11.2024,17:02:52,2024-11-18T17:03:00,2,חדירת כלי טיס עוין,6,51193,לימן,Lehman,ليمن,Лехман
22,לימן,18.11.2024,17:01:20,2024-11-18T17:01:00,2,חדירת כלי טיס עוין,6,51191,לימן,Lehman,ليمن,Лехман
23,לימן,18.11.2024,16:55:18,2024-11-18T16:55:00,2,חדירת כלי טיס עוין,6,51182,לימן,Lehman,ليمن,Лехман
24,לימן,18.11.2024,11:05:42,2024-11-18T11:06:00,1,ירי רקטות וטילים,1,51147,לימן,Lehman,ليمن,Лехман
25,לימן,16.11.2024,10:00:53,2024-11-16T10:01:00,1,ירי רקטות וטילים,1,50981,לימן,Lehman,ليمن,Лехман
26,לימן,16.11.2024,08:19:08,2024-11-16T08:19:00,2,חדירת כלי טיס עוין,6,50959,לימן,Lehman,ليمن,Лехман
27,לימן,16.11.2024,08:18:06,2024-11-16T08:18:00,2,חדירת כלי טיס עוין,6,50953,לימן,Lehman,ليمن,Лехман
28,לימן,16.11.2024,07:06:52,2024-11-16T07:07:00,2,חדירת כלי טיס עוין,6,50948,לימן,Lehman,ليمن,Лехман
29,לימן,16.11.2024,07:05:40,2024-11-16T07:06:00,2,חדירת כלי טיס עוין,6,50942,לימן,Lehman,ليمن,Лехман
30,לימן,14.11.2024,18:41:43,2024-11-14T18:42:00,2,חדירת כלי טיס עוין,6,50771,לימן,Lehman,ليمن,Лехман
31,לימן,14.11.2024,14:23:31,2024-11-14T14:24:00,1,ירי רקטות וטילים,1,50744,לימן,Lehman,ليمن,Лехман
32,לימן,13.11.2024,15:01:33,2024-11-13T15:02:00,2,חדירת כלי טיס עוין,6,50540,לימן,Lehman,ليمن,Лехман
