,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,מג'דל שמס,24.11.2024,13:46:00,2024-11-24T13:46:00,1,ירי רקטות וטילים,1,52232,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
1,מג'דל שמס,31.10.2024,11:00:47,2024-10-31T11:01:00,2,חדירת כלי טיס עוין,6,48264,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
2,מג'דל שמס,26.10.2024,16:11:26,2024-10-26T16:11:00,1,ירי רקטות וטילים,1,47276,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
3,מג'דל שמס,26.10.2024,16:10:56,2024-10-26T16:11:00,1,ירי רקטות וטילים,1,47275,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
4,מג'דל שמס,12.10.2024,19:05:22,2024-10-12T19:05:00,1,ירי רקטות וטילים,1,43843,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
5,מג'דל שמס,09.10.2024,23:24:25,2024-10-09T23:24:00,2,חדירת כלי טיס עוין,6,43356,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
6,מג'דל שמס,03.10.2024,12:47:04,2024-10-03T12:47:00,2,חדירת כלי טיס עוין,6,41764,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
7,מג'דל שמס,19.09.2024,16:38:09,2024-09-19T16:38:00,1,ירי רקטות וטילים,1,36396,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
8,מג'דל שמס,16.09.2024,16:27:03,2024-09-16T16:27:00,1,ירי רקטות וטילים,1,36282,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
9,מג'דל שמס,25.08.2024,06:39:27,2024-08-25T06:39:00,1,ירי רקטות וטילים,1,35539,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
10,מג'דל שמס,27.07.2024,18:18:36,2024-07-27T18:19:00,1,ירי רקטות וטילים,1,34514,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
11,מג'דל שמס,22.07.2024,07:42:38,2024-07-22T07:43:00,1,ירי רקטות וטילים,1,34282,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
12,מג'דל שמס,22.07.2024,07:40:17,2024-07-22T07:40:00,1,ירי רקטות וטילים,1,34280,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
13,מג'דל שמס,04.07.2024,11:00:29,2024-07-04T11:00:00,2,חדירת כלי טיס עוין,6,33686,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
14,מג'דל שמס,04.07.2024,10:57:52,2024-07-04T10:58:00,2,חדירת כלי טיס עוין,6,33674,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
15,מג'דל שמס,04.07.2024,10:39:14,2024-07-04T10:39:00,2,חדירת כלי טיס עוין,6,33627,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
16,מג'דל שמס,04.07.2024,10:37:44,2024-07-04T10:38:00,2,חדירת כלי טיס עוין,6,33620,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
17,מג'דל שמס,13.06.2024,16:52:29,2024-06-13T16:52:00,2,חדירת כלי טיס עוין,6,33062,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
18,מג'דל שמס,13.06.2024,14:12:20,2024-06-13T14:12:00,2,חדירת כלי טיס עוין,6,32945,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
19,מג'דל שמס,10.06.2024,15:29:15,2024-06-10T15:29:00,2,חדירת כלי טיס עוין,6,32566,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
20,מג'דל שמס,09.06.2024,12:15:36,2024-06-09T12:16:00,2,חדירת כלי טיס עוין,6,32448,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
21,מג'דל שמס,08.06.2024,05:33:17,2024-06-08T05:33:00,2,חדירת כלי טיס עוין,6,32406,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
22,מג'דל שמס,07.06.2024,13:35:39,2024-06-07T13:36:00,2,חדירת כלי טיס עוין,6,32375,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
23,מג'דל שמס,24.05.2024,18:36:10,2024-05-24T18:36:00,2,חדירת כלי טיס עוין,6,31604,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
24,מג'דל שמס,14.05.2024,15:58:15,2024-05-14T15:58:00,1,ירי רקטות וטילים,1,30841,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
25,מג'דל שמס,24.04.2024,18:05:04,2024-04-24T18:05:00,1,ירי רקטות וטילים,1,30313,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
26,מג'דל שמס,14.04.2024,01:54:03,2024-04-14T01:54:00,1,ירי רקטות וטילים,1,29982,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
27,מג'דל שמס,14.04.2024,01:49:59,2024-04-14T01:50:00,1,ירי רקטות וטילים,1,29864,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
28,מג'דל שמס,14.04.2024,01:46:21,2024-04-14T01:46:00,1,ירי רקטות וטילים,1,29766,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
29,מג'דל שמס,14.04.2024,01:45:14,2024-04-14T01:45:00,1,ירי רקטות וטילים,1,29654,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
30,מג'דל שמס,06.04.2024,21:55:54,2024-04-06T21:56:00,2,חדירת כלי טיס עוין,6,29190,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
31,מג'דל שמס,31.03.2024,13:56:33,2024-03-31T13:57:00,2,חדירת כלי טיס עוין,6,28995,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
32,מג'דל שמס,11.03.2024,10:39:03,2024-03-11T10:39:00,2,חדירת כלי טיס עוין,6,28626,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
33,מג'דל שמס,10.03.2024,16:40:46,2024-03-10T16:41:00,1,ירי רקטות וטילים,1,28625,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
34,מג'דל שמס,10.03.2024,16:40:25,2024-03-10T16:40:00,1,ירי רקטות וטילים,1,28624,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
35,מג'דל שמס,26.02.2024,04:27:50,2024-02-26T04:28:00,2,חדירת כלי טיס עוין,6,28337,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
36,מג'דל שמס,06.01.2024,09:13:58,2024-01-06T09:14:00,2,חדירת כלי טיס עוין,6,27432,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
37,מג'דל שמס,29.12.2023,22:35:37,2023-12-29T22:36:00,1,ירי רקטות וטילים,1,27111,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
38,מג'דל שמס,28.12.2023,15:32:39,2023-12-28T15:33:00,2,חדירת כלי טיס עוין,6,27027,מג'דל שמס,Majdal Shams,مجدل شمس, Маджд Аль Шамс
