,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,מגדים,24.11.2024,13:04:17,2024-11-24T13:04:00,1,ירי רקטות וטילים,1,52208,מגדים,Megadim,مجاديم,Мегадим
1,מגדים,07.11.2024,15:03:53,2024-11-07T15:04:00,1,ירי רקטות וטילים,1,49510,מגדים,Megadim,مجاديم,Мегадим
2,מגדים,05.11.2024,06:38:26,2024-11-05T06:38:00,1,ירי רקטות וטילים,1,49049,מגדים,Megadim,مجاديم,Мегадим
3,מגדים,22.10.2024,04:51:36,2024-10-22T04:52:00,1,ירי רקטות וטילים,1,46230,מגדים,Megadim,مجاديم,Мегадим
4,מגדים,20.10.2024,15:41:01,2024-10-20T15:41:00,1,ירי רקטות וטילים,1,45712,מגדים,Megadim,مجاديم,Мегадим
5,מגדים,20.10.2024,09:37:42,2024-10-20T09:38:00,1,ירי רקטות וטילים,1,45565,מגדים,Megadim,مجاديم,Мегадим
6,מגדים,19.10.2024,08:02:44,2024-10-19T08:03:00,1,ירי רקטות וטילים,1,45374,מגדים,Megadim,مجاديم,Мегадим
7,מגדים,15.10.2024,07:27:04,2024-10-15T07:27:00,1,ירי רקטות וטילים,1,44672,מגדים,Megadim,مجاديم,Мегадим
8,מגדים,14.10.2024,17:16:40,2024-10-14T17:17:00,1,ירי רקטות וטילים,1,44340,מגדים,Megadim,مجاديم,Мегадим
9,מגדים,12.10.2024,13:07:41,2024-10-12T13:08:00,1,ירי רקטות וטילים,1,43785,מגדים,Megadim,مجاديم,Мегадим
10,מגדים,09.10.2024,08:28:22,2024-10-09T08:28:00,1,ירי רקטות וטילים,1,43177,מגדים,Megadim,مجاديم,Мегадим
11,מגדים,06.10.2024,23:22:51,2024-10-06T23:23:00,1,ירי רקטות וטילים,1,42429,מגדים,Megadim,مجاديم,Мегадим
12,מגדים,06.10.2024,08:29:25,2024-10-06T08:29:00,1,ירי רקטות וטילים,1,42309,מגדים,Megadim,مجاديم,Мегадим
13,מגדים,04.10.2024,10:52:15,2024-10-04T10:52:00,1,ירי רקטות וטילים,1,41960,מגדים,Megadim,مجاديم,Мегадим
14,מגדים,29.09.2024,21:14:48,2024-09-29T21:15:00,1,ירי רקטות וטילים,1,39237,מגדים,Megadim,مجاديم,Мегадим
15,מגדים,24.09.2024,19:42:45,2024-09-24T19:43:00,2,חדירת כלי טיס עוין,6,37712,מגדים,Megadim,مجاديم,Мегадим
16,מגדים,23.09.2024,19:42:46,2024-09-23T19:43:00,1,ירי רקטות וטילים,1,37322,מגדים,Megadim,مجاديم,Мегадим
