,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,מגדל תפן,24.11.2024,08:44:45,2024-11-24T08:45:00,1,ירי רקטות וטילים,1,52059,מגדל תפן,Migdal Tefen,مجدال تيفن,Мигдаль Тефен
1,מגדל תפן,19.11.2024,14:23:55,2024-11-19T14:24:00,1,ירי רקטות וטילים,1,51490,מגדל תפן,Migdal Tefen,مجدال تيفن,Мигдаль Тефен
2,מגדל תפן,19.11.2024,09:50:45,2024-11-19T09:51:00,1,ירי רקטות וטילים,1,51413,מגדל תפן,Migdal Tefen,مجدال تيفن,Мигдаль Тефен
3,מגדל תפן,13.11.2024,12:14:21,2024-11-13T12:14:00,1,ירי רקטות וטילים,1,50477,מגדל תפן,Migdal Tefen,مجدال تيفن,Мигдаль Тефен
4,מגדל תפן,11.11.2024,12:09:25,2024-11-11T12:09:00,1,ירי רקטות וטילים,1,50087,מגדל תפן,Migdal Tefen,مجدال تيفن,Мигдаль Тефен
5,מגדל תפן,11.11.2024,12:08:06,2024-11-11T12:08:00,1,ירי רקטות וטילים,1,50045,מגדל תפן,Migdal Tefen,مجدال تيفن,Мигдаль Тефен
6,מגדל תפן,11.11.2024,12:07:25,2024-11-11T12:07:00,1,ירי רקטות וטילים,1,50012,מגדל תפן,Migdal Tefen,مجدال تيفن,Мигдаль Тефен
7,מגדל תפן,01.11.2024,13:36:23,2024-11-01T13:36:00,1,ירי רקטות וטילים,1,48425,מגדל תפן,Migdal Tefen,مجدال تيفن,Мигдаль Тефен
8,מגדל תפן,31.10.2024,16:20:17,2024-10-31T16:20:00,1,ירי רקטות וטילים,1,48345,מגדל תפן,Migdal Tefen,مجدال تيفن,Мигдаль Тефен
9,מגדל תפן,29.10.2024,10:38:49,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47851,מגדל תפן,Migdal Tefen,مجدال تيفن,Мигдаль Тефен
10,מגדל תפן,29.10.2024,10:38:35,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47827,מגדל תפן,Migdal Tefen,مجدال تيفن,Мигдаль Тефен
11,מגדל תפן,29.10.2024,10:38:31,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47772,מגדל תפן,Migdal Tefen,مجدال تيفن,Мигдаль Тефен
12,מגדל תפן,29.10.2024,10:38:27,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47743,מגדל תפן,Migdal Tefen,مجدال تيفن,Мигдаль Тефен
13,מגדל תפן,29.10.2024,10:38:26,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47745,מגדל תפן,Migdal Tefen,مجدال تيفن,Мигдаль Тефен
14,מגדל תפן,29.10.2024,10:38:25,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47679,מגדל תפן,Migdal Tefen,مجدال تيفن,Мигдаль Тефен
