,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,מזור,24.11.2024,12:52:33,2024-11-24T12:53:00,1,ירי רקטות וטילים,1,52126,מזור,Mazor,مازور,Мазор
1,מזור,12.11.2024,16:36:38,2024-11-12T16:37:00,1,ירי רקטות וטילים,1,50412,מזור,Mazor,مازور,Мазор
2,מזור,06.11.2024,16:17:26,2024-11-06T16:17:00,1,ירי רקטות וטילים,1,49385,מזור,Mazor,مازور,Мазор
3,מזור,06.11.2024,11:22:42,2024-11-06T11:23:00,1,ירי רקטות וטילים,1,49289,מזור,Mazor,مازور,Мазор
4,מזור,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42816,מזור,Mazor,مازور,Мазор
5,מזור,01.10.2024,19:39:37,2024-10-01T19:40:00,1,ירי רקטות וטילים,1,40266,מזור,Mazor,مازور,Мазор
6,מזור,28.09.2024,17:41:08,2024-09-28T17:41:00,1,ירי רקטות וטילים,1,39004,מזור,Mazor,مازور,Мазор
7,מזור,27.09.2024,00:40:30,2024-09-27T00:41:00,1,ירי רקטות וטילים,1,38015,מזור,Mazor,مازور,Мазор
8,מזור,15.09.2024,06:32:26,2024-09-15T06:32:00,1,ירי רקטות וטילים,1,36161,מזור,Mazor,مازور,Мазор
9,מזור,02.12.2023,22:02:47,2023-12-02T22:03:00,1,ירי רקטות וטילים,1,25985,מזור,Mazor,مازور,Мазор
10,מזור,20.11.2023,18:03:48,2023-11-20T18:04:00,1,ירי רקטות וטילים,1,25406,מזור,Mazor,مازور,Мазор
11,מזור,07.11.2023,21:01:23,2023-11-07T21:01:00,1,ירי רקטות וטילים,1,24722,מזור,Mazor,مازور,Мазор
12,מזור,02.11.2023,17:01:28,2023-11-02T17:01:00,1,ירי רקטות וטילים,1,24341,מזור,Mazor,مازور,Мазор
13,מזור,28.10.2023,18:10:41,2023-10-28T18:11:00,1,ירי רקטות וטילים,1,23844,מזור,Mazor,مازور,Мазор
14,מזור,25.10.2023,21:31:15,2023-10-25T21:31:00,1,ירי רקטות וטילים,1,23480,מזור,Mazor,مازور,Мазор
15,מזור,24.10.2023,17:01:31,2023-10-24T17:02:00,1,ירי רקטות וטילים,1,23412,מזור,Mazor,مازور,Мазор
16,מזור,24.10.2023,15:32:03,2023-10-24T15:32:00,1,ירי רקטות וטילים,1,23312,מזור,Mazor,مازور,Мазор
17,מזור,17.10.2023,22:00:26,2023-10-17T22:00:00,1,ירי רקטות וטילים,1,22779,מזור,Mazor,مازور,Мазор
18,מזור,17.10.2023,19:59:36,2023-10-17T20:00:00,1,ירי רקטות וטילים,1,22729,מזור,Mazor,مازور,Мазор
19,מזור,14.10.2023,21:02:19,2023-10-14T21:02:00,1,ירי רקטות וטילים,1,22282,מזור,Mazor,مازور,Мазор
20,מזור,14.10.2023,17:01:13,2023-10-14T17:01:00,1,ירי רקטות וטילים,1,22199,מזור,Mazor,مازور,Мазор
21,מזור,07.10.2023,07:33:23,2023-10-07T07:33:00,1,ירי רקטות וטילים,1,17687,מזור,Mazor,مازور,Мазор
