,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,מזרעה,24.11.2024,13:00:51,2024-11-24T13:01:00,1,ירי רקטות וטילים,1,52172,מזרעה,Mazra'a,مزرعة,Мазра
1,מזרעה,22.11.2024,21:11:04,2024-11-22T21:11:00,2,חדירת כלי טיס עוין,6,51836,מזרעה,Mazra'a,مزرعة,Мазра
2,מזרעה,22.11.2024,21:09:52,2024-11-22T21:10:00,2,חדירת כלי טיס עוין,6,51825,מזרעה,Mazra'a,مزرعة,Мазра
3,מזרעה,20.11.2024,16:19:34,2024-11-20T16:20:00,1,ירי רקטות וטילים,1,51606,מזרעה,Mazra'a,مزرعة,Мазра
4,מזרעה,20.11.2024,06:33:45,2024-11-20T06:34:00,2,חדירת כלי טיס עוין,6,51550,מזרעה,Mazra'a,مزرعة,Мазра
5,מזרעה,18.11.2024,11:06:06,2024-11-18T11:06:00,1,ירי רקטות וטילים,1,51151,מזרעה,Mazra'a,مزرعة,Мазра
6,מזרעה,18.11.2024,11:04:54,2024-11-18T11:05:00,1,ירי רקטות וטילים,1,51136,מזרעה,Mazra'a,مزرعة,Мазра
7,מזרעה,16.11.2024,14:44:57,2024-11-16T14:45:00,1,ירי רקטות וטילים,1,51019,מזרעה,Mazra'a,مزرعة,Мазра
8,מזרעה,14.11.2024,18:45:08,2024-11-14T18:45:00,2,חדירת כלי טיס עוין,6,50780,מזרעה,Mazra'a,مزرعة,Мазра
9,מזרעה,13.11.2024,14:52:38,2024-11-13T14:53:00,2,חדירת כלי טיס עוין,6,50519,מזרעה,Mazra'a,مزرعة,Мазра
10,מזרעה,12.11.2024,09:25:19,2024-11-12T09:25:00,2,חדירת כלי טיס עוין,6,50267,מזרעה,Mazra'a,مزرعة,Мазра
11,מזרעה,09.11.2024,12:42:49,2024-11-09T12:43:00,1,ירי רקטות וטילים,1,49838,מזרעה,Mazra'a,مزرعة,Мазра
12,מזרעה,06.11.2024,11:21:45,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49191,מזרעה,Mazra'a,مزرعة,Мазра
13,מזרעה,05.11.2024,17:18:54,2024-11-05T17:19:00,1,ירי רקטות וטילים,1,49104,מזרעה,Mazra'a,مزرعة,Мазра
14,מזרעה,03.11.2024,17:24:24,2024-11-03T17:24:00,2,חדירת כלי טיס עוין,6,48894,מזרעה,Mazra'a,مزرعة,Мазра
15,מזרעה,02.11.2024,16:21:51,2024-11-02T16:22:00,2,חדירת כלי טיס עוין,6,48759,מזרעה,Mazra'a,مزرعة,Мазра
16,מזרעה,02.11.2024,16:20:51,2024-11-02T16:21:00,2,חדירת כלי טיס עוין,6,48756,מזרעה,Mazra'a,مزرعة,Мазра
17,מזרעה,02.11.2024,15:54:50,2024-11-02T15:55:00,1,ירי רקטות וטילים,1,48742,מזרעה,Mazra'a,مزرعة,Мазра
18,מזרעה,02.11.2024,15:54:10,2024-11-02T15:54:00,1,ירי רקטות וטילים,1,48723,מזרעה,Mazra'a,مزرعة,Мазра
19,מזרעה,02.11.2024,12:45:36,2024-11-02T12:46:00,1,ירי רקטות וטילים,1,48666,מזרעה,Mazra'a,مزرعة,Мазра
20,מזרעה,02.11.2024,11:05:37,2024-11-02T11:06:00,1,ירי רקטות וטילים,1,48632,מזרעה,Mazra'a,مزرعة,Мазра
21,מזרעה,02.11.2024,08:13:52,2024-11-02T08:14:00,2,חדירת כלי טיס עוין,6,48530,מזרעה,Mazra'a,مزرعة,Мазра
22,מזרעה,02.11.2024,08:11:48,2024-11-02T08:12:00,2,חדירת כלי טיס עוין,6,48525,מזרעה,Mazra'a,مزرعة,Мазра
23,מזרעה,30.10.2024,17:36:50,2024-10-30T17:37:00,2,חדירת כלי טיס עוין,6,48204,מזרעה,Mazra'a,مزرعة,Мазра
24,מזרעה,30.10.2024,17:26:16,2024-10-30T17:26:00,2,חדירת כלי טיס עוין,6,48148,מזרעה,Mazra'a,مزرعة,Мазра
25,מזרעה,30.10.2024,17:25:09,2024-10-30T17:25:00,2,חדירת כלי טיס עוין,6,48144,מזרעה,Mazra'a,مزرعة,Мазра
26,מזרעה,29.10.2024,07:09:27,2024-10-29T07:09:00,2,חדירת כלי טיס עוין,6,47583,מזרעה,Mazra'a,مزرعة,Мазра
27,מזרעה,28.10.2024,14:33:58,2024-10-28T14:34:00,1,ירי רקטות וטילים,1,47503,מזרעה,Mazra'a,مزرعة,Мазра
28,מזרעה,27.10.2024,14:38:08,2024-10-27T14:38:00,1,ירי רקטות וטילים,1,47417,מזרעה,Mazra'a,مزرعة,Мазра
29,מזרעה,27.10.2024,08:07:35,2024-10-27T08:08:00,2,חדירת כלי טיס עוין,6,47356,מזרעה,Mazra'a,مزرعة,Мазра
30,מזרעה,27.10.2024,08:06:35,2024-10-27T08:07:00,2,חדירת כלי טיס עוין,6,47344,מזרעה,Mazra'a,مزرعة,Мазра
