,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,מטולה,24.11.2024,10:15:21,2024-11-24T10:15:00,1,ירי רקטות וטילים,1,52076,מטולה,Metulla,المطلة,Метула
1,מטולה,24.11.2024,10:14:45,2024-11-24T10:15:00,1,ירי רקטות וטילים,1,52075,מטולה,Metulla,المطلة,Метула
2,מטולה,24.11.2024,10:11:02,2024-11-24T10:11:00,1,ירי רקטות וטילים,1,52074,מטולה,Metulla,المطلة,Метула
3,מטולה,24.11.2024,10:09:55,2024-11-24T10:10:00,1,ירי רקטות וטילים,1,52073,מטולה,Metulla,المطلة,Метула
4,מטולה,24.11.2024,10:09:12,2024-11-24T10:09:00,1,ירי רקטות וטילים,1,52072,מטולה,Metulla,المطلة,Метула
5,מטולה,24.11.2024,09:34:40,2024-11-24T09:35:00,1,ירי רקטות וטילים,1,52062,מטולה,Metulla,المطلة,Метула
6,מטולה,24.11.2024,08:57:19,2024-11-24T08:57:00,1,ירי רקטות וטילים,1,52061,מטולה,Metulla,المطلة,Метула
7,מטולה,23.11.2024,23:36:05,2024-11-23T23:36:00,1,ירי רקטות וטילים,1,51919,מטולה,Metulla,المطلة,Метула
8,מטולה,23.11.2024,16:18:18,2024-11-23T16:18:00,1,ירי רקטות וטילים,1,51910,מטולה,Metulla,المطلة,Метула
9,מטולה,23.11.2024,11:09:38,2024-11-23T11:10:00,1,ירי רקטות וטילים,1,51890,מטולה,Metulla,المطلة,Метула
10,מטולה,23.11.2024,10:18:55,2024-11-23T10:19:00,1,ירי רקטות וטילים,1,51883,מטולה,Metulla,المطلة,Метула
11,מטולה,23.11.2024,00:06:47,2024-11-23T00:07:00,1,ירי רקטות וטילים,1,51863,מטולה,Metulla,المطلة,Метула
12,מטולה,22.11.2024,14:32:31,2024-11-22T14:33:00,1,ירי רקטות וטילים,1,51731,מטולה,Metulla,المطلة,Метула
13,מטולה,22.11.2024,13:55:03,2024-11-22T13:55:00,1,ירי רקטות וטילים,1,51720,מטולה,Metulla,المطلة,Метула
14,מטולה,22.11.2024,12:40:00,2024-11-22T12:40:00,1,ירי רקטות וטילים,1,51716,מטולה,Metulla,المطلة,Метула
15,מטולה,22.11.2024,09:59:30,2024-11-22T10:00:00,1,ירי רקטות וטילים,1,51714,מטולה,Metulla,المطلة,Метула
16,מטולה,21.11.2024,14:47:00,2024-11-21T14:47:00,1,ירי רקטות וטילים,1,51680,מטולה,Metulla,المطلة,Метула
17,מטולה,21.11.2024,08:38:57,2024-11-21T08:39:00,1,ירי רקטות וטילים,1,51650,מטולה,Metulla,المطلة,Метула
18,מטולה,20.11.2024,17:19:45,2024-11-20T17:20:00,1,ירי רקטות וטילים,1,51622,מטולה,Metulla,المطلة,Метула
19,מטולה,20.11.2024,15:34:48,2024-11-20T15:35:00,1,ירי רקטות וטילים,1,51586,מטולה,Metulla,المطلة,Метула
20,מטולה,20.11.2024,14:05:27,2024-11-20T14:05:00,1,ירי רקטות וטילים,1,51582,מטולה,Metulla,المطلة,Метула
21,מטולה,20.11.2024,14:04:51,2024-11-20T14:05:00,1,ירי רקטות וטילים,1,51581,מטולה,Metulla,المطلة,Метула
22,מטולה,19.11.2024,21:14:18,2024-11-19T21:14:00,1,ירי רקטות וטילים,1,51521,מטולה,Metulla,المطلة,Метула
23,מטולה,19.11.2024,16:52:23,2024-11-19T16:52:00,2,חדירת כלי טיס עוין,6,51494,מטולה,Metulla,المطلة,Метула
24,מטולה,19.11.2024,14:22:01,2024-11-19T14:22:00,1,ירי רקטות וטילים,1,51483,מטולה,Metulla,المطلة,Метула
25,מטולה,19.11.2024,10:52:26,2024-11-19T10:52:00,2,חדירת כלי טיס עוין,6,51442,מטולה,Metulla,المطلة,Метула
26,מטולה,19.11.2024,10:49:45,2024-11-19T10:50:00,2,חדירת כלי טיס עוין,6,51441,מטולה,Metulla,المطلة,Метула
27,מטולה,18.11.2024,17:29:16,2024-11-18T17:29:00,1,ירי רקטות וטילים,1,51196,מטולה,Metulla,المطلة,Метула
28,מטולה,18.11.2024,17:28:26,2024-11-18T17:28:00,1,ירי רקטות וטילים,1,51195,מטולה,Metulla,المطلة,Метула
29,מטולה,16.11.2024,20:45:42,2024-11-16T20:46:00,1,ירי רקטות וטילים,1,51059,מטולה,Metulla,المطلة,Метула
30,מטולה,16.11.2024,14:51:30,2024-11-16T14:52:00,1,ירי רקטות וטילים,1,51032,מטולה,Metulla,المطلة,Метула
31,מטולה,14.11.2024,23:18:45,2024-11-14T23:19:00,1,ירי רקטות וטילים,1,50852,מטולה,Metulla,المطلة,Метула
32,מטולה,14.11.2024,14:45:19,2024-11-14T14:45:00,1,ירי רקטות וטילים,1,50748,מטולה,Metulla,المطلة,Метула
33,מטולה,12.11.2024,20:39:15,2024-11-12T20:39:00,1,ירי רקטות וטילים,1,50438,מטולה,Metulla,المطلة,Метула
34,מטולה,12.11.2024,12:18:22,2024-11-12T12:18:00,1,ירי רקטות וטילים,1,50292,מטולה,Metulla,المطلة,Метула
35,מטולה,10.11.2024,18:05:01,2024-11-10T18:05:00,1,ירי רקטות וטילים,1,49926,מטולה,Metulla,المطلة,Метула
36,מטולה,10.11.2024,16:24:09,2024-11-10T16:24:00,1,ירי רקטות וטילים,1,49919,מטולה,Metulla,المطلة,Метула
37,מטולה,10.11.2024,16:20:53,2024-11-10T16:21:00,1,ירי רקטות וטילים,1,49918,מטולה,Metulla,المطلة,Метула
38,מטולה,10.11.2024,09:13:13,2024-11-10T09:13:00,1,ירי רקטות וטילים,1,49891,מטולה,Metulla,المطلة,Метула
39,מטולה,09.11.2024,15:14:36,2024-11-09T15:15:00,1,ירי רקטות וטילים,1,49871,מטולה,Metulla,المطلة,Метула
40,מטולה,09.11.2024,06:59:02,2024-11-09T06:59:00,1,ירי רקטות וטילים,1,49799,מטולה,Metulla,المطلة,Метула
41,מטולה,07.11.2024,15:15:43,2024-11-07T15:16:00,1,ירי רקטות וטילים,1,49519,מטולה,Metulla,المطلة,Метула
42,מטולה,06.11.2024,09:01:39,2024-11-06T09:02:00,1,ירי רקטות וטילים,1,49128,מטולה,Metulla,المطلة,Метула
43,מטולה,05.11.2024,07:53:09,2024-11-05T07:53:00,2,חדירת כלי טיס עוין,6,49069,מטולה,Metulla,المطلة,Метула
44,מטולה,03.11.2024,15:54:54,2024-11-03T15:55:00,1,ירי רקטות וטילים,1,48883,מטולה,Metulla,المطلة,Метула
45,מטולה,03.11.2024,15:43:24,2024-11-03T15:43:00,1,ירי רקטות וטילים,1,48882,מטולה,Metulla,المطلة,Метула
46,מטולה,31.10.2024,21:15:52,2024-10-31T21:16:00,1,ירי רקטות וטילים,1,48356,מטולה,Metulla,المطلة,Метула
47,מטולה,31.10.2024,11:37:57,2024-10-31T11:38:00,1,ירי רקטות וטילים,1,48268,מטולה,Metulla,المطلة,Метула
48,מטולה,31.10.2024,01:32:12,2024-10-31T01:32:00,1,ירי רקטות וטילים,1,48248,מטולה,Metulla,المطلة,Метула
49,מטולה,30.10.2024,16:39:25,2024-10-30T16:39:00,1,ירי רקטות וטילים,1,48127,מטולה,Metulla,المطلة,Метула
50,מטולה,30.10.2024,09:46:55,2024-10-30T09:47:00,1,ירי רקטות וטילים,1,48079,מטולה,Metulla,المطلة,Метула
51,מטולה,29.10.2024,19:37:06,2024-10-29T19:37:00,1,ירי רקטות וטילים,1,47948,מטולה,Metulla,المطلة,Метула
52,מטולה,29.10.2024,18:08:26,2024-10-29T18:08:00,1,ירי רקטות וטילים,1,47947,מטולה,Metulla,المطلة,Метула
53,מטולה,29.10.2024,14:51:16,2024-10-29T14:51:00,1,ירי רקטות וטילים,1,47934,מטולה,Metulla,المطلة,Метула
54,מטולה,29.10.2024,13:31:52,2024-10-29T13:32:00,1,ירי רקטות וטילים,1,47925,מטולה,Metulla,المطلة,Метула
55,מטולה,29.10.2024,13:31:35,2024-10-29T13:32:00,1,ירי רקטות וטילים,1,47924,מטולה,Metulla,المطلة,Метула
56,מטולה,29.10.2024,13:16:45,2024-10-29T13:17:00,1,ירי רקטות וטילים,1,47923,מטולה,Metulla,المطلة,Метула
57,מטולה,29.10.2024,12:17:42,2024-10-29T12:18:00,1,ירי רקטות וטילים,1,47912,מטולה,Metulla,المطلة,Метула
58,מטולה,29.10.2024,12:17:41,2024-10-29T12:18:00,1,ירי רקטות וטילים,1,47913,מטולה,Metulla,المطلة,Метула
59,מטולה,29.10.2024,12:17:20,2024-10-29T12:17:00,1,ירי רקטות וטילים,1,47911,מטולה,Metulla,المطلة,Метула
60,מטולה,29.10.2024,12:17:17,2024-10-29T12:17:00,1,ירי רקטות וטילים,1,47910,מטולה,Metulla,المطلة,Метула
61,מטולה,29.10.2024,12:17:03,2024-10-29T12:17:00,1,ירי רקטות וטילים,1,47909,מטולה,Metulla,المطلة,Метула
62,מטולה,29.10.2024,11:19:25,2024-10-29T11:19:00,1,ירי רקטות וטילים,1,47908,מטולה,Metulla,المطلة,Метула
63,מטולה,29.10.2024,09:55:21,2024-10-29T09:55:00,1,ירי רקטות וטילים,1,47605,מטולה,Metulla,المطلة,Метула
64,מטולה,29.10.2024,08:54:00,2024-10-29T08:54:00,2,חדירת כלי טיס עוין,6,47597,מטולה,Metulla,المطلة,Метула
65,מטולה,29.10.2024,01:29:08,2024-10-29T01:29:00,1,ירי רקטות וטילים,1,47574,מטולה,Metulla,المطلة,Метула
66,מטולה,28.10.2024,21:36:38,2024-10-28T21:37:00,1,ירי רקטות וטילים,1,47560,מטולה,Metulla,المطلة,Метула
67,מטולה,28.10.2024,21:11:42,2024-10-28T21:12:00,1,ירי רקטות וטילים,1,47559,מטולה,Metulla,المطلة,Метула
68,מטולה,28.10.2024,15:47:22,2024-10-28T15:47:00,1,ירי רקטות וטילים,1,47538,מטולה,Metulla,المطلة,Метула
69,מטולה,28.10.2024,15:38:20,2024-10-28T15:38:00,1,ירי רקטות וטילים,1,47531,מטולה,Metulla,المطلة,Метула
70,מטולה,28.10.2024,13:47:49,2024-10-28T13:48:00,1,ירי רקטות וטילים,1,47499,מטולה,Metulla,المطلة,Метула
71,מטולה,28.10.2024,13:47:06,2024-10-28T13:47:00,1,ירי רקטות וטילים,1,47498,מטולה,Metulla,المطلة,Метула
72,מטולה,28.10.2024,10:12:09,2024-10-28T10:12:00,1,ירי רקטות וטילים,1,47494,מטולה,Metulla,المطلة,Метула
73,מטולה,28.10.2024,10:11:25,2024-10-28T10:11:00,1,ירי רקטות וטילים,1,47493,מטולה,Metulla,المطلة,Метула
74,מטולה,28.10.2024,08:07:25,2024-10-28T08:07:00,1,ירי רקטות וטילים,1,47492,מטולה,Metulla,المطلة,Метула
75,מטולה,28.10.2024,07:04:55,2024-10-28T07:05:00,1,ירי רקטות וטילים,1,47467,מטולה,Metulla,المطلة,Метула
76,מטולה,28.10.2024,06:41:23,2024-10-28T06:41:00,1,ירי רקטות וטילים,1,47466,מטולה,Metulla,المطلة,Метула
77,מטולה,28.10.2024,06:29:15,2024-10-28T06:29:00,1,ירי רקטות וטילים,1,47465,מטולה,Metulla,المطلة,Метула
78,מטולה,27.10.2024,16:17:33,2024-10-27T16:18:00,1,ירי רקטות וטילים,1,47439,מטולה,Metulla,المطلة,Метула
79,מטולה,27.10.2024,12:14:10,2024-10-27T12:14:00,1,ירי רקטות וטילים,1,47368,מטולה,Metulla,المطلة,Метула
80,מטולה,27.10.2024,12:07:28,2024-10-27T12:07:00,1,ירי רקטות וטילים,1,47367,מטולה,Metulla,المطلة,Метула
81,מטולה,26.10.2024,18:11:12,2024-10-26T18:11:00,1,ירי רקטות וטילים,1,47295,מטולה,Metulla,المطلة,Метула
82,מטולה,26.10.2024,16:07:07,2024-10-26T16:07:00,1,ירי רקטות וטילים,1,47273,מטולה,Metulla,المطلة,Метула
83,מטולה,26.10.2024,12:54:43,2024-10-26T12:55:00,2,חדירת כלי טיס עוין,6,47230,מטולה,Metulla,المطلة,Метула
84,מטולה,26.10.2024,08:41:35,2024-10-26T08:42:00,2,חדירת כלי טיס עוין,6,47202,מטולה,Metulla,المطلة,Метула
85,מטולה,26.10.2024,08:39:52,2024-10-26T08:40:00,2,חדירת כלי טיס עוין,6,47195,מטולה,Metulla,المطلة,Метула
86,מטולה,25.10.2024,19:20:26,2024-10-25T19:20:00,1,ירי רקטות וטילים,1,47169,מטולה,Metulla,المطلة,Метула
87,מטולה,24.10.2024,18:17:51,2024-10-24T18:18:00,2,חדירת כלי טיס עוין,6,47027,מטולה,Metulla,المطلة,Метула
88,מטולה,24.10.2024,18:17:28,2024-10-24T18:17:00,2,חדירת כלי טיס עוין,6,47023,מטולה,Metulla,المطلة,Метула
89,מטולה,24.10.2024,16:44:21,2024-10-24T16:44:00,2,חדירת כלי טיס עוין,6,47000,מטולה,Metulla,المطلة,Метула
90,מטולה,24.10.2024,16:43:21,2024-10-24T16:43:00,2,חדירת כלי טיס עוין,6,46998,מטולה,Metulla,المطلة,Метула
91,מטולה,23.10.2024,19:59:29,2024-10-23T19:59:00,1,ירי רקטות וטילים,1,46813,מטולה,Metulla,المطلة,Метула
92,מטולה,23.10.2024,12:27:35,2024-10-23T12:28:00,1,ירי רקטות וטילים,1,46604,מטולה,Metulla,المطلة,Метула
93,מטולה,23.10.2024,11:17:12,2024-10-23T11:17:00,1,ירי רקטות וטילים,1,46595,מטולה,Metulla,المطلة,Метула
94,מטולה,23.10.2024,08:53:57,2024-10-23T08:54:00,1,ירי רקטות וטילים,1,46560,מטולה,Metulla,المطلة,Метула
95,מטולה,23.10.2024,07:53:55,2024-10-23T07:54:00,1,ירי רקטות וטילים,1,46493,מטולה,Metulla,المطلة,Метула
96,מטולה,22.10.2024,11:38:48,2024-10-22T11:39:00,1,ירי רקטות וטילים,1,46335,מטולה,Metulla,المطلة,Метула
97,מטולה,22.10.2024,11:38:05,2024-10-22T11:38:00,1,ירי רקטות וטילים,1,46333,מטולה,Metulla,المطلة,Метула
98,מטולה,22.10.2024,09:58:12,2024-10-22T09:58:00,1,ירי רקטות וטילים,1,46330,מטולה,Metulla,المطلة,Метула
99,מטולה,21.10.2024,12:09:04,2024-10-21T12:09:00,1,ירי רקטות וטילים,1,45892,מטולה,Metulla,المطلة,Метула
100,מטולה,21.10.2024,11:41:07,2024-10-21T11:41:00,1,ירי רקטות וטילים,1,45885,מטולה,Metulla,المطلة,Метула
101,מטולה,20.10.2024,19:45:22,2024-10-20T19:45:00,1,ירי רקטות וטילים,1,45831,מטולה,Metulla,المطلة,Метула
102,מטולה,20.10.2024,19:02:59,2024-10-20T19:03:00,1,ירי רקטות וטילים,1,45824,מטולה,Metulla,المطلة,Метула
103,מטולה,20.10.2024,19:01:42,2024-10-20T19:02:00,1,ירי רקטות וטילים,1,45817,מטולה,Metulla,المطلة,Метула
104,מטולה,20.10.2024,15:29:43,2024-10-20T15:30:00,1,ירי רקטות וטילים,1,45695,מטולה,Metulla,المطلة,Метула
105,מטולה,20.10.2024,03:33:41,2024-10-20T03:34:00,1,ירי רקטות וטילים,1,45541,מטולה,Metulla,المطلة,Метула
106,מטולה,19.10.2024,16:23:46,2024-10-19T16:24:00,1,ירי רקטות וטילים,1,45496,מטולה,Metulla,المطلة,Метула
107,מטולה,18.10.2024,16:26:51,2024-10-18T16:27:00,1,ירי רקטות וטילים,1,45275,מטולה,Metulla,المطلة,Метула
108,מטולה,18.10.2024,13:44:59,2024-10-18T13:45:00,1,ירי רקטות וטילים,1,45259,מטולה,Metulla,المطلة,Метула
109,מטולה,17.10.2024,18:34:31,2024-10-17T18:35:00,1,ירי רקטות וטילים,1,45222,מטולה,Metulla,المطلة,Метула
110,מטולה,17.10.2024,15:26:53,2024-10-17T15:27:00,1,ירי רקטות וטילים,1,45218,מטולה,Metulla,المطلة,Метула
111,מטולה,17.10.2024,13:41:15,2024-10-17T13:41:00,1,ירי רקטות וטילים,1,45210,מטולה,Metulla,المطلة,Метула
112,מטולה,17.10.2024,11:42:58,2024-10-17T11:43:00,1,ירי רקטות וטילים,1,45203,מטולה,Metulla,المطلة,Метула
113,מטולה,17.10.2024,00:02:57,2024-10-17T00:03:00,1,ירי רקטות וטילים,1,44910,מטולה,Metulla,المطلة,Метула
114,מטולה,16.10.2024,22:18:43,2024-10-16T22:19:00,1,ירי רקטות וטילים,1,44906,מטולה,Metulla,المطلة,Метула
115,מטולה,15.10.2024,14:24:22,2024-10-15T14:24:00,1,ירי רקטות וטילים,1,44747,מטולה,Metulla,المطلة,Метула
116,מטולה,13.10.2024,21:23:20,2024-10-13T21:23:00,1,ירי רקטות וטילים,1,44153,מטולה,Metulla,المطلة,Метула
