,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,מירון,24.11.2024,14:24:42,2024-11-24T14:25:00,1,ירי רקטות וטילים,1,52248,מירון,Meron,ميرون,Мерон
1,מירון,24.11.2024,14:23:55,2024-11-24T14:24:00,1,ירי רקטות וטילים,1,52234,מירון,Meron,ميرون,Мерон
2,מירון,24.11.2024,10:06:55,2024-11-24T10:07:00,1,ירי רקטות וטילים,1,52071,מירון,Meron,ميرون,Мерон
3,מירון,19.11.2024,10:58:36,2024-11-19T10:59:00,2,חדירת כלי טיס עוין,6,51447,מירון,Meron,ميرون,Мерон
4,מירון,02.11.2024,12:37:34,2024-11-02T12:38:00,1,ירי רקטות וטילים,1,48646,מירון,Meron,ميرون,Мерон
5,מירון,30.10.2024,15:01:00,2024-10-30T15:01:00,1,ירי רקטות וטילים,1,48108,מירון,Meron,ميرون,Мерон
6,מירון,30.10.2024,15:00:13,2024-10-30T15:00:00,1,ירי רקטות וטילים,1,48098,מירון,Meron,ميرون,Мерон
7,מירון,28.10.2024,20:01:29,2024-10-28T20:01:00,1,ירי רקטות וטילים,1,47550,מירון,Meron,ميرون,Мерон
8,מירון,19.10.2024,23:58:56,2024-10-19T23:59:00,1,ירי רקטות וטילים,1,45533,מירון,Meron,ميرون,Мерон
9,מירון,19.10.2024,12:22:28,2024-10-19T12:22:00,1,ירי רקטות וטילים,1,45450,מירון,Meron,ميرون,Мерон
10,מירון,18.10.2024,23:46:12,2024-10-18T23:46:00,1,ירי רקטות וטילים,1,45302,מירון,Meron,ميرون,Мерон
11,מירון,18.10.2024,22:31:03,2024-10-18T22:31:00,1,ירי רקטות וטילים,1,45295,מירון,Meron,ميرون,Мерон
12,מירון,18.10.2024,15:34:42,2024-10-18T15:35:00,1,ירי רקטות וטילים,1,45267,מירון,Meron,ميرون,Мерон
13,מירון,17.10.2024,03:28:33,2024-10-17T03:29:00,1,ירי רקטות וטילים,1,45005,מירון,Meron,ميرون,Мерон
14,מירון,14.10.2024,18:24:22,2024-10-14T18:24:00,1,ירי רקטות וטילים,1,44587,מירון,Meron,ميرون,Мерон
15,מירון,09.10.2024,16:45:33,2024-10-09T16:46:00,1,ירי רקטות וטילים,1,43323,מירון,Meron,ميرون,Мерон
16,מירון,08.10.2024,07:57:50,2024-10-08T07:58:00,1,ירי רקטות וטילים,1,43008,מירון,Meron,ميرون,Мерон
17,מירון,06.10.2024,18:13:16,2024-10-06T18:13:00,1,ירי רקטות וטילים,1,42382,מירון,Meron,ميرون,Мерон
18,מירון,05.10.2024,18:48:23,2024-10-05T18:48:00,1,ירי רקטות וטילים,1,42259,מירון,Meron,ميرون,Мерон
19,מירון,02.10.2024,13:02:18,2024-10-02T13:02:00,1,ירי רקטות וטילים,1,41584,מירון,Meron,ميرون,Мерон
20,מירון,01.10.2024,01:47:41,2024-10-01T01:48:00,1,ירי רקטות וטילים,1,39381,מירון,Meron,ميرون,Мерон
21,מירון,28.09.2024,09:36:21,2024-09-28T09:36:00,1,ירי רקטות וטילים,1,38658,מירון,Meron,ميرون,Мерон
22,מירון,28.09.2024,08:01:08,2024-09-28T08:01:00,1,ירי רקטות וטילים,1,38336,מירון,Meron,ميرون,Мерон
23,מירון,27.09.2024,22:03:39,2024-09-27T22:04:00,1,ירי רקטות וטילים,1,38151,מירון,Meron,ميرون,Мерон
24,מירון,26.09.2024,16:07:45,2024-09-26T16:08:00,1,ירי רקטות וטילים,1,37937,מירון,Meron,ميرون,Мерон
25,מירון,26.09.2024,16:07:00,2024-09-26T16:07:00,1,ירי רקטות וטילים,1,37928,מירון,Meron,ميرون,Мерон
26,מירון,21.09.2024,20:46:25,2024-09-21T20:46:00,2,חדירת כלי טיס עוין,6,36553,מירון,Meron,ميرون,Мерон
27,מירון,20.09.2024,13:02:45,2024-09-20T13:03:00,1,ירי רקטות וטילים,1,36436,מירון,Meron,ميرون,Мерон
28,מירון,25.08.2024,06:01:52,2024-08-25T06:02:00,1,ירי רקטות וטילים,1,35476,מירון,Meron,ميرون,Мерон
