,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,מלכיה,24.11.2024,12:11:18,2024-11-24T12:11:00,1,ירי רקטות וטילים,1,52108,מלכיה,Malkia,ملاخيا,Малкия
1,מלכיה,23.11.2024,15:07:34,2024-11-23T15:08:00,1,ירי רקטות וטילים,1,51899,מלכיה,Malkia,ملاخيا,Малкия
2,מלכיה,19.11.2024,14:12:52,2024-11-19T14:13:00,1,ירי רקטות וטילים,1,51482,מלכיה,Malkia,ملاخيا,Малкия
3,מלכיה,19.11.2024,10:58:34,2024-11-19T10:59:00,2,חדירת כלי טיס עוין,6,51464,מלכיה,Malkia,ملاخيا,Малкия
4,מלכיה,14.11.2024,11:08:58,2024-11-14T11:09:00,1,ירי רקטות וטילים,1,50734,מלכיה,Malkia,ملاخيا,Малкия
5,מלכיה,12.11.2024,22:20:23,2024-11-12T22:20:00,2,חדירת כלי טיס עוין,6,50443,מלכיה,Malkia,ملاخيا,Малкия
6,מלכיה,12.11.2024,18:18:34,2024-11-12T18:19:00,1,ירי רקטות וטילים,1,50436,מלכיה,Malkia,ملاخيا,Малкия
7,מלכיה,11.11.2024,12:37:58,2024-11-11T12:38:00,2,חדירת כלי טיס עוין,6,50096,מלכיה,Malkia,ملاخيا,Малкия
8,מלכיה,11.11.2024,12:36:58,2024-11-11T12:37:00,2,חדירת כלי טיס עוין,6,50095,מלכיה,Malkia,ملاخيا,Малкия
9,מלכיה,04.11.2024,09:25:45,2024-11-04T09:26:00,1,ירי רקטות וטילים,1,48971,מלכיה,Malkia,ملاخيا,Малкия
10,מלכיה,04.11.2024,09:25:10,2024-11-04T09:25:00,1,ירי רקטות וטילים,1,48961,מלכיה,Malkia,ملاخيا,Малкия
11,מלכיה,27.10.2024,13:56:30,2024-10-27T13:57:00,1,ירי רקטות וטילים,1,47403,מלכיה,Malkia,ملاخيا,Малкия
12,מלכיה,27.10.2024,09:15:56,2024-10-27T09:16:00,1,ירי רקטות וטילים,1,47359,מלכיה,Malkia,ملاخيا,Малкия
13,מלכיה,26.10.2024,17:46:45,2024-10-26T17:47:00,1,ירי רקטות וטילים,1,47294,מלכיה,Malkia,ملاخيا,Малкия
14,מלכיה,25.10.2024,09:51:13,2024-10-25T09:51:00,1,ירי רקטות וטילים,1,47108,מלכיה,Malkia,ملاخيا,Малкия
15,מלכיה,25.10.2024,01:10:43,2024-10-25T01:11:00,1,ירי רקטות וטילים,1,47047,מלכיה,Malkia,ملاخيا,Малкия
16,מלכיה,24.10.2024,23:26:12,2024-10-24T23:26:00,1,ירי רקטות וטילים,1,47044,מלכיה,Malkia,ملاخيا,Малкия
17,מלכיה,24.10.2024,09:52:39,2024-10-24T09:53:00,1,ירי רקטות וטילים,1,46900,מלכיה,Malkia,ملاخيا,Малкия
18,מלכיה,24.10.2024,09:51:53,2024-10-24T09:52:00,1,ירי רקטות וטילים,1,46894,מלכיה,Malkia,ملاخيا,Малкия
19,מלכיה,24.10.2024,09:51:09,2024-10-24T09:51:00,1,ירי רקטות וטילים,1,46893,מלכיה,Malkia,ملاخيا,Малкия
20,מלכיה,22.10.2024,19:48:47,2024-10-22T19:49:00,1,ירי רקטות וטילים,1,46485,מלכיה,Malkia,ملاخيا,Малкия
21,מלכיה,21.10.2024,02:49:05,2024-10-21T02:49:00,1,ירי רקטות וטילים,1,45853,מלכיה,Malkia,ملاخيا,Малкия
22,מלכיה,19.10.2024,18:16:41,2024-10-19T18:17:00,1,ירי רקטות וטילים,1,45511,מלכיה,Malkia,ملاخيا,Малкия
23,מלכיה,19.10.2024,01:17:19,2024-10-19T01:17:00,1,ירי רקטות וטילים,1,45316,מלכיה,Malkia,ملاخيا,Малкия
24,מלכיה,16.10.2024,17:36:22,2024-10-16T17:36:00,1,ירי רקטות וטילים,1,44862,מלכיה,Malkia,ملاخيا,Малкия
25,מלכיה,12.10.2024,23:22:32,2024-10-12T23:23:00,1,ירי רקטות וטילים,1,43860,מלכיה,Malkia,ملاخيا,Малкия
26,מלכיה,12.10.2024,23:21:54,2024-10-12T23:22:00,1,ירי רקטות וטילים,1,43855,מלכיה,Malkia,ملاخيا,Малкия
27,מלכיה,09.10.2024,16:42:22,2024-10-09T16:42:00,1,ירי רקטות וטילים,1,43255,מלכיה,Malkia,ملاخيا,Малкия
28,מלכיה,07.10.2024,14:26:08,2024-10-07T14:26:00,1,ירי רקטות וטילים,1,42585,מלכיה,Malkia,ملاخيا,Малкия
29,מלכיה,01.10.2024,23:31:06,2024-10-01T23:31:00,1,ירי רקטות וטילים,1,41482,מלכיה,Malkia,ملاخيا,Малкия
30,מלכיה,01.10.2024,15:09:54,2024-10-01T15:10:00,1,ירי רקטות וטילים,1,39483,מלכיה,Malkia,ملاخيا,Малкия
31,מלכיה,01.10.2024,12:05:12,2024-10-01T12:05:00,1,ירי רקטות וטילים,1,39465,מלכיה,Malkia,ملاخيا,Малкия
32,מלכיה,28.09.2024,09:36:21,2024-09-28T09:36:00,1,ירי רקטות וטילים,1,38685,מלכיה,Malkia,ملاخيا,Малкия
33,מלכיה,23.09.2024,14:30:03,2024-09-23T14:30:00,1,ירי רקטות וטילים,1,37028,מלכיה,Malkia,ملاخيا,Малкия
34,מלכיה,22.09.2024,12:16:09,2024-09-22T12:16:00,2,חדירת כלי טיס עוין,6,36906,מלכיה,Malkia,ملاخيا,Малкия
35,מלכיה,21.09.2024,19:40:29,2024-09-21T19:40:00,2,חדירת כלי טיס עוין,6,36548,מלכיה,Malkia,ملاخيا,Малкия
36,מלכיה,21.09.2024,17:47:45,2024-09-21T17:48:00,2,חדירת כלי טיס עוין,6,36541,מלכיה,Malkia,ملاخيا,Малкия
37,מלכיה,19.09.2024,16:50:08,2024-09-19T16:50:00,1,ירי רקטות וטילים,1,36404,מלכיה,Malkia,ملاخيا,Малкия
38,מלכיה,18.09.2024,11:13:26,2024-09-18T11:13:00,1,ירי רקטות וטילים,1,36344,מלכיה,Malkia,ملاخيا,Малкия
39,מלכיה,17.09.2024,13:45:44,2024-09-17T13:46:00,2,חדירת כלי טיס עוין,6,36318,מלכיה,Malkia,ملاخيا,Малкия
40,מלכיה,17.09.2024,13:45:05,2024-09-17T13:45:00,2,חדירת כלי טיס עוין,6,36313,מלכיה,Malkia,ملاخيا,Малкия
