,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,מנרה,24.11.2024,13:14:01,2024-11-24T13:14:00,1,ירי רקטות וטילים,1,52218,מנרה,Manara,مناره,Манара
1,מנרה,24.11.2024,11:30:58,2024-11-24T11:31:00,1,ירי רקטות וטילים,1,52086,מנרה,Manara,مناره,Манара
2,מנרה,23.11.2024,17:31:29,2024-11-23T17:31:00,1,ירי רקטות וטילים,1,51913,מנרה,Manara,مناره,Манара
3,מנרה,23.11.2024,13:55:40,2024-11-23T13:56:00,1,ירי רקטות וטילים,1,51895,מנרה,Manara,مناره,Манара
4,מנרה,21.11.2024,08:39:10,2024-11-21T08:39:00,1,ירי רקטות וטילים,1,51657,מנרה,Manara,مناره,Манара
5,מנרה,20.11.2024,10:40:34,2024-11-20T10:41:00,1,ירי רקטות וטילים,1,51577,מנרה,Manara,مناره,Манара
6,מנרה,20.11.2024,09:21:05,2024-11-20T09:21:00,1,ירי רקטות וטילים,1,51574,מנרה,Manara,مناره,Манара
7,מנרה,19.11.2024,11:58:35,2024-11-19T11:59:00,1,ירי רקטות וטילים,1,51480,מנרה,Manara,مناره,Манара
8,מנרה,19.11.2024,10:08:46,2024-11-19T10:09:00,1,ירי רקטות וטילים,1,51437,מנרה,Manara,مناره,Манара
9,מנרה,19.11.2024,00:13:21,2024-11-19T00:13:00,1,ירי רקטות וטילים,1,51336,מנרה,Manara,مناره,Манара
10,מנרה,18.11.2024,21:46:38,2024-11-18T21:47:00,1,ירי רקטות וטילים,1,51334,מנרה,Manara,مناره,Манара
11,מנרה,18.11.2024,10:23:29,2024-11-18T10:23:00,1,ירי רקטות וטילים,1,51126,מנרה,Manara,مناره,Манара
12,מנרה,18.11.2024,00:31:57,2024-11-18T00:32:00,1,ירי רקטות וטילים,1,51119,מנרה,Manara,مناره,Манара
13,מנרה,16.11.2024,20:20:06,2024-11-16T20:20:00,1,ירי רקטות וטילים,1,51053,מנרה,Manara,مناره,Манара
14,מנרה,16.11.2024,12:47:02,2024-11-16T12:47:00,1,ירי רקטות וטילים,1,51002,מנרה,Manara,مناره,Манара
15,מנרה,16.11.2024,12:16:40,2024-11-16T12:17:00,1,ירי רקטות וטילים,1,51001,מנרה,Manara,مناره,Манара
16,מנרה,15.11.2024,21:55:01,2024-11-15T21:55:00,1,ירי רקטות וטילים,1,50933,מנרה,Manara,مناره,Манара
17,מנרה,15.11.2024,14:26:25,2024-11-15T14:26:00,1,ירי רקטות וטילים,1,50915,מנרה,Manara,مناره,Манара
18,מנרה,15.11.2024,10:48:10,2024-11-15T10:48:00,1,ירי רקטות וטילים,1,50910,מנרה,Manara,مناره,Манара
19,מנרה,15.11.2024,10:31:26,2024-11-15T10:31:00,1,ירי רקטות וטילים,1,50909,מנרה,Manara,مناره,Манара
20,מנרה,15.11.2024,07:36:07,2024-11-15T07:36:00,1,ירי רקטות וטילים,1,50890,מנרה,Manara,مناره,Манара
21,מנרה,14.11.2024,22:02:23,2024-11-14T22:02:00,1,ירי רקטות וטילים,1,50838,מנרה,Manara,مناره,Манара
22,מנרה,13.11.2024,16:05:07,2024-11-13T16:05:00,1,ירי רקטות וטילים,1,50558,מנרה,Manara,مناره,Манара
23,מנרה,13.11.2024,15:19:08,2024-11-13T15:19:00,1,ירי רקטות וטילים,1,50551,מנרה,Manara,مناره,Манара
24,מנרה,13.11.2024,15:17:40,2024-11-13T15:18:00,1,ירי רקטות וטילים,1,50547,מנרה,Manara,مناره,Манара
25,מנרה,12.11.2024,20:39:32,2024-11-12T20:40:00,1,ירי רקטות וטילים,1,50439,מנרה,Manara,مناره,Манара
26,מנרה,12.11.2024,19:12:25,2024-11-12T19:12:00,1,ירי רקטות וטילים,1,50437,מנרה,Manara,مناره,Манара
27,מנרה,10.11.2024,11:16:57,2024-11-10T11:17:00,1,ירי רקטות וטילים,1,49908,מנרה,Manara,مناره,Манара
28,מנרה,10.11.2024,00:48:17,2024-11-10T00:48:00,2,חדירת כלי טיס עוין,6,49888,מנרה,Manara,مناره,Манара
29,מנרה,09.11.2024,17:33:30,2024-11-09T17:34:00,1,ירי רקטות וטילים,1,49878,מנרה,Manara,مناره,Манара
30,מנרה,09.11.2024,07:51:12,2024-11-09T07:51:00,1,ירי רקטות וטילים,1,49804,מנרה,Manara,مناره,Манара
31,מנרה,08.11.2024,17:11:31,2024-11-08T17:12:00,1,ירי רקטות וטילים,1,49785,מנרה,Manara,مناره,Манара
32,מנרה,08.11.2024,06:36:20,2024-11-08T06:36:00,1,ירי רקטות וטילים,1,49577,מנרה,Manara,مناره,Манара
33,מנרה,07.11.2024,21:13:22,2024-11-07T21:13:00,1,ירי רקטות וטילים,1,49567,מנרה,Manara,مناره,Манара
34,מנרה,07.11.2024,16:11:16,2024-11-07T16:11:00,1,ירי רקטות וטילים,1,49525,מנרה,Manara,مناره,Манара
35,מנרה,07.11.2024,16:10:41,2024-11-07T16:11:00,1,ירי רקטות וטילים,1,49522,מנרה,Manara,مناره,Манара
36,מנרה,06.11.2024,15:01:28,2024-11-06T15:01:00,1,ירי רקטות וטילים,1,49340,מנרה,Manara,مناره,Манара
37,מנרה,05.11.2024,13:54:24,2024-11-05T13:54:00,1,ירי רקטות וטילים,1,49089,מנרה,Manara,مناره,Манара
38,מנרה,05.11.2024,13:02:31,2024-11-05T13:03:00,1,ירי רקטות וטילים,1,49086,מנרה,Manara,مناره,Манара
39,מנרה,05.11.2024,07:56:58,2024-11-05T07:57:00,1,ירי רקטות וטילים,1,49070,מנרה,Manara,مناره,Манара
40,מנרה,04.11.2024,21:20:31,2024-11-04T21:21:00,1,ירי רקטות וטילים,1,49010,מנרה,Manara,مناره,Манара
41,מנרה,04.11.2024,16:24:31,2024-11-04T16:25:00,1,ירי רקטות וטילים,1,48997,מנרה,Manara,مناره,Манара
42,מנרה,03.11.2024,11:43:07,2024-11-03T11:43:00,1,ירי רקטות וטילים,1,48860,מנרה,Manara,مناره,Манара
43,מנרה,02.11.2024,15:05:18,2024-11-02T15:05:00,1,ירי רקטות וטילים,1,48705,מנרה,Manara,مناره,Манара
44,מנרה,02.11.2024,13:59:36,2024-11-02T14:00:00,1,ירי רקטות וטילים,1,48702,מנרה,Manara,مناره,Манара
45,מנרה,01.11.2024,06:33:22,2024-11-01T06:33:00,1,ירי רקטות וטילים,1,48381,מנרה,Manara,مناره,Манара
46,מנרה,29.10.2024,08:54:00,2024-10-29T08:54:00,2,חדירת כלי טיס עוין,6,47598,מנרה,Manara,مناره,Манара
