,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,מעונה,24.11.2024,14:37:09,2024-11-24T14:37:00,1,ירי רקטות וטילים,1,52259,מעונה,Maona,معوناه,Маона
1,מעונה,24.11.2024,08:44:34,2024-11-24T08:45:00,1,ירי רקטות וטילים,1,52050,מעונה,Maona,معوناه,Маона
2,מעונה,24.11.2024,08:43:54,2024-11-24T08:44:00,1,ירי רקטות וטילים,1,52039,מעונה,Maona,معوناه,Маона
3,מעונה,22.11.2024,16:43:00,2024-11-22T16:43:00,1,ירי רקטות וטילים,1,51776,מעונה,Maona,معوناه,Маона
4,מעונה,22.11.2024,16:36:36,2024-11-22T16:37:00,1,ירי רקטות וטילים,1,51771,מעונה,Maona,معوناه,Маона
5,מעונה,22.11.2024,16:35:35,2024-11-22T16:36:00,1,ירי רקטות וטילים,1,51765,מעונה,Maona,معوناه,Маона
6,מעונה,19.11.2024,14:23:56,2024-11-19T14:24:00,1,ירי רקטות וטילים,1,51486,מעונה,Maona,معوناه,Маона
7,מעונה,19.11.2024,09:50:49,2024-11-19T09:51:00,1,ירי רקטות וטילים,1,51425,מעונה,Maona,معوناه,Маона
8,מעונה,13.11.2024,12:14:42,2024-11-13T12:15:00,1,ירי רקטות וטילים,1,50485,מעונה,Maona,معوناه,Маона
9,מעונה,13.11.2024,12:13:55,2024-11-13T12:14:00,1,ירי רקטות וטילים,1,50473,מעונה,Maona,معوناه,Маона
10,מעונה,11.11.2024,13:35:30,2024-11-11T13:36:00,1,ירי רקטות וטילים,1,50102,מעונה,Maona,معوناه,Маона
11,מעונה,11.11.2024,12:08:07,2024-11-11T12:08:00,1,ירי רקטות וטילים,1,50060,מעונה,Maona,معوناه,Маона
12,מעונה,11.11.2024,12:07:24,2024-11-11T12:07:00,1,ירי רקטות וטילים,1,50017,מעונה,Maona,معوناه,Маона
13,מעונה,11.11.2024,11:54:18,2024-11-11T11:54:00,1,ירי רקטות וטילים,1,49998,מעונה,Maona,معوناه,Маона
