,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,מעיליא,24.11.2024,14:37:09,2024-11-24T14:37:00,1,ירי רקטות וטילים,1,52257,מעיליא,Mi'ilya,معليا,Миилия
1,מעיליא,24.11.2024,08:44:39,2024-11-24T08:45:00,1,ירי רקטות וטילים,1,52055,מעיליא,Mi'ilya,معليا,Миилия
2,מעיליא,24.11.2024,08:43:56,2024-11-24T08:44:00,1,ירי רקטות וטילים,1,52038,מעיליא,Mi'ilya,معليا,Миилия
3,מעיליא,24.11.2024,06:25:09,2024-11-24T06:25:00,2,חדירת כלי טיס עוין,6,51947,מעיליא,Mi'ilya,معليا,Миилия
4,מעיליא,22.11.2024,16:43:00,2024-11-22T16:43:00,1,ירי רקטות וטילים,1,51777,מעיליא,Mi'ilya,معليا,Миилия
5,מעיליא,22.11.2024,16:37:12,2024-11-22T16:37:00,1,ירי רקטות וטילים,1,51775,מעיליא,Mi'ilya,معليا,Миилия
6,מעיליא,22.11.2024,16:36:30,2024-11-22T16:37:00,1,ירי רקטות וטילים,1,51770,מעיליא,Mi'ilya,معليا,Миилия
7,מעיליא,22.11.2024,16:35:35,2024-11-22T16:36:00,1,ירי רקטות וטילים,1,51766,מעיליא,Mi'ilya,معليا,Миилия
8,מעיליא,19.11.2024,14:23:56,2024-11-19T14:24:00,1,ירי רקטות וטילים,1,51487,מעיליא,Mi'ilya,معليا,Миилия
9,מעיליא,19.11.2024,09:50:49,2024-11-19T09:51:00,1,ירי רקטות וטילים,1,51426,מעיליא,Mi'ilya,معليا,Миилия
10,מעיליא,15.11.2024,15:58:16,2024-11-15T15:58:00,1,ירי רקטות וטילים,1,50923,מעיליא,Mi'ilya,معليا,Миилия
11,מעיליא,14.11.2024,14:36:15,2024-11-14T14:36:00,1,ירי רקטות וטילים,1,50746,מעיליא,Mi'ilya,معليا,Миилия
12,מעיליא,13.11.2024,12:14:38,2024-11-13T12:15:00,1,ירי רקטות וטילים,1,50486,מעיליא,Mi'ilya,معليا,Миилия
13,מעיליא,13.11.2024,12:13:55,2024-11-13T12:14:00,1,ירי רקטות וטילים,1,50471,מעיליא,Mi'ilya,معليا,Миилия
14,מעיליא,11.11.2024,13:35:30,2024-11-11T13:36:00,1,ירי רקטות וטילים,1,50103,מעיליא,Mi'ilya,معليا,Миилия
15,מעיליא,11.11.2024,12:08:07,2024-11-11T12:08:00,1,ירי רקטות וטילים,1,50061,מעיליא,Mi'ilya,معليا,Миилия
16,מעיליא,11.11.2024,12:07:24,2024-11-11T12:07:00,1,ירי רקטות וטילים,1,50018,מעיליא,Mi'ilya,معليا,Миилия
17,מעיליא,11.11.2024,11:54:18,2024-11-11T11:54:00,1,ירי רקטות וטילים,1,49997,מעיליא,Mi'ilya,معليا,Миилия
18,מעיליא,06.11.2024,16:07:36,2024-11-06T16:08:00,1,ירי רקטות וטילים,1,49362,מעיליא,Mi'ilya,معليا,Миилия
19,מעיליא,02.11.2024,08:16:31,2024-11-02T08:17:00,2,חדירת כלי טיס עוין,6,48544,מעיליא,Mi'ilya,معليا,Миилия
20,מעיליא,01.11.2024,13:36:39,2024-11-01T13:37:00,1,ירי רקטות וטילים,1,48430,מעיליא,Mi'ilya,معليا,Миилия
21,מעיליא,29.10.2024,10:39:12,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47904,מעיליא,Mi'ilya,معليا,Миилия
22,מעיליא,29.10.2024,10:39:10,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47892,מעיליא,Mi'ilya,معليا,Миилия
23,מעיליא,29.10.2024,10:39:08,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47897,מעיליא,Mi'ilya,معليا,Миилия
24,מעיליא,29.10.2024,10:39:08,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47894,מעיליא,Mi'ilya,معليا,Миилия
25,מעיליא,29.10.2024,10:39:07,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47899,מעיליא,Mi'ilya,معليا,Миилия
26,מעיליא,29.10.2024,10:39:05,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47883,מעיליא,Mi'ilya,معليا,Миилия
27,מעיליא,29.10.2024,10:39:03,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47887,מעיליא,Mi'ilya,معليا,Миилия
28,מעיליא,29.10.2024,10:39:01,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47889,מעיליא,Mi'ilya,معليا,Миилия
29,מעיליא,29.10.2024,10:38:59,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47874,מעיליא,Mi'ilya,معليا,Миилия
30,מעיליא,29.10.2024,10:38:57,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47879,מעיליא,Mi'ilya,معليا,Миилия
31,מעיליא,29.10.2024,10:38:56,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47881,מעיליא,Mi'ilya,معليا,Миилия
32,מעיליא,29.10.2024,10:38:51,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47867,מעיליא,Mi'ilya,معليا,Миилия
33,מעיליא,29.10.2024,10:38:49,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47854,מעיליא,Mi'ilya,معليا,Миилия
34,מעיליא,29.10.2024,10:38:47,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47858,מעיליא,Mi'ilya,معليا,Миилия
35,מעיליא,29.10.2024,10:38:46,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47865,מעיליא,Mi'ilya,معليا,Миилия
36,מעיליא,29.10.2024,10:38:45,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47828,מעיליא,Mi'ilya,معليا,Миилия
37,מעיליא,29.10.2024,10:38:44,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47832,מעיליא,Mi'ilya,معليا,Миилия
38,מעיליא,29.10.2024,10:38:43,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47834,מעיליא,Mi'ilya,معليا,Миилия
