,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,מעלות תרשיחא,24.11.2024,14:37:09,2024-11-24T14:37:00,1,ירי רקטות וטילים,1,52260,מעלות תרשיחא,Ma'a lot Tarshicha,معلوت ترشيحا,Маалот Таршиха
1,מעלות תרשיחא,24.11.2024,08:45:15,2024-11-24T08:45:00,1,ירי רקטות וטילים,1,52060,מעלות תרשיחא,Ma'a lot Tarshicha,معلوت ترشيحا,Маалот Таршиха
2,מעלות תרשיחא,24.11.2024,08:44:34,2024-11-24T08:45:00,1,ירי רקטות וטילים,1,52051,מעלות תרשיחא,Ma'a lot Tarshicha,معلوت ترشيحا,Маалот Таршиха
3,מעלות תרשיחא,24.11.2024,08:43:54,2024-11-24T08:44:00,1,ירי רקטות וטילים,1,52040,מעלות תרשיחא,Ma'a lot Tarshicha,معلوت ترشيحا,Маалот Таршиха
4,מעלות תרשיחא,22.11.2024,16:35:35,2024-11-22T16:36:00,1,ירי רקטות וטילים,1,51767,מעלות תרשיחא,Ma'a lot Tarshicha,معلوت ترشيحا,Маалот Таршиха
5,מעלות תרשיחא,19.11.2024,14:23:55,2024-11-19T14:24:00,1,ירי רקטות וטילים,1,51489,מעלות תרשיחא,Ma'a lot Tarshicha,معلوت ترشيحا,Маалот Таршиха
6,מעלות תרשיחא,19.11.2024,09:50:44,2024-11-19T09:51:00,1,ירי רקטות וטילים,1,51417,מעלות תרשיחא,Ma'a lot Tarshicha,معلوت ترشيحا,Маалот Таршиха
7,מעלות תרשיחא,18.11.2024,11:48:06,2024-11-18T11:48:00,1,ירי רקטות וטילים,1,51156,מעלות תרשיחא,Ma'a lot Tarshicha,معلوت ترشيحا,Маалот Таршиха
8,מעלות תרשיחא,14.11.2024,00:58:34,2024-11-14T00:59:00,1,ירי רקטות וטילים,1,50712,מעלות תרשיחא,Ma'a lot Tarshicha,معلوت ترشيحا,Маалот Таршиха
9,מעלות תרשיחא,13.11.2024,12:14:35,2024-11-13T12:15:00,1,ירי רקטות וטילים,1,50484,מעלות תרשיחא,Ma'a lot Tarshicha,معلوت ترشيحا,Маалот Таршиха
10,מעלות תרשיחא,13.11.2024,12:13:55,2024-11-13T12:14:00,1,ירי רקטות וטילים,1,50474,מעלות תרשיחא,Ma'a lot Tarshicha,معلوت ترشيحا,Маалот Таршиха
11,מעלות תרשיחא,11.11.2024,13:35:30,2024-11-11T13:36:00,1,ירי רקטות וטילים,1,50104,מעלות תרשיחא,Ma'a lot Tarshicha,معلوت ترشيحا,Маалот Таршиха
12,מעלות תרשיחא,11.11.2024,12:08:07,2024-11-11T12:08:00,1,ירי רקטות וטילים,1,50063,מעלות תרשיחא,Ma'a lot Tarshicha,معلوت ترشيحا,Маалот Таршиха
