,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,מצובה,24.11.2024,13:04:10,2024-11-24T13:04:00,1,ירי רקטות וטילים,1,52204,מצובה,Metzuba,متسوفا,Мецуба
1,מצובה,24.11.2024,13:03:32,2024-11-24T13:04:00,1,ירי רקטות וטילים,1,52185,מצובה,Metzuba,متسوفا,Мецуба
2,מצובה,24.11.2024,13:00:35,2024-11-24T13:01:00,1,ירי רקטות וטילים,1,52165,מצובה,Metzuba,متسوفا,Мецуба
3,מצובה,22.11.2024,21:05:04,2024-11-22T21:05:00,2,חדירת כלי טיס עוין,6,51803,מצובה,Metzuba,متسوفا,Мецуба
4,מצובה,22.11.2024,21:02:36,2024-11-22T21:03:00,2,חדירת כלי טיס עוין,6,51793,מצובה,Metzuba,متسوفا,Мецуба
5,מצובה,21.11.2024,06:31:52,2024-11-21T06:32:00,2,חדירת כלי טיס עוין,6,51641,מצובה,Metzuba,متسوفا,Мецуба
6,מצובה,20.11.2024,16:19:25,2024-11-20T16:19:00,1,ירי רקטות וטילים,1,51594,מצובה,Metzuba,متسوفا,Мецуба
7,מצובה,16.11.2024,09:58:54,2024-11-16T09:59:00,1,ירי רקטות וטילים,1,50969,מצובה,Metzuba,متسوفا,Мецуба
8,מצובה,14.11.2024,16:23:15,2024-11-14T16:23:00,1,ירי רקטות וטילים,1,50763,מצובה,Metzuba,متسوفا,Мецуба
9,מצובה,14.11.2024,11:51:27,2024-11-14T11:51:00,1,ירי רקטות וטילים,1,50735,מצובה,Metzuba,متسوفا,Мецуба
10,מצובה,13.11.2024,13:08:54,2024-11-13T13:09:00,1,ירי רקטות וטילים,1,50497,מצובה,Metzuba,متسوفا,Мецуба
11,מצובה,12.11.2024,16:30:00,2024-11-12T16:30:00,1,ירי רקטות וטילים,1,50345,מצובה,Metzuba,متسوفا,Мецуба
12,מצובה,11.11.2024,18:16:50,2024-11-11T18:17:00,2,חדירת כלי טיס עוין,6,50234,מצובה,Metzuba,متسوفا,Мецуба
13,מצובה,11.11.2024,18:15:38,2024-11-11T18:16:00,2,חדירת כלי טיס עוין,6,50228,מצובה,Metzuba,متسوفا,Мецуба
14,מצובה,09.11.2024,13:57:10,2024-11-09T13:57:00,1,ירי רקטות וטילים,1,49849,מצובה,Metzuba,متسوفا,Мецуба
15,מצובה,09.11.2024,12:42:23,2024-11-09T12:42:00,1,ירי רקטות וטילים,1,49831,מצובה,Metzuba,متسوفا,Мецуба
16,מצובה,08.11.2024,21:23:52,2024-11-08T21:24:00,2,חדירת כלי טיס עוין,6,49788,מצובה,Metzuba,متسوفا,Мецуба
17,מצובה,08.11.2024,14:55:50,2024-11-08T14:56:00,1,ירי רקטות וטילים,1,49686,מצובה,Metzuba,متسوفا,Мецуба
18,מצובה,08.11.2024,06:45:36,2024-11-08T06:46:00,1,ירי רקטות וטילים,1,49609,מצובה,Metzuba,متسوفا,Мецуба
19,מצובה,08.11.2024,06:44:08,2024-11-08T06:44:00,1,ירי רקטות וטילים,1,49593,מצובה,Metzuba,متسوفا,Мецуба
20,מצובה,07.11.2024,13:48:29,2024-11-07T13:48:00,1,ירי רקטות וטילים,1,49484,מצובה,Metzuba,متسوفا,Мецуба
21,מצובה,07.11.2024,13:47:06,2024-11-07T13:47:00,1,ירי רקטות וטילים,1,49468,מצובה,Metzuba,متسوفا,Мецуба
22,מצובה,05.11.2024,17:19:38,2024-11-05T17:20:00,1,ירי רקטות וטילים,1,49121,מצובה,Metzuba,متسوفا,Мецуба
23,מצובה,05.11.2024,17:18:59,2024-11-05T17:19:00,1,ירי רקטות וטילים,1,49108,מצובה,Metzuba,متسوفا,Мецуба
24,מצובה,03.11.2024,11:11:45,2024-11-03T11:12:00,1,ירי רקטות וטילים,1,48855,מצובה,Metzuba,متسوفا,Мецуба
25,מצובה,03.11.2024,09:01:56,2024-11-03T09:02:00,1,ירי רקטות וטילים,1,48843,מצובה,Metzuba,متسوفا,Мецуба
26,מצובה,02.11.2024,18:27:51,2024-11-02T18:28:00,1,ירי רקטות וטילים,1,48788,מצובה,Metzuba,متسوفا,Мецуба
27,מצובה,02.11.2024,16:16:52,2024-11-02T16:17:00,2,חדירת כלי טיס עוין,6,48744,מצובה,Metzuba,متسوفا,Мецуба
28,מצובה,02.11.2024,15:54:19,2024-11-02T15:54:00,1,ירי רקטות וטילים,1,48726,מצובה,Metzuba,متسوفا,Мецуба
29,מצובה,02.11.2024,15:53:35,2024-11-02T15:54:00,1,ירי רקטות וטילים,1,48708,מצובה,Metzuba,متسوفا,Мецуба
30,מצובה,02.11.2024,07:15:17,2024-11-02T07:15:00,1,ירי רקטות וטילים,1,48507,מצובה,Metzuba,متسوفا,Мецуба
31,מצובה,30.10.2024,17:30:47,2024-10-30T17:31:00,2,חדירת כלי טיס עוין,6,48174,מצובה,Metzuba,متسوفا,Мецуба
32,מצובה,30.10.2024,17:29:47,2024-10-30T17:30:00,2,חדירת כלי טיס עוין,6,48162,מצובה,Metzuba,متسوفا,Мецуба
33,מצובה,30.10.2024,08:10:07,2024-10-30T08:10:00,2,חדירת כלי טיס עוין,6,48063,מצובה,Metzuba,متسوفا,Мецуба
34,מצובה,30.10.2024,05:39:32,2024-10-30T05:40:00,2,חדירת כלי טיס עוין,6,47966,מצובה,Metzuba,متسوفا,Мецуба
35,מצובה,29.10.2024,17:03:40,2024-10-29T17:04:00,1,ירי רקטות וטילים,1,47943,מצובה,Metzuba,متسوفا,Мецуба
36,מצובה,29.10.2024,12:19:36,2024-10-29T12:20:00,2,חדירת כלי טיס עוין,6,47922,מצובה,Metzuba,متسوفا,Мецуба
37,מצובה,28.10.2024,14:34:36,2024-10-28T14:35:00,1,ירי רקטות וטילים,1,47513,מצובה,Metzuba,متسوفا,Мецуба
38,מצובה,28.10.2024,07:29:46,2024-10-28T07:30:00,2,חדירת כלי טיס עוין,6,47487,מצובה,Metzuba,متسوفا,Мецуба
39,מצובה,27.10.2024,13:42:31,2024-10-27T13:43:00,2,חדירת כלי טיס עוין,6,47402,מצובה,Metzuba,متسوفا,Мецуба
40,מצובה,27.10.2024,01:15:41,2024-10-27T01:16:00,2,חדירת כלי טיס עוין,6,47315,מצובה,Metzuba,متسوفا,Мецуба
41,מצובה,26.10.2024,13:19:57,2024-10-26T13:20:00,2,חדירת כלי טיס עוין,6,47237,מצובה,Metzuba,متسوفا,Мецуба
42,מצובה,26.10.2024,12:24:10,2024-10-26T12:24:00,1,ירי רקטות וטילים,1,47214,מצובה,Metzuba,متسوفا,Мецуба
43,מצובה,26.10.2024,04:35:01,2024-10-26T04:35:00,2,חדירת כלי טיס עוין,6,47193,מצובה,Metzuba,متسوفا,Мецуба
44,מצובה,24.10.2024,09:52:50,2024-10-24T09:53:00,1,ירי רקטות וטילים,1,46908,מצובה,Metzuba,متسوفا,Мецуба
45,מצובה,23.10.2024,16:13:06,2024-10-23T16:13:00,1,ירי רקטות וטילים,1,46645,מצובה,Metzuba,متسوفا,Мецуба
46,מצובה,22.10.2024,18:16:51,2024-10-22T18:17:00,2,חדירת כלי טיס עוין,6,46397,מצובה,Metzuba,متسوفا,Мецуба
47,מצובה,21.10.2024,16:26:18,2024-10-21T16:26:00,1,ירי רקטות וטילים,1,46166,מצובה,Metzuba,متسوفا,Мецуба
48,מצובה,20.10.2024,11:12:15,2024-10-20T11:12:00,1,ירי רקטות וטילים,1,45641,מצובה,Metzuba,متسوفا,Мецуба
49,מצובה,20.10.2024,11:11:27,2024-10-20T11:11:00,1,ירי רקטות וטילים,1,45633,מצובה,Metzuba,متسوفا,Мецуба
50,מצובה,20.10.2024,11:10:51,2024-10-20T11:11:00,1,ירי רקטות וטילים,1,45617,מצובה,Metzuba,متسوفا,Мецуба
51,מצובה,20.10.2024,11:10:16,2024-10-20T11:10:00,1,ירי רקטות וטילים,1,45606,מצובה,Metzuba,متسوفا,Мецуба
52,מצובה,20.10.2024,11:09:38,2024-10-20T11:10:00,1,ירי רקטות וטילים,1,45586,מצובה,Metzuba,متسوفا,Мецуба
53,מצובה,19.10.2024,15:39:40,2024-10-19T15:40:00,2,חדירת כלי טיס עוין,6,45492,מצובה,Metzuba,متسوفا,Мецуба
54,מצובה,19.10.2024,10:37:03,2024-10-19T10:37:00,1,ירי רקטות וטילים,1,45437,מצובה,Metzuba,متسوفا,Мецуба
55,מצובה,19.10.2024,10:36:20,2024-10-19T10:36:00,1,ירי רקטות וטילים,1,45432,מצובה,Metzuba,متسوفا,Мецуба
56,מצובה,19.10.2024,10:35:45,2024-10-19T10:36:00,1,ירי רקטות וטילים,1,45422,מצובה,Metzuba,متسوفا,Мецуба
57,מצובה,19.10.2024,10:35:09,2024-10-19T10:35:00,1,ירי רקטות וטילים,1,45407,מצובה,Metzuba,متسوفا,Мецуба
58,מצובה,16.10.2024,18:43:21,2024-10-16T18:43:00,2,חדירת כלי טיס עוין,6,44881,מצובה,Metzuba,متسوفا,Мецуба
59,מצובה,09.10.2024,16:48:31,2024-10-09T16:49:00,1,ירי רקטות וטילים,1,43346,מצובה,Metzuba,متسوفا,Мецуба
60,מצובה,08.10.2024,07:55:31,2024-10-08T07:56:00,1,ירי רקטות וטילים,1,43002,מצובה,Metzuba,متسوفا,Мецуба
61,מצובה,08.10.2024,00:20:10,2024-10-08T00:20:00,1,ירי רקטות וטילים,1,42982,מצובה,Metzuba,متسوفا,Мецуба
62,מצובה,07.10.2024,12:38:33,2024-10-07T12:39:00,1,ירי רקטות וטילים,1,42551,מצובה,Metzuba,متسوفا,Мецуба
63,מצובה,07.10.2024,02:36:01,2024-10-07T02:36:00,1,ירי רקטות וטילים,1,42459,מצובה,Metzuba,متسوفا,Мецуба
64,מצובה,03.10.2024,13:09:35,2024-10-03T13:10:00,1,ירי רקטות וטילים,1,41770,מצובה,Metzuba,متسوفا,Мецуба
65,מצובה,03.10.2024,11:31:48,2024-10-03T11:32:00,1,ירי רקטות וטילים,1,41740,מצובה,Metzuba,متسوفا,Мецуба
66,מצובה,03.10.2024,11:31:13,2024-10-03T11:31:00,1,ירי רקטות וטילים,1,41738,מצובה,Metzuba,متسوفا,Мецуба
67,מצובה,03.10.2024,11:30:36,2024-10-03T11:31:00,1,ירי רקטות וטילים,1,41733,מצובה,Metzuba,متسوفا,Мецуба
68,מצובה,03.10.2024,03:30:23,2024-10-03T03:30:00,1,ירי רקטות וטילים,1,41693,מצובה,Metzuba,متسوفا,Мецуба
69,מצובה,02.10.2024,17:47:04,2024-10-02T17:47:00,1,ירי רקטות וטילים,1,41631,מצובה,Metzuba,متسوفا,Мецуба
70,מצובה,02.10.2024,17:46:28,2024-10-02T17:46:00,1,ירי רקטות וטילים,1,41626,מצובה,Metzuba,متسوفا,Мецуба
71,מצובה,02.10.2024,17:45:51,2024-10-02T17:46:00,1,ירי רקטות וטילים,1,41624,מצובה,Metzuba,متسوفا,Мецуба
72,מצובה,02.10.2024,11:28:07,2024-10-02T11:28:00,1,ירי רקטות וטילים,1,41561,מצובה,Metzuba,متسوفا,Мецуба
73,מצובה,02.10.2024,09:53:20,2024-10-02T09:53:00,1,ירי רקטות וטילים,1,41550,מצובה,Metzuba,متسوفا,Мецуба
74,מצובה,01.10.2024,16:11:39,2024-10-01T16:12:00,1,ירי רקטות וטילים,1,39539,מצובה,Metzuba,متسوفا,Мецуба
75,מצובה,29.09.2024,14:24:39,2024-09-29T14:25:00,1,ירי רקטות וטילים,1,39123,מצובה,Metzuba,متسوفا,Мецуба
76,מצובה,28.09.2024,23:12:20,2024-09-28T23:12:00,2,חדירת כלי טיס עוין,6,39093,מצובה,Metzuba,متسوفا,Мецуба
77,מצובה,28.09.2024,23:03:14,2024-09-28T23:03:00,2,חדירת כלי טיס עוין,6,39086,מצובה,Metzuba,متسوفا,Мецуба
78,מצובה,28.09.2024,13:21:46,2024-09-28T13:22:00,1,ירי רקטות וטילים,1,38875,מצובה,Metzuba,متسوفا,Мецуба
79,מצובה,28.09.2024,13:16:16,2024-09-28T13:16:00,1,ירי רקטות וטילים,1,38873,מצובה,Metzuba,متسوفا,Мецуба
80,מצובה,28.09.2024,13:15:39,2024-09-28T13:16:00,1,ירי רקטות וטילים,1,38865,מצובה,Metzuba,متسوفا,Мецуба
81,מצובה,28.09.2024,10:42:57,2024-09-28T10:43:00,1,ירי רקטות וטילים,1,38784,מצובה,Metzuba,متسوفا,Мецуба
82,מצובה,25.09.2024,13:35:34,2024-09-25T13:36:00,1,ירי רקטות וטילים,1,37860,מצובה,Metzuba,متسوفا,Мецуба
83,מצובה,24.09.2024,17:27:45,2024-09-24T17:28:00,1,ירי רקטות וטילים,1,37650,מצובה,Metzuba,متسوفا,Мецуба
