,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,מרגליות,24.11.2024,09:59:10,2024-11-24T09:59:00,1,ירי רקטות וטילים,1,52065,מרגליות,Margaliot,مرجليوت,Маргалиот
1,מרגליות,24.11.2024,08:04:37,2024-11-24T08:05:00,1,ירי רקטות וטילים,1,52032,מרגליות,Margaliot,مرجليوت,Маргалиот
2,מרגליות,23.11.2024,16:36:43,2024-11-23T16:37:00,2,חדירת כלי טיס עוין,6,51912,מרגליות,Margaliot,مرجليوت,Маргалиот
3,מרגליות,23.11.2024,13:55:40,2024-11-23T13:56:00,1,ירי רקטות וטילים,1,51896,מרגליות,Margaliot,مرجليوت,Маргалиот
4,מרגליות,23.11.2024,00:06:41,2024-11-23T00:07:00,1,ירי רקטות וטילים,1,51862,מרגליות,Margaliot,مرجليوت,Маргалиот
5,מרגליות,22.11.2024,12:40:00,2024-11-22T12:40:00,2,חדירת כלי טיס עוין,6,51715,מרגליות,Margaliot,مرجليوت,Маргалиот
6,מרגליות,21.11.2024,17:26:20,2024-11-21T17:26:00,1,ירי רקטות וטילים,1,51687,מרגליות,Margaliot,مرجليوت,Маргалиот
7,מרגליות,21.11.2024,14:21:50,2024-11-21T14:22:00,2,חדירת כלי טיס עוין,6,51678,מרגליות,Margaliot,مرجليوت,Маргалиот
8,מרגליות,20.11.2024,19:30:18,2024-11-20T19:30:00,2,חדירת כלי טיס עוין,6,51623,מרגליות,Margaliot,مرجليوت,Маргалиот
9,מרגליות,20.11.2024,13:38:42,2024-11-20T13:39:00,1,ירי רקטות וטילים,1,51580,מרגליות,Margaliot,مرجليوت,Маргалиот
10,מרגליות,20.11.2024,10:40:34,2024-11-20T10:41:00,1,ירי רקטות וטילים,1,51578,מרגליות,Margaliot,مرجليوت,Маргалиот
11,מרגליות,20.11.2024,09:21:05,2024-11-20T09:21:00,1,ירי רקטות וטילים,1,51575,מרגליות,Margaliot,مرجليوت,Маргалиот
12,מרגליות,19.11.2024,13:29:58,2024-11-19T13:30:00,1,ירי רקטות וטילים,1,51481,מרגליות,Margaliot,مرجليوت,Маргалиот
13,מרגליות,19.11.2024,00:13:18,2024-11-19T00:13:00,1,ירי רקטות וטילים,1,51338,מרגליות,Margaliot,مرجليوت,Маргалиот
14,מרגליות,18.11.2024,21:46:36,2024-11-18T21:47:00,1,ירי רקטות וטילים,1,51335,מרגליות,Margaliot,مرجليوت,Маргалиот
15,מרגליות,18.11.2024,13:29:34,2024-11-18T13:30:00,1,ירי רקטות וטילים,1,51170,מרגליות,Margaliot,مرجليوت,Маргалиот
16,מרגליות,18.11.2024,13:27:20,2024-11-18T13:27:00,1,ירי רקטות וטילים,1,51168,מרגליות,Margaliot,مرجليوت,Маргалиот
17,מרגליות,18.11.2024,10:23:29,2024-11-18T10:23:00,1,ירי רקטות וטילים,1,51127,מרגליות,Margaliot,مرجليوت,Маргалиот
18,מרגליות,18.11.2024,00:31:47,2024-11-18T00:32:00,1,ירי רקטות וטילים,1,51118,מרגליות,Margaliot,مرجليوت,Маргалиот
19,מרגליות,17.11.2024,14:57:12,2024-11-17T14:57:00,1,ירי רקטות וטילים,1,51092,מרגליות,Margaliot,مرجليوت,Маргалиот
20,מרגליות,16.11.2024,22:04:04,2024-11-16T22:04:00,1,ירי רקטות וטילים,1,51065,מרגליות,Margaliot,مرجليوت,Маргалиот
21,מרגליות,16.11.2024,20:20:06,2024-11-16T20:20:00,1,ירי רקטות וטילים,1,51054,מרגליות,Margaliot,مرجليوت,Маргалиот
22,מרגליות,16.11.2024,12:47:02,2024-11-16T12:47:00,1,ירי רקטות וטילים,1,51003,מרגליות,Margaliot,مرجليوت,Маргалиот
23,מרגליות,15.11.2024,22:53:51,2024-11-15T22:54:00,1,ירי רקטות וטילים,1,50935,מרגליות,Margaliot,مرجليوت,Маргалиот
24,מרגליות,15.11.2024,21:54:59,2024-11-15T21:55:00,1,ירי רקטות וטילים,1,50932,מרגליות,Margaliot,مرجليوت,Маргалиот
25,מרגליות,15.11.2024,14:27:22,2024-11-15T14:27:00,1,ירי רקטות וטילים,1,50918,מרגליות,Margaliot,مرجليوت,Маргалиот
26,מרגליות,15.11.2024,14:26:23,2024-11-15T14:26:00,1,ירי רקטות וטילים,1,50917,מרגליות,Margaliot,مرجليوت,Маргалиот
27,מרגליות,15.11.2024,10:31:09,2024-11-15T10:31:00,1,ירי רקטות וטילים,1,50908,מרגליות,Margaliot,مرجليوت,Маргалиот
28,מרגליות,15.11.2024,07:36:07,2024-11-15T07:36:00,1,ירי רקטות וטילים,1,50891,מרגליות,Margaliot,مرجليوت,Маргалиот
29,מרגליות,14.11.2024,22:02:23,2024-11-14T22:02:00,1,ירי רקטות וטילים,1,50840,מרגליות,Margaliot,مرجليوت,Маргалиот
30,מרגליות,14.11.2024,15:33:57,2024-11-14T15:34:00,1,ירי רקטות וטילים,1,50750,מרגליות,Margaliot,مرجليوت,Маргалиот
31,מרגליות,14.11.2024,10:09:22,2024-11-14T10:09:00,1,ירי רקטות וטילים,1,50731,מרגליות,Margaliot,مرجليوت,Маргалиот
