,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,מרכז אזורי דרום השרון,24.11.2024,18:31:06,2024-11-24T18:31:00,1,ירי רקטות וטילים,1,52417,מרכז אזורי דרום השרון,Southern Sharon Regional Council,المجلس الإقليمي دروم هشارون,Местный совет Дром Ха Шарон
1,מרכז אזורי דרום השרון,24.11.2024,12:53:42,2024-11-24T12:54:00,1,ירי רקטות וטילים,1,52153,מרכז אזורי דרום השרון,Southern Sharon Regional Council,المجلس الإقليمي دروم هشارون,Местный совет Дром Ха Шарон
2,מרכז אזורי דרום השרון,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51326,מרכז אזורי דרום השרון,Southern Sharon Regional Council,المجلس الإقليمي دروم هشارون,Местный совет Дром Ха Шарон
3,מרכז אזורי דרום השרון,12.11.2024,16:35:06,2024-11-12T16:35:00,1,ירי רקטות וטילים,1,50389,מרכז אזורי דרום השרון,Southern Sharon Regional Council,المجلس الإقليمي دروم هشارون,Местный совет Дром Ха Шарон
4,מרכז אזורי דרום השרון,08.11.2024,15:18:42,2024-11-08T15:19:00,1,ירי רקטות וטילים,1,49707,מרכז אזורי דרום השרון,Southern Sharon Regional Council,المجلس الإقليمي دروم هشارون,Местный совет Дром Ха Шарон
5,מרכז אזורי דרום השרון,06.11.2024,11:21:53,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49255,מרכז אזורי דרום השרון,Southern Sharon Regional Council,المجلس الإقليمي دروم هشارون,Местный совет Дром Ха Шарон
6,מרכז אזורי דרום השרון,23.10.2024,20:33:12,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46857,מרכז אזורי דרום השרון,Southern Sharon Regional Council,المجلس الإقليمي دروم هشارون,Местный совет Дром Ха Шарон
7,מרכז אזורי דרום השרון,14.10.2024,17:33:13,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44402,מרכז אזורי דרום השרון,Southern Sharon Regional Council,المجلس الإقليمي دروم هشارون,Местный совет Дром Ха Шарон
8,מרכז אזורי דרום השרון,07.10.2024,23:13:22,2024-10-07T23:13:00,1,ירי רקטות וטילים,1,42936,מרכז אזורי דרום השרון,Southern Sharon Regional Council,المجلس الإقليمي دروم هشارون,Местный совет Дром Ха Шарон
9,מרכז אזורי דרום השרון,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42845,מרכז אזורי דרום השרון,Southern Sharon Regional Council,المجلس الإقليمي دروم هشارون,Местный совет Дром Ха Шарон
10,מרכז אזורי דרום השרון,01.10.2024,18:37:32,2024-10-01T18:38:00,1,ירי רקטות וטילים,1,39649,מרכז אזורי דרום השרון,Southern Sharon Regional Council,المجلس الإقليمي دروم هشارون,Местный совет Дром Ха Шарон
11,מרכז אזורי דרום השרון,01.10.2024,11:03:35,2024-10-01T11:04:00,1,ירי רקטות וטילים,1,39437,מרכז אזורי דרום השרון,Southern Sharon Regional Council,المجلس الإقليمي دروم هشارون,Местный совет Дром Ха Шарон
12,מרכז אזורי דרום השרון,20.11.2023,18:03:48,2023-11-20T18:04:00,1,ירי רקטות וטילים,1,25461,מרכז אזורי דרום השרון,Southern Sharon Regional Council,المجلس الإقليمي دروم هشارون,Местный совет Дром Ха Шарон
13,מרכז אזורי דרום השרון,05.11.2023,20:01:21,2023-11-05T20:01:00,1,ירי רקטות וטילים,1,24561,מרכז אזורי דרום השרון,Southern Sharon Regional Council,المجلس الإقليمي دروم هشارون,Местный совет Дром Ха Шарон
14,מרכז אזורי דרום השרון,31.10.2023,14:37:54,2023-10-31T14:38:00,1,ירי רקטות וטילים,1,24160,מרכז אזורי דרום השרון,Southern Sharon Regional Council,المجلس الإقليمي دروم هشارون,Местный совет Дром Ха Шарон
15,מרכז אזורי דרום השרון,26.10.2023,13:31:33,2023-10-26T13:32:00,1,ירי רקטות וטילים,1,23540,מרכז אזורי דרום השרון,Southern Sharon Regional Council,المجلس الإقليمي دروم هشارون,Местный совет Дром Ха Шарон
16,מרכז אזורי דרום השרון,24.10.2023,17:01:11,2023-10-24T17:01:00,1,ירי רקטות וטילים,1,23377,מרכז אזורי דרום השרון,Southern Sharon Regional Council,المجلس الإقليمي دروم هشارون,Местный совет Дром Ха Шарон
17,מרכז אזורי דרום השרון,14.10.2023,21:01:01,2023-10-14T21:01:00,1,ירי רקטות וטילים,1,22259,מרכז אזורי דרום השרון,Southern Sharon Regional Council,المجلس الإقليمي دروم هشارون,Местный совет Дром Ха Шарон
