,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,מרכז אזורי מרום גליל,24.11.2024,14:24:14,2024-11-24T14:24:00,1,ירי רקטות וטילים,1,52244,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
1,מרכז אזורי מרום גליל,19.11.2024,10:58:34,2024-11-19T10:59:00,2,חדירת כלי טיס עוין,6,51465,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
2,מרכז אזורי מרום גליל,14.11.2024,06:58:38,2024-11-14T06:59:00,1,ירי רקטות וטילים,1,50722,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
3,מרכז אזורי מרום גליל,06.11.2024,14:55:23,2024-11-06T14:55:00,1,ירי רקטות וטילים,1,49335,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
4,מרכז אזורי מרום גליל,02.11.2024,12:37:42,2024-11-02T12:38:00,1,ירי רקטות וטילים,1,48652,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
5,מרכז אזורי מרום גליל,30.10.2024,15:01:00,2024-10-30T15:01:00,1,ירי רקטות וטילים,1,48109,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
6,מרכז אזורי מרום גליל,30.10.2024,15:00:13,2024-10-30T15:00:00,1,ירי רקטות וטילים,1,48099,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
7,מרכז אזורי מרום גליל,19.10.2024,23:58:56,2024-10-19T23:59:00,1,ירי רקטות וטילים,1,45534,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
8,מרכז אזורי מרום גליל,18.10.2024,22:31:03,2024-10-18T22:31:00,1,ירי רקטות וטילים,1,45296,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
9,מרכז אזורי מרום גליל,17.10.2024,03:28:33,2024-10-17T03:29:00,1,ירי רקטות וטילים,1,45006,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
10,מרכז אזורי מרום גליל,16.10.2024,21:15:38,2024-10-16T21:16:00,1,ירי רקטות וטילים,1,44898,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
11,מרכז אזורי מרום גליל,14.10.2024,18:24:22,2024-10-14T18:24:00,1,ירי רקטות וטילים,1,44588,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
12,מרכז אזורי מרום גליל,11.10.2024,16:31:54,2024-10-11T16:32:00,1,ירי רקטות וטילים,1,43581,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
13,מרכז אזורי מרום גליל,09.10.2024,16:45:33,2024-10-09T16:46:00,1,ירי רקטות וטילים,1,43324,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
14,מרכז אזורי מרום גליל,08.10.2024,07:57:50,2024-10-08T07:58:00,1,ירי רקטות וטילים,1,43009,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
15,מרכז אזורי מרום גליל,08.10.2024,04:50:45,2024-10-08T04:51:00,1,ירי רקטות וטילים,1,42995,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
16,מרכז אזורי מרום גליל,05.10.2024,18:48:23,2024-10-05T18:48:00,1,ירי רקטות וטילים,1,42260,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
17,מרכז אזורי מרום גליל,02.10.2024,13:02:18,2024-10-02T13:02:00,1,ירי רקטות וטילים,1,41585,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
18,מרכז אזורי מרום גליל,01.10.2024,01:48:12,2024-10-01T01:48:00,1,ירי רקטות וטילים,1,39385,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
19,מרכז אזורי מרום גליל,28.09.2024,09:36:21,2024-09-28T09:36:00,1,ירי רקטות וטילים,1,38659,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
20,מרכז אזורי מרום גליל,28.09.2024,08:01:08,2024-09-28T08:01:00,1,ירי רקטות וטילים,1,38338,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
21,מרכז אזורי מרום גליל,27.09.2024,22:03:39,2024-09-27T22:04:00,1,ירי רקטות וטילים,1,38152,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
22,מרכז אזורי מרום גליל,26.09.2024,16:07:22,2024-09-26T16:07:00,1,ירי רקטות וטילים,1,37931,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
23,מרכז אזורי מרום גליל,21.09.2024,20:46:27,2024-09-21T20:46:00,2,חדירת כלי טיס עוין,6,36551,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
24,מרכז אזורי מרום גליל,20.09.2024,17:07:50,2024-09-20T17:08:00,1,ירי רקטות וטילים,1,36476,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
25,מרכז אזורי מרום גליל,20.09.2024,13:02:45,2024-09-20T13:03:00,1,ירי רקטות וטילים,1,36437,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
26,מרכז אזורי מרום גליל,27.08.2024,15:14:57,2024-08-27T15:15:00,1,ירי רקטות וטילים,1,35603,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
27,מרכז אזורי מרום גליל,10.08.2024,19:43:53,2024-08-10T19:44:00,2,חדירת כלי טיס עוין,6,34936,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
28,מרכז אזורי מרום גליל,23.07.2024,14:32:16,2024-07-23T14:32:00,2,חדירת כלי טיס עוין,6,34358,מרכז אזורי מרום גליל,Merom Hagalil Regional Council,المجلس الإقليمي ماروم هجليل,Метный совет Маром Галиль
