,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,מרכז אזורי משגב,24.11.2024,18:09:22,2024-11-24T18:09:00,1,ירי רקטות וטילים,1,52343,מרכז אזורי משגב,Misgav Regional Center,المركز الاقليمي مسجاف,Районный центр Мисгав
1,מרכז אזורי משגב,19.11.2024,09:50:20,2024-11-19T09:50:00,1,ירי רקטות וטילים,1,51399,מרכז אזורי משגב,Misgav Regional Center,المركز الاقليمي مسجاف,Районный центр Мисгав
2,מרכז אזורי משגב,11.11.2024,12:08:06,2024-11-11T12:08:00,1,ירי רקטות וטילים,1,50047,מרכז אזורי משגב,Misgav Regional Center,المركز الاقليمي مسجاف,Районный центр Мисгав
3,מרכז אזורי משגב,02.11.2024,13:57:32,2024-11-02T13:58:00,1,ירי רקטות וטילים,1,48680,מרכז אזורי משגב,Misgav Regional Center,المركز الاقليمي مسجاف,Районный центр Мисгав
4,מרכז אזורי משגב,01.11.2024,13:35:56,2024-11-01T13:36:00,1,ירי רקטות וטילים,1,48410,מרכז אזורי משגב,Misgav Regional Center,المركز الاقليمي مسجاف,Районный центр Мисгав
5,מרכז אזורי משגב,21.10.2024,12:28:43,2024-10-21T12:29:00,1,ירי רקטות וטילים,1,46004,מרכז אזורי משגב,Misgav Regional Center,المركز الاقليمي مسجاف,Районный центр Мисгав
6,מרכז אזורי משגב,17.10.2024,03:28:33,2024-10-17T03:29:00,1,ירי רקטות וטילים,1,45032,מרכז אזורי משגב,Misgav Regional Center,المركز الاقليمي مسجاف,Районный центр Мисгав
7,מרכז אזורי משגב,14.10.2024,14:33:01,2024-10-14T14:33:00,1,ירי רקטות וטילים,1,44292,מרכז אזורי משגב,Misgav Regional Center,المركز الاقليمي مسجاف,Районный центр Мисгав
8,מרכז אזורי משגב,13.10.2024,14:01:54,2024-10-13T14:02:00,1,ירי רקטות וטילים,1,44012,מרכז אזורי משגב,Misgav Regional Center,المركز الاقليمي مسجاف,Районный центр Мисгав
9,מרכז אזורי משגב,11.10.2024,17:22:19,2024-10-11T17:22:00,1,ירי רקטות וטילים,1,43649,מרכז אזורי משגב,Misgav Regional Center,المركز الاقليمي مسجاف,Районный центр Мисгав
10,מרכז אזורי משגב,11.10.2024,16:31:01,2024-10-11T16:31:00,1,ירי רקטות וטילים,1,43554,מרכז אזורי משגב,Misgav Regional Center,المركز الاقليمي مسجاف,Районный центр Мисгав
11,מרכז אזורי משגב,05.10.2024,16:44:43,2024-10-05T16:45:00,1,ירי רקטות וטילים,1,42232,מרכז אזורי משגב,Misgav Regional Center,المركز الاقليمي مسجاف,Районный центр Мисгав
12,מרכז אזורי משגב,05.10.2024,14:09:41,2024-10-05T14:10:00,1,ירי רקטות וטילים,1,42184,מרכז אזורי משגב,Misgav Regional Center,المركز الاقليمي مسجاف,Районный центр Мисгав
13,מרכז אזורי משגב,04.10.2024,13:00:13,2024-10-04T13:00:00,1,ירי רקטות וטילים,1,41999,מרכז אזורי משגב,Misgav Regional Center,المركز الاقليمي مسجاف,Районный центр Мисгав
14,מרכז אזורי משגב,03.10.2024,16:32:07,2024-10-03T16:32:00,1,ירי רקטות וטילים,1,41811,מרכז אזורי משגב,Misgav Regional Center,المركز الاقليمي مسجاف,Районный центр Мисгав
15,מרכז אזורי משגב,28.09.2024,10:42:27,2024-09-28T10:42:00,1,ירי רקטות וטילים,1,38723,מרכז אזורי משגב,Misgav Regional Center,المركز الاقليمي مسجاف,Районный центр Мисгав
16,מרכז אזורי משגב,28.09.2024,09:35:21,2024-09-28T09:35:00,1,ירי רקטות וטילים,1,38575,מרכז אזורי משגב,Misgav Regional Center,المركز الاقليمي مسجاف,Районный центр Мисгав
17,מרכז אזורי משגב,28.09.2024,07:59:03,2024-09-28T07:59:00,1,ירי רקטות וטילים,1,38238,מרכז אזורי משגב,Misgav Regional Center,المركز الاقليمي مسجاف,Районный центр Мисгав
18,מרכז אזורי משגב,24.09.2024,15:12:32,2024-09-24T15:13:00,1,ירי רקטות וטילים,1,37600,מרכז אזורי משגב,Misgav Regional Center,المركز الاقليمي مسجاف,Районный центр Мисгав
19,מרכז אזורי משגב,23.06.2024,11:25:42,2024-06-23T11:26:00,1,ירי רקטות וטילים,1,33289,מרכז אזורי משגב,Misgav Regional Center,المركز الاقليمي مسجاف,Районный центр Мисгав
20,מרכז אזורי משגב,13.10.2023,15:02:31,2023-10-13T15:03:00,1,ירי רקטות וטילים,1,21975,מרכז אזורי משגב,Misgav Regional Center,المركز الاقليمي مسجاف,Районный центр Мисгав
