,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,משגב עם,24.11.2024,18:41:50,2024-11-24T18:42:00,1,ירי רקטות וטילים,1,52418,משגב עם,Misgav Am,مسجاف عام,Мисгав Ам
1,משגב עם,23.11.2024,00:06:45,2024-11-23T00:07:00,1,ירי רקטות וטילים,1,51865,משגב עם,Misgav Am,مسجاف عام,Мисгав Ам
2,משגב עם,20.11.2024,00:37:20,2024-11-20T00:37:00,1,ירי רקטות וטילים,1,51524,משגב עם,Misgav Am,مسجاف عام,Мисгав Ам
3,משגב עם,18.11.2024,21:46:33,2024-11-18T21:47:00,1,ירי רקטות וטילים,1,51333,משגב עם,Misgav Am,مسجاف عام,Мисгав Ам
4,משגב עם,18.11.2024,13:27:52,2024-11-18T13:28:00,1,ירי רקטות וטילים,1,51169,משגב עם,Misgav Am,مسجاف عام,Мисгав Ам
5,משגב עם,16.11.2024,21:58:05,2024-11-16T21:58:00,1,ירי רקטות וטילים,1,51064,משגב עם,Misgav Am,مسجاف عام,Мисгав Ам
6,משגב עם,16.11.2024,20:45:47,2024-11-16T20:46:00,1,ירי רקטות וטילים,1,51061,משגב עם,Misgav Am,مسجاف عام,Мисгав Ам
7,משגב עם,16.11.2024,20:20:19,2024-11-16T20:20:00,1,ירי רקטות וטילים,1,51055,משגב עם,Misgav Am,مسجاف عام,Мисгав Ам
8,משגב עם,16.11.2024,12:47:02,2024-11-16T12:47:00,1,ירי רקטות וטילים,1,51004,משגב עם,Misgav Am,مسجاف عام,Мисгав Ам
9,משגב עם,15.11.2024,22:53:51,2024-11-15T22:54:00,1,ירי רקטות וטילים,1,50936,משגב עם,Misgav Am,مسجاف عام,Мисгав Ам
10,משגב עם,15.11.2024,10:31:06,2024-11-15T10:31:00,1,ירי רקטות וטילים,1,50907,משגב עם,Misgav Am,مسجاف عام,Мисгав Ам
11,משגב עם,15.11.2024,06:58:38,2024-11-15T06:59:00,1,ירי רקטות וטילים,1,50889,משגב עם,Misgav Am,مسجاف عام,Мисгав Ам
12,משגב עם,14.11.2024,22:02:23,2024-11-14T22:02:00,1,ירי רקטות וטילים,1,50841,משגב עם,Misgav Am,مسجاف عام,Мисгав Ам
13,משגב עם,14.11.2024,14:45:19,2024-11-14T14:45:00,1,ירי רקטות וטילים,1,50749,משגב עם,Misgav Am,مسجاف عام,Мисгав Ам
