,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,מתן,24.11.2024,18:31:06,2024-11-24T18:31:00,1,ירי רקטות וטילים,1,52403,מתן,Matan,متان,Матан
1,מתן,24.11.2024,12:53:34,2024-11-24T12:54:00,1,ירי רקטות וטילים,1,52147,מתן,Matan,متان,Матан
2,מתן,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51273,מתן,Matan,متان,Матан
3,מתן,08.11.2024,15:19:59,2024-11-08T15:20:00,1,ירי רקטות וטילים,1,49744,מתן,Matan,متان,Матан
4,מתן,06.11.2024,11:21:53,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49245,מתן,Matan,متان,Матан
5,מתן,02.11.2024,02:17:36,2024-11-02T02:18:00,1,ירי רקטות וטילים,1,48465,מתן,Matan,متان,Матан
6,מתן,23.10.2024,20:33:22,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46862,מתן,Matan,متان,Матан
7,מתן,14.10.2024,17:33:13,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44370,מתן,Matan,متان,Матан
8,מתן,07.10.2024,23:13:22,2024-10-07T23:13:00,1,ירי רקטות וטילים,1,42924,מתן,Matan,متان,Матан
9,מתן,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42817,מתן,Matan,متان,Матан
10,מתן,01.10.2024,18:37:32,2024-10-01T18:38:00,1,ירי רקטות וטילים,1,39626,מתן,Matan,متان,Матан
11,מתן,01.10.2024,11:03:35,2024-10-01T11:04:00,1,ירי רקטות וטילים,1,39427,מתן,Matan,متان,Матан
12,מתן,28.10.2023,18:10:41,2023-10-28T18:11:00,1,ירי רקטות וטילים,1,23830,מתן,Matan,متان,Матан
13,מתן,14.10.2023,21:01:04,2023-10-14T21:01:00,1,ירי רקטות וטילים,1,22264,מתן,Matan,متان,Матан
