,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,נאות מרדכי,24.11.2024,13:45:38,2024-11-24T13:46:00,1,ירי רקטות וטילים,1,52228,נאות מרדכי,Neot Mordechai,نؤوت مردخاي,Неот Мордехай
1,נאות מרדכי,24.11.2024,13:44:57,2024-11-24T13:45:00,1,ירי רקטות וטילים,1,52224,נאות מרדכי,Neot Mordechai,نؤوت مردخاي,Неот Мордехай
2,נאות מרדכי,24.11.2024,10:52:15,2024-11-24T10:52:00,1,ירי רקטות וטילים,1,52083,נאות מרדכי,Neot Mordechai,نؤوت مردخاي,Неот Мордехай
3,נאות מרדכי,24.11.2024,09:59:44,2024-11-24T10:00:00,1,ירי רקטות וטילים,1,52068,נאות מרדכי,Neot Mordechai,نؤوت مردخاي,Неот Мордехай
4,נאות מרדכי,24.11.2024,09:59:02,2024-11-24T09:59:00,1,ירי רקטות וטילים,1,52064,נאות מרדכי,Neot Mordechai,نؤوت مردخاي,Неот Мордехай
5,נאות מרדכי,14.11.2024,22:02:23,2024-11-14T22:02:00,1,ירי רקטות וטילים,1,50845,נאות מרדכי,Neot Mordechai,نؤوت مردخاي,Неот Мордехай
6,נאות מרדכי,12.11.2024,07:02:08,2024-11-12T07:02:00,1,ירי רקטות וטילים,1,50242,נאות מרדכי,Neot Mordechai,نؤوت مردخاي,Неот Мордехай
7,נאות מרדכי,10.11.2024,23:42:14,2024-11-10T23:42:00,2,חדירת כלי טיס עוין,6,49935,נאות מרדכי,Neot Mordechai,نؤوت مردخاي,Неот Мордехай
8,נאות מרדכי,01.11.2024,06:33:29,2024-11-01T06:33:00,1,ירי רקטות וטילים,1,48383,נאות מרדכי,Neot Mordechai,نؤوت مردخاي,Неот Мордехай
9,נאות מרדכי,01.11.2024,02:08:48,2024-11-01T02:09:00,1,ירי רקטות וטילים,1,48380,נאות מרדכי,Neot Mordechai,نؤوت مردخاي,Неот Мордехай
10,נאות מרדכי,24.10.2024,18:20:18,2024-10-24T18:20:00,2,חדירת כלי טיס עוין,6,47038,נאות מרדכי,Neot Mordechai,نؤوت مردخاي,Неот Мордехай
