,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,נהריה,24.11.2024,16:32:05,2024-11-24T16:32:00,1,ירי רקטות וטילים,1,52318,נהריה,Nahariya,نهاريا,Нагария
1,נהריה,24.11.2024,16:27:56,2024-11-24T16:28:00,1,ירי רקטות וטילים,1,52307,נהריה,Nahariya,نهاريا,Нагария
2,נהריה,24.11.2024,13:04:08,2024-11-24T13:04:00,1,ירי רקטות וטילים,1,52198,נהריה,Nahariya,نهاريا,Нагария
3,נהריה,24.11.2024,13:03:16,2024-11-24T13:03:00,1,ירי רקטות וטילים,1,52180,נהריה,Nahariya,نهاريا,Нагария
4,נהריה,24.11.2024,13:01:06,2024-11-24T13:01:00,1,ירי רקטות וטילים,1,52175,נהריה,Nahariya,نهاريا,Нагария
5,נהריה,24.11.2024,13:00:26,2024-11-24T13:00:00,1,ירי רקטות וטילים,1,52161,נהריה,Nahariya,نهاريا,Нагария
6,נהריה,23.11.2024,18:40:26,2024-11-23T18:40:00,2,חדירת כלי טיס עוין,6,51915,נהריה,Nahariya,نهاريا,Нагария
7,נהריה,22.11.2024,21:34:40,2024-11-22T21:35:00,2,חדירת כלי טיס עוין,6,51856,נהריה,Nahariya,نهاريا,Нагария
8,נהריה,22.11.2024,21:09:54,2024-11-22T21:10:00,2,חדירת כלי טיס עוין,6,51823,נהריה,Nahariya,نهاريا,Нагария
9,נהריה,22.11.2024,21:08:04,2024-11-22T21:08:00,2,חדירת כלי טיס עוין,6,51814,נהריה,Nahariya,نهاريا,Нагария
10,נהריה,22.11.2024,21:07:02,2024-11-22T21:07:00,2,חדירת כלי טיס עוין,6,51810,נהריה,Nahariya,نهاريا,Нагария
11,נהריה,22.11.2024,21:06:02,2024-11-22T21:06:00,2,חדירת כלי טיס עוין,6,51808,נהריה,Nahariya,نهاريا,Нагария
12,נהריה,22.11.2024,16:31:36,2024-11-22T16:32:00,1,ירי רקטות וטילים,1,51756,נהריה,Nahariya,نهاريا,Нагария
13,נהריה,22.11.2024,16:30:46,2024-11-22T16:31:00,1,ירי רקטות וטילים,1,51750,נהריה,Nahariya,نهاريا,Нагария
14,נהריה,21.11.2024,13:49:26,2024-11-21T13:49:00,1,ירי רקטות וטילים,1,51675,נהריה,Nahariya,نهاريا,Нагария
15,נהריה,21.11.2024,13:48:46,2024-11-21T13:49:00,1,ירי רקטות וטילים,1,51671,נהריה,Nahariya,نهاريا,Нагария
16,נהריה,21.11.2024,11:47:25,2024-11-21T11:47:00,1,ירי רקטות וטילים,1,51664,נהריה,Nahariya,نهاريا,Нагария
17,נהריה,21.11.2024,11:46:43,2024-11-21T11:47:00,1,ירי רקטות וטילים,1,51659,נהריה,Nahariya,نهاريا,Нагария
18,נהריה,21.11.2024,06:36:05,2024-11-21T06:36:00,2,חדירת כלי טיס עוין,6,51647,נהריה,Nahariya,نهاريا,Нагария
19,נהריה,21.11.2024,06:31:43,2024-11-21T06:32:00,2,חדירת כלי טיס עוין,6,51637,נהריה,Nahariya,نهاريا,Нагария
20,נהריה,21.11.2024,06:28:16,2024-11-21T06:28:00,2,חדירת כלי טיס עוין,6,51631,נהריה,Nahariya,نهاريا,Нагария
21,נהריה,20.11.2024,16:50:17,2024-11-20T16:50:00,1,ירי רקטות וטילים,1,51615,נהריה,Nahariya,نهاريا,Нагария
22,נהריה,20.11.2024,16:43:01,2024-11-20T16:43:00,1,ירי רקטות וטילים,1,51609,נהריה,Nahariya,نهاريا,Нагария
23,נהריה,20.11.2024,16:19:34,2024-11-20T16:20:00,1,ירי רקטות וטילים,1,51601,נהריה,Nahariya,نهاريا,Нагария
24,נהריה,20.11.2024,06:30:36,2024-11-20T06:31:00,2,חדירת כלי טיס עוין,6,51542,נהריה,Nahariya,نهاريا,Нагария
25,נהריה,20.11.2024,06:29:34,2024-11-20T06:30:00,2,חדירת כלי טיס עוין,6,51537,נהריה,Nahariya,نهاريا,Нагария
26,נהריה,20.11.2024,06:28:32,2024-11-20T06:29:00,2,חדירת כלי טיס עוין,6,51534,נהריה,Nahariya,نهاريا,Нагария
27,נהריה,18.11.2024,16:56:06,2024-11-18T16:56:00,2,חדירת כלי טיס עוין,6,51185,נהריה,Nahariya,نهاريا,Нагария
28,נהריה,18.11.2024,11:06:06,2024-11-18T11:06:00,1,ירי רקטות וטילים,1,51149,נהריה,Nahariya,نهاريا,Нагария
29,נהריה,18.11.2024,11:05:20,2024-11-18T11:05:00,1,ירי רקטות וטילים,1,51137,נהריה,Nahariya,نهاريا,Нагария
30,נהריה,18.11.2024,11:04:39,2024-11-18T11:05:00,1,ירי רקטות וטילים,1,51130,נהריה,Nahariya,نهاريا,Нагария
31,נהריה,16.11.2024,10:00:36,2024-11-16T10:01:00,1,ירי רקטות וטילים,1,50977,נהריה,Nahariya,نهاريا,Нагария
32,נהריה,16.11.2024,08:20:30,2024-11-16T08:21:00,2,חדירת כלי טיס עוין,6,50963,נהריה,Nahariya,نهاريا,Нагария
33,נהריה,16.11.2024,08:19:28,2024-11-16T08:19:00,2,חדירת כלי טיס עוין,6,50961,נהריה,Nahariya,نهاريا,Нагария
34,נהריה,16.11.2024,08:18:28,2024-11-16T08:18:00,2,חדירת כלי טיס עוין,6,50955,נהריה,Nahariya,نهاريا,Нагария
35,נהריה,16.11.2024,07:05:36,2024-11-16T07:06:00,2,חדירת כלי טיס עוין,6,50941,נהריה,Nahariya,نهاريا,Нагария
36,נהריה,15.11.2024,00:18:44,2024-11-15T00:19:00,1,ירי רקטות וטילים,1,50861,נהריה,Nahariya,نهاريا,Нагария
37,נהריה,14.11.2024,18:45:08,2024-11-14T18:45:00,2,חדירת כלי טיס עוין,6,50779,נהריה,Nahariya,نهاريا,Нагария
38,נהריה,14.11.2024,18:44:07,2024-11-14T18:44:00,2,חדירת כלי טיס עוין,6,50776,נהריה,Nahariya,نهاريا,Нагария
39,נהריה,14.11.2024,18:42:00,2024-11-14T18:42:00,2,חדירת כלי טיס עוין,6,50772,נהריה,Nahariya,نهاريا,Нагария
40,נהריה,13.11.2024,15:02:06,2024-11-13T15:02:00,2,חדירת כלי טיס עוין,6,50542,נהריה,Nahariya,نهاريا,Нагария
41,נהריה,13.11.2024,14:51:11,2024-11-13T14:51:00,2,חדירת כלי טיס עוין,6,50514,נהריה,Nahariya,نهاريا,Нагария
42,נהריה,13.11.2024,14:50:00,2024-11-13T14:50:00,2,חדירת כלי טיס עוין,6,50512,נהריה,Nahariya,نهاريا,Нагария
43,נהריה,13.11.2024,14:48:11,2024-11-13T14:48:00,2,חדירת כלי טיס עוין,6,50504,נהריה,Nahariya,نهاريا,Нагария
44,נהריה,12.11.2024,23:35:31,2024-11-12T23:36:00,2,חדירת כלי טיס עוין,6,50445,נהריה,Nahariya,نهاريا,Нагария
45,נהריה,12.11.2024,16:30:21,2024-11-12T16:30:00,1,ירי רקטות וטילים,1,50347,נהריה,Nahariya,نهاريا,Нагария
46,נהריה,12.11.2024,16:29:37,2024-11-12T16:30:00,1,ירי רקטות וטילים,1,50336,נהריה,Nahariya,نهاريا,Нагария
47,נהריה,12.11.2024,14:19:34,2024-11-12T14:20:00,2,חדירת כלי טיס עוין,6,50315,נהריה,Nahariya,نهاريا,Нагария
48,נהריה,12.11.2024,13:54:51,2024-11-12T13:55:00,2,חדירת כלי טיס עוין,6,50309,נהריה,Nahariya,نهاريا,Нагария
49,נהריה,12.11.2024,13:53:46,2024-11-12T13:54:00,2,חדירת כלי טיס עוין,6,50307,נהריה,Nahariya,نهاريا,Нагария
50,נהריה,12.11.2024,09:24:38,2024-11-12T09:25:00,2,חדירת כלי טיס עוין,6,50265,נהריה,Nahariya,نهاريا,Нагария
51,נהריה,12.11.2024,09:21:23,2024-11-12T09:21:00,2,חדירת כלי טיס עוין,6,50257,נהריה,Nahariya,نهاريا,Нагария
52,נהריה,11.11.2024,15:40:41,2024-11-11T15:41:00,1,ירי רקטות וטילים,1,50121,נהריה,Nahariya,نهاريا,Нагария
53,נהריה,10.11.2024,11:07:39,2024-11-10T11:08:00,1,ירי רקטות וטילים,1,49899,נהריה,Nahariya,نهاريا,Нагария
54,נהריה,09.11.2024,12:42:24,2024-11-09T12:42:00,1,ירי רקטות וטילים,1,49833,נהריה,Nahariya,نهاريا,Нагария
55,נהריה,08.11.2024,15:36:13,2024-11-08T15:36:00,1,ירי רקטות וטילים,1,49756,נהריה,Nahariya,نهاريا,Нагария
56,נהריה,08.11.2024,15:33:59,2024-11-08T15:34:00,2,חדירת כלי טיס עוין,6,49754,נהריה,Nahariya,نهاريا,Нагария
57,נהריה,08.11.2024,15:32:07,2024-11-08T15:32:00,2,חדירת כלי טיס עוין,6,49753,נהריה,Nahariya,نهاريا,Нагария
58,נהריה,08.11.2024,14:56:01,2024-11-08T14:56:00,1,ירי רקטות וטילים,1,49689,נהריה,Nahariya,نهاريا,Нагария
59,נהריה,08.11.2024,06:45:45,2024-11-08T06:46:00,1,ירי רקטות וטילים,1,49616,נהריה,Nahariya,نهاريا,Нагария
60,נהריה,08.11.2024,06:44:00,2024-11-08T06:44:00,1,ירי רקטות וטילים,1,49586,נהריה,Nahariya,نهاريا,Нагария
61,נהריה,07.11.2024,18:06:34,2024-11-07T18:07:00,2,חדירת כלי טיס עוין,6,49564,נהריה,Nahariya,نهاريا,Нагария
62,נהריה,07.11.2024,13:46:49,2024-11-07T13:47:00,1,ירי רקטות וטילים,1,49460,נהריה,Nahariya,نهاريا,Нагария
63,נהריה,06.11.2024,18:19:59,2024-11-06T18:20:00,2,חדירת כלי טיס עוין,6,49435,נהריה,Nahariya,نهاريا,Нагария
64,נהריה,06.11.2024,11:21:45,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49181,נהריה,Nahariya,نهاريا,Нагария
65,נהריה,05.11.2024,17:19:30,2024-11-05T17:20:00,1,ירי רקטות וטילים,1,49112,נהריה,Nahariya,نهاريا,Нагария
66,נהריה,05.11.2024,17:18:45,2024-11-05T17:19:00,1,ירי רקטות וטילים,1,49092,נהריה,Nahariya,نهاريا,Нагария
67,נהריה,04.11.2024,17:14:25,2024-11-04T17:14:00,2,חדירת כלי טיס עוין,6,49002,נהריה,Nahariya,نهاريا,Нагария
68,נהריה,04.11.2024,11:01:57,2024-11-04T11:02:00,1,ירי רקטות וטילים,1,48993,נהריה,Nahariya,نهاريا,Нагария
69,נהריה,04.11.2024,11:00:10,2024-11-04T11:00:00,1,ירי רקטות וטילים,1,48978,נהריה,Nahariya,نهاريا,Нагария
70,נהריה,04.11.2024,10:58:55,2024-11-04T10:59:00,1,ירי רקטות וטילים,1,48972,נהריה,Nahariya,نهاريا,Нагария
71,נהריה,03.11.2024,17:23:15,2024-11-03T17:23:00,2,חדירת כלי טיס עוין,6,48892,נהריה,Nahariya,نهاريا,Нагария
72,נהריה,03.11.2024,17:21:15,2024-11-03T17:21:00,2,חדירת כלי טיס עוין,6,48889,נהריה,Nahariya,نهاريا,Нагария
73,נהריה,03.11.2024,11:11:29,2024-11-03T11:11:00,1,ירי רקטות וטילים,1,48849,נהריה,Nahariya,نهاريا,Нагария
74,נהריה,02.11.2024,16:20:16,2024-11-02T16:20:00,2,חדירת כלי טיס עוין,6,48753,נהריה,Nahariya,نهاريا,Нагария
75,נהריה,02.11.2024,16:18:23,2024-11-02T16:18:00,2,חדירת כלי טיס עוין,6,48750,נהריה,Nahariya,نهاريا,Нагария
76,נהריה,02.11.2024,15:55:00,2024-11-02T15:55:00,1,ירי רקטות וטילים,1,48743,נהריה,Nahariya,نهاريا,Нагария
77,נהריה,02.11.2024,15:54:20,2024-11-02T15:54:00,1,ירי רקטות וטילים,1,48725,נהריה,Nahariya,نهاريا,Нагария
78,נהריה,02.11.2024,15:53:40,2024-11-02T15:54:00,1,ירי רקטות וטילים,1,48710,נהריה,Nahariya,نهاريا,Нагария
79,נהריה,02.11.2024,12:45:36,2024-11-02T12:46:00,1,ירי רקטות וטילים,1,48660,נהריה,Nahariya,نهاريا,Нагария
80,נהריה,02.11.2024,11:05:37,2024-11-02T11:06:00,1,ירי רקטות וטילים,1,48625,נהריה,Nahariya,نهاريا,Нагария
81,נהריה,02.11.2024,08:08:39,2024-11-02T08:09:00,2,חדירת כלי טיס עוין,6,48518,נהריה,Nahariya,نهاريا,Нагария
