,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,נווה זיו,24.11.2024,13:04:10,2024-11-24T13:04:00,1,ירי רקטות וטילים,1,52205,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
1,נווה זיו,22.11.2024,16:47:31,2024-11-22T16:48:00,1,ירי רקטות וטילים,1,51787,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
2,נווה זיו,18.11.2024,19:10:26,2024-11-18T19:10:00,1,ירי רקטות וטילים,1,51212,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
3,נווה זיו,16.11.2024,10:46:58,2024-11-16T10:47:00,1,ירי רקטות וטילים,1,50987,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
4,נווה זיו,15.11.2024,00:18:27,2024-11-15T00:18:00,1,ירי רקטות וטילים,1,50858,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
5,נווה זיו,13.11.2024,13:08:54,2024-11-13T13:09:00,1,ירי רקטות וטילים,1,50498,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
6,נווה זיו,12.11.2024,16:35:49,2024-11-12T16:36:00,1,ירי רקטות וטילים,1,50401,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
7,נווה זיו,12.11.2024,16:35:00,2024-11-12T16:35:00,1,ירי רקטות וטילים,1,50359,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
8,נווה זיו,11.11.2024,18:16:44,2024-11-11T18:17:00,2,חדירת כלי טיס עוין,6,50233,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
9,נווה זיו,09.11.2024,13:57:14,2024-11-09T13:57:00,1,ירי רקטות וטילים,1,49852,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
10,נווה זיו,08.11.2024,14:56:23,2024-11-08T14:56:00,1,ירי רקטות וטילים,1,49693,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
11,נווה זיו,08.11.2024,06:45:39,2024-11-08T06:46:00,1,ירי רקטות וטילים,1,49614,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
12,נווה זיו,08.11.2024,06:43:59,2024-11-08T06:44:00,1,ירי רקטות וטילים,1,49588,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
13,נווה זיו,06.11.2024,16:07:17,2024-11-06T16:07:00,1,ירי רקטות וטילים,1,49357,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
14,נווה זיו,05.11.2024,17:19:38,2024-11-05T17:20:00,1,ירי רקטות וטילים,1,49122,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
15,נווה זיו,05.11.2024,17:18:51,2024-11-05T17:19:00,1,ירי רקטות וטילים,1,49098,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
16,נווה זיו,28.10.2024,14:34:47,2024-10-28T14:35:00,1,ירי רקטות וטילים,1,47519,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
17,נווה זיו,26.10.2024,12:24:23,2024-10-26T12:24:00,1,ירי רקטות וטילים,1,47222,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
18,נווה זיו,25.10.2024,17:31:28,2024-10-25T17:31:00,1,ירי רקטות וטילים,1,47149,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
19,נווה זיו,24.10.2024,09:52:50,2024-10-24T09:53:00,1,ירי רקטות וטילים,1,46909,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
20,נווה זיו,22.10.2024,13:27:55,2024-10-22T13:28:00,1,ירי רקטות וטילים,1,46362,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
21,נווה זיו,13.10.2024,09:01:24,2024-10-13T09:01:00,1,ירי רקטות וטילים,1,43965,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
22,נווה זיו,11.10.2024,17:22:39,2024-10-11T17:23:00,1,ירי רקטות וטילים,1,43672,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
23,נווה זיו,07.10.2024,17:09:36,2024-10-07T17:10:00,1,ירי רקטות וטילים,1,42657,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
24,נווה זיו,07.10.2024,17:08:44,2024-10-07T17:09:00,1,ירי רקטות וטילים,1,42646,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
25,נווה זיו,07.10.2024,17:07:56,2024-10-07T17:08:00,1,ירי רקטות וטילים,1,42627,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
26,נווה זיו,07.10.2024,12:38:13,2024-10-07T12:38:00,1,ירי רקטות וטילים,1,42547,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
27,נווה זיו,06.10.2024,13:49:17,2024-10-06T13:49:00,1,ירי רקטות וטילים,1,42340,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
28,נווה זיו,02.10.2024,13:07:06,2024-10-02T13:07:00,2,חדירת כלי טיס עוין,6,41595,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
29,נווה זיו,02.10.2024,12:10:09,2024-10-02T12:10:00,2,חדירת כלי טיס עוין,6,41571,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
30,נווה זיו,02.10.2024,11:27:54,2024-10-02T11:28:00,1,ירי רקטות וטילים,1,41559,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
31,נווה זיו,02.10.2024,09:53:09,2024-10-02T09:53:00,1,ירי רקטות וטילים,1,41544,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
32,נווה זיו,01.10.2024,16:11:39,2024-10-01T16:12:00,1,ירי רקטות וטילים,1,39585,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
33,נווה זיו,30.09.2024,11:33:18,2024-09-30T11:33:00,1,ירי רקטות וטילים,1,39323,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
34,נווה זיו,29.09.2024,21:15:11,2024-09-29T21:15:00,1,ירי רקטות וטילים,1,39279,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
35,נווה זיו,29.09.2024,18:37:54,2024-09-29T18:38:00,1,ירי רקטות וטילים,1,39215,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
36,נווה זיו,29.09.2024,14:24:39,2024-09-29T14:25:00,1,ירי רקטות וטילים,1,39125,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
37,נווה זיו,28.09.2024,13:16:16,2024-09-28T13:16:00,1,ירי רקטות וטילים,1,38871,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
38,נווה זיו,28.09.2024,13:15:33,2024-09-28T13:16:00,1,ירי רקטות וטילים,1,38862,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
39,נווה זיו,28.09.2024,10:42:57,2024-09-28T10:43:00,1,ירי רקטות וטילים,1,38809,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
40,נווה זיו,28.09.2024,08:01:08,2024-09-28T08:01:00,1,ירי רקטות וטילים,1,38339,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
41,נווה זיו,22.09.2024,06:59:48,2024-09-22T07:00:00,1,ירי רקטות וטילים,1,36850,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
42,נווה זיו,18.09.2024,14:59:32,2024-09-18T15:00:00,1,ירי רקטות וטילים,1,36354,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
43,נווה זיו,10.09.2024,16:21:24,2024-09-10T16:21:00,1,ירי רקטות וטילים,1,35967,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
44,נווה זיו,05.09.2024,13:40:09,2024-09-05T13:40:00,2,חדירת כלי טיס עוין,6,35819,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
45,נווה זיו,02.09.2024,16:57:18,2024-09-02T16:57:00,1,ירי רקטות וטילים,1,35721,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
46,נווה זיו,25.08.2024,05:39:33,2024-08-25T05:40:00,1,ירי רקטות וטילים,1,35427,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
47,נווה זיו,25.08.2024,05:38:30,2024-08-25T05:39:00,1,ירי רקטות וטילים,1,35424,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
48,נווה זיו,25.08.2024,05:36:29,2024-08-25T05:36:00,2,חדירת כלי טיס עוין,6,35416,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
49,נווה זיו,25.08.2024,05:34:32,2024-08-25T05:35:00,2,חדירת כלי טיס עוין,6,35401,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
50,נווה זיו,25.08.2024,05:32:36,2024-08-25T05:33:00,2,חדירת כלי טיס עוין,6,35392,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
51,נווה זיו,25.08.2024,05:31:20,2024-08-25T05:31:00,1,ירי רקטות וטילים,1,35382,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
52,נווה זיו,25.08.2024,05:30:40,2024-08-25T05:31:00,1,ירי רקטות וטילים,1,35375,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
53,נווה זיו,20.08.2024,12:32:51,2024-08-20T12:33:00,1,ירי רקטות וטילים,1,35166,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
54,נווה זיו,12.08.2024,01:44:20,2024-08-12T01:44:00,1,ירי רקטות וטילים,1,34952,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
55,נווה זיו,25.07.2024,17:18:41,2024-07-25T17:19:00,2,חדירת כלי טיס עוין,6,34455,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
56,נווה זיו,25.07.2024,17:17:42,2024-07-25T17:18:00,2,חדירת כלי טיס עוין,6,34445,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
57,נווה זיו,25.07.2024,17:16:40,2024-07-25T17:17:00,2,חדירת כלי טיס עוין,6,34443,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
58,נווה זיו,25.07.2024,17:15:36,2024-07-25T17:16:00,2,חדירת כלי טיס עוין,6,34435,נווה זיו,Neveh Ziv,نافيه زيف,Неве Зив
