,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,נווה ימין,24.11.2024,18:31:06,2024-11-24T18:31:00,1,ירי רקטות וטילים,1,52404,נווה ימין,Neveh Yamin,نافيه يمين,Неве Ямин
1,נווה ימין,24.11.2024,12:53:34,2024-11-24T12:54:00,1,ירי רקטות וטילים,1,52144,נווה ימין,Neveh Yamin,نافيه يمين,Неве Ямин
2,נווה ימין,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51274,נווה ימין,Neveh Yamin,نافيه يمين,Неве Ямин
3,נווה ימין,08.11.2024,15:19:59,2024-11-08T15:20:00,1,ירי רקטות וטילים,1,49745,נווה ימין,Neveh Yamin,نافيه يمين,Неве Ямин
4,נווה ימין,06.11.2024,11:21:53,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49246,נווה ימין,Neveh Yamin,نافيه يمين,Неве Ямин
5,נווה ימין,02.11.2024,02:17:35,2024-11-02T02:18:00,1,ירי רקטות וטילים,1,48471,נווה ימין,Neveh Yamin,نافيه يمين,Неве Ямин
6,נווה ימין,23.10.2024,20:33:20,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46873,נווה ימין,Neveh Yamin,نافيه يمين,Неве Ямин
7,נווה ימין,14.10.2024,17:33:13,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44371,נווה ימין,Neveh Yamin,نافيه يمين,Неве Ямин
8,נווה ימין,07.10.2024,23:13:22,2024-10-07T23:13:00,1,ירי רקטות וטילים,1,42925,נווה ימין,Neveh Yamin,نافيه يمين,Неве Ямин
9,נווה ימין,07.10.2024,17:44:10,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42789,נווה ימין,Neveh Yamin,نافيه يمين,Неве Ямин
10,נווה ימין,01.10.2024,18:37:32,2024-10-01T18:38:00,1,ירי רקטות וטילים,1,39627,נווה ימין,Neveh Yamin,نافيه يمين,Неве Ямин
11,נווה ימין,01.10.2024,11:03:33,2024-10-01T11:04:00,1,ירי רקטות וטילים,1,39440,נווה ימין,Neveh Yamin,نافيه يمين,Неве Ямин
12,נווה ימין,26.05.2024,14:00:12,2024-05-26T14:00:00,1,ירי רקטות וטילים,1,31711,נווה ימין,Neveh Yamin,نافيه يمين,Неве Ямин
13,נווה ימין,31.10.2023,14:36:39,2023-10-31T14:37:00,1,ירי רקטות וטילים,1,24154,נווה ימין,Neveh Yamin,نافيه يمين,Неве Ямин
14,נווה ימין,24.10.2023,17:01:11,2023-10-24T17:01:00,1,ירי רקטות וטילים,1,23372,נווה ימין,Neveh Yamin,نافيه يمين,Неве Ямин
