,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,נווה ירק,24.11.2024,18:31:06,2024-11-24T18:31:00,1,ירי רקטות וטילים,1,52405,נווה ירק,Neveh Yarak,نافيه ييرك,Неве Ярак
1,נווה ירק,24.11.2024,12:52:23,2024-11-24T12:52:00,1,ירי רקטות וטילים,1,52114,נווה ירק,Neveh Yarak,نافيه ييرك,Неве Ярак
2,נווה ירק,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51275,נווה ירק,Neveh Yarak,نافيه ييرك,Неве Ярак
3,נווה ירק,08.11.2024,15:18:42,2024-11-08T15:19:00,1,ירי רקטות וטילים,1,49706,נווה ירק,Neveh Yarak,نافيه ييرك,Неве Ярак
4,נווה ירק,06.11.2024,11:21:53,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49247,נווה ירק,Neveh Yarak,نافيه ييرك,Неве Ярак
5,נווה ירק,23.10.2024,20:33:12,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46847,נווה ירק,Neveh Yarak,نافيه ييرك,Неве Ярак
6,נווה ירק,14.10.2024,17:33:13,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44372,נווה ירק,Neveh Yarak,نافيه ييرك,Неве Ярак
7,נווה ירק,07.10.2024,23:13:22,2024-10-07T23:13:00,1,ירי רקטות וטילים,1,42926,נווה ירק,Neveh Yarak,نافيه ييرك,Неве Ярак
8,נווה ירק,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42818,נווה ירק,Neveh Yarak,نافيه ييرك,Неве Ярак
9,נווה ירק,01.10.2024,18:37:32,2024-10-01T18:38:00,1,ירי רקטות וטילים,1,39628,נווה ירק,Neveh Yarak,نافيه ييرك,Неве Ярак
10,נווה ירק,01.10.2024,11:03:35,2024-10-01T11:04:00,1,ירי רקטות וטילים,1,39428,נווה ירק,Neveh Yarak,نافيه ييرك,Неве Ярак
11,נווה ירק,20.11.2023,18:03:48,2023-11-20T18:04:00,1,ירי רקטות וטילים,1,25408,נווה ירק,Neveh Yarak,نافيه ييرك,Неве Ярак
12,נווה ירק,05.11.2023,20:01:21,2023-11-05T20:01:00,1,ירי רקטות וטילים,1,24559,נווה ירק,Neveh Yarak,نافيه ييرك,Неве Ярак
13,נווה ירק,31.10.2023,14:36:39,2023-10-31T14:37:00,1,ירי רקטות וטילים,1,24155,נווה ירק,Neveh Yarak,نافيه ييرك,Неве Ярак
14,נווה ירק,28.10.2023,18:10:46,2023-10-28T18:11:00,1,ירי רקטות וטילים,1,23852,נווה ירק,Neveh Yarak,نافيه ييرك,Неве Ярак
15,נווה ירק,24.10.2023,17:01:21,2023-10-24T17:01:00,1,ירי רקטות וטילים,1,23382,נווה ירק,Neveh Yarak,نافيه ييرك,Неве Ярак
16,נווה ירק,14.10.2023,21:01:01,2023-10-14T21:01:00,1,ירי רקטות וטילים,1,22258,נווה ירק,Neveh Yarak,نافيه ييرك,Неве Ярак
17,נווה ירק,07.10.2023,20:00:37,2023-10-07T20:01:00,1,ירי רקטות וטילים,1,20275,נווה ירק,Neveh Yarak,نافيه ييرك,Неве Ярак
