,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,נופך,24.11.2024,12:52:33,2024-11-24T12:53:00,1,ירי רקטות וטילים,1,52127,נופך,Nofech,نوفخ,Нофех
1,נופך,12.11.2024,16:36:38,2024-11-12T16:37:00,1,ירי רקטות וטילים,1,50413,נופך,Nofech,نوفخ,Нофех
2,נופך,06.11.2024,16:17:26,2024-11-06T16:17:00,1,ירי רקטות וטילים,1,49386,נופך,Nofech,نوفخ,Нофех
3,נופך,06.11.2024,11:22:42,2024-11-06T11:23:00,1,ירי רקטות וטילים,1,49290,נופך,Nofech,نوفخ,Нофех
4,נופך,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42819,נופך,Nofech,نوفخ,Нофех
5,נופך,01.10.2024,19:39:37,2024-10-01T19:40:00,1,ירי רקטות וטילים,1,40268,נופך,Nofech,نوفخ,Нофех
6,נופך,28.09.2024,17:41:08,2024-09-28T17:41:00,1,ירי רקטות וטילים,1,39005,נופך,Nofech,نوفخ,Нофех
7,נופך,27.09.2024,00:40:30,2024-09-27T00:41:00,1,ירי רקטות וטילים,1,38016,נופך,Nofech,نوفخ,Нофех
8,נופך,15.09.2024,06:32:26,2024-09-15T06:32:00,1,ירי רקטות וטילים,1,36163,נופך,Nofech,نوفخ,Нофех
9,נופך,02.12.2023,22:02:47,2023-12-02T22:03:00,1,ירי רקטות וטילים,1,25987,נופך,Nofech,نوفخ,Нофех
10,נופך,20.11.2023,18:03:48,2023-11-20T18:04:00,1,ירי רקטות וטילים,1,25409,נופך,Nofech,نوفخ,Нофех
11,נופך,07.11.2023,21:01:23,2023-11-07T21:01:00,1,ירי רקטות וטילים,1,24723,נופך,Nofech,نوفخ,Нофех
12,נופך,02.11.2023,17:01:28,2023-11-02T17:01:00,1,ירי רקטות וטילים,1,24342,נופך,Nofech,نوفخ,Нофех
13,נופך,28.10.2023,18:10:41,2023-10-28T18:11:00,1,ירי רקטות וטילים,1,23845,נופך,Nofech,نوفخ,Нофех
14,נופך,24.10.2023,17:01:57,2023-10-24T17:02:00,1,ירי רקטות וטילים,1,23413,נופך,Nofech,نوفخ,Нофех
15,נופך,24.10.2023,15:32:03,2023-10-24T15:32:00,1,ירי רקטות וטילים,1,23313,נופך,Nofech,نوفخ,Нофех
16,נופך,24.10.2023,15:16:12,2023-10-24T15:16:00,1,ירי רקטות וטילים,1,23273,נופך,Nofech,نوفخ,Нофех
17,נופך,17.10.2023,22:00:26,2023-10-17T22:00:00,1,ירי רקטות וטילים,1,22780,נופך,Nofech,نوفخ,Нофех
18,נופך,17.10.2023,20:00:16,2023-10-17T20:00:00,1,ירי רקטות וטילים,1,22737,נופך,Nofech,نوفخ,Нофех
19,נופך,14.10.2023,21:02:19,2023-10-14T21:02:00,1,ירי רקטות וטילים,1,22283,נופך,Nofech,نوفخ,Нофех
20,נופך,07.10.2023,07:33:23,2023-10-07T07:33:00,1,ירי רקטות וטילים,1,17688,נופך,Nofech,نوفخ,Нофех
