,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,נחלים,24.11.2024,12:52:31,2024-11-24T12:53:00,1,ירי רקטות וטילים,1,52120,נחלים,Nechalim,نحليم,Нехалим
1,נחלים,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51276,נחלים,Nechalim,نحليم,Нехалим
2,נחלים,12.11.2024,16:36:38,2024-11-12T16:37:00,1,ירי רקטות וטילים,1,50414,נחלים,Nechalim,نحليم,Нехалим
3,נחלים,06.11.2024,16:17:26,2024-11-06T16:17:00,1,ירי רקטות וטילים,1,49387,נחלים,Nechalim,نحليم,Нехалим
4,נחלים,06.11.2024,11:22:42,2024-11-06T11:23:00,1,ירי רקטות וטילים,1,49291,נחלים,Nechalim,نحليم,Нехалим
5,נחלים,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42820,נחלים,Nechalim,نحليم,Нехалим
6,נחלים,28.09.2024,17:41:08,2024-09-28T17:41:00,1,ירי רקטות וטילים,1,39006,נחלים,Nechalim,نحليم,Нехалим
7,נחלים,27.09.2024,00:40:30,2024-09-27T00:41:00,1,ירי רקטות וטילים,1,38017,נחלים,Nechalim,نحليم,Нехалим
8,נחלים,15.09.2024,06:32:26,2024-09-15T06:32:00,1,ירי רקטות וטילים,1,36164,נחלים,Nechalim,نحليم,Нехалим
9,נחלים,05.12.2023,15:20:21,2023-12-05T15:20:00,1,ירי רקטות וטילים,1,26170,נחלים,Nechalim,نحليم,Нехалим
10,נחלים,02.12.2023,22:02:47,2023-12-02T22:03:00,1,ירי רקטות וטילים,1,25988,נחלים,Nechalim,نحليم,Нехалим
11,נחלים,20.11.2023,18:03:48,2023-11-20T18:04:00,1,ירי רקטות וטילים,1,25410,נחלים,Nechalim,نحليم,Нехалим
12,נחלים,07.11.2023,21:34:10,2023-11-07T21:34:00,1,ירי רקטות וטילים,1,24745,נחלים,Nechalim,نحليم,Нехалим
13,נחלים,07.11.2023,21:01:23,2023-11-07T21:01:00,1,ירי רקטות וטילים,1,24724,נחלים,Nechalim,نحليم,Нехалим
14,נחלים,02.11.2023,17:01:28,2023-11-02T17:01:00,1,ירי רקטות וטילים,1,24343,נחלים,Nechalim,نحليم,Нехалим
15,נחלים,28.10.2023,18:10:41,2023-10-28T18:11:00,1,ירי רקטות וטילים,1,23846,נחלים,Nechalim,نحليم,Нехалим
16,נחלים,25.10.2023,21:31:15,2023-10-25T21:31:00,1,ירי רקטות וטילים,1,23481,נחלים,Nechalim,نحليم,Нехалим
17,נחלים,24.10.2023,17:01:24,2023-10-24T17:01:00,1,ירי רקטות וטילים,1,23410,נחלים,Nechalim,نحليم,Нехалим
18,נחלים,17.10.2023,22:00:26,2023-10-17T22:00:00,1,ירי רקטות וטילים,1,22781,נחלים,Nechalim,نحليم,Нехалим
19,נחלים,14.10.2023,21:02:19,2023-10-14T21:02:00,1,ירי רקטות וטילים,1,22284,נחלים,Nechalim,نحليم,Нехалим
20,נחלים,14.10.2023,17:01:13,2023-10-14T17:01:00,1,ירי רקטות וטילים,1,22200,נחלים,Nechalim,نحليم,Нехалим
21,נחלים,07.10.2023,20:00:37,2023-10-07T20:01:00,1,ירי רקטות וטילים,1,20276,נחלים,Nechalim,نحليم,Нехалим
22,נחלים,07.10.2023,07:33:23,2023-10-07T07:33:00,1,ירי רקטות וטילים,1,17689,נחלים,Nechalim,نحليم,Нехалим
