,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,נטועה,24.11.2024,14:37:11,2024-11-24T14:37:00,1,ירי רקטות וטילים,1,52263,נטועה,Netua,نتوعاه,Нетуа
1,נטועה,19.11.2024,09:50:09,2024-11-19T09:50:00,1,ירי רקטות וטילים,1,51391,נטועה,Netua,نتوعاه,Нетуа
2,נטועה,18.11.2024,11:48:07,2024-11-18T11:48:00,1,ירי רקטות וטילים,1,51153,נטועה,Netua,نتوعاه,Нетуа
3,נטועה,17.11.2024,16:23:00,2024-11-17T16:23:00,1,ירי רקטות וטילים,1,51102,נטועה,Netua,نتوعاه,Нетуа
4,נטועה,17.11.2024,16:22:06,2024-11-17T16:22:00,1,ירי רקטות וטילים,1,51095,נטועה,Netua,نتوعاه,Нетуа
5,נטועה,13.11.2024,12:15:03,2024-11-13T12:15:00,1,ירי רקטות וטילים,1,50491,נטועה,Netua,نتوعاه,Нетуа
6,נטועה,12.11.2024,15:06:58,2024-11-12T15:07:00,1,ירי רקטות וטילים,1,50335,נטועה,Netua,نتوعاه,Нетуа
7,נטועה,11.11.2024,13:35:36,2024-11-11T13:36:00,1,ירי רקטות וטילים,1,50107,נטועה,Netua,نتوعاه,Нетуа
8,נטועה,11.11.2024,10:29:53,2024-11-11T10:30:00,1,ירי רקטות וטילים,1,49988,נטועה,Netua,نتوعاه,Нетуа
9,נטועה,07.11.2024,13:41:13,2024-11-07T13:41:00,1,ירי רקטות וטילים,1,49450,נטועה,Netua,نتوعاه,Нетуа
10,נטועה,28.10.2024,17:10:03,2024-10-28T17:10:00,1,ירי רקטות וטילים,1,47547,נטועה,Netua,نتوعاه,Нетуа
11,נטועה,28.10.2024,15:51:03,2024-10-28T15:51:00,1,ירי רקטות וטילים,1,47539,נטועה,Netua,نتوعاه,Нетуа
12,נטועה,28.10.2024,15:41:55,2024-10-28T15:42:00,1,ירי רקטות וטילים,1,47536,נטועה,Netua,نتوعاه,Нетуа
13,נטועה,28.10.2024,15:41:20,2024-10-28T15:41:00,1,ירי רקטות וטילים,1,47535,נטועה,Netua,نتوعاه,Нетуа
14,נטועה,27.10.2024,21:10:24,2024-10-27T21:10:00,2,חדירת כלי טיס עוין,6,47455,נטועה,Netua,نتوعاه,Нетуа
15,נטועה,20.10.2024,21:58:47,2024-10-20T21:59:00,1,ירי רקטות וטילים,1,45840,נטועה,Netua,نتوعاه,Нетуа
16,נטועה,19.10.2024,12:27:53,2024-10-19T12:28:00,1,ירי רקטות וטילים,1,45484,נטועה,Netua,نتوعاه,Нетуа
17,נטועה,18.10.2024,19:21:36,2024-10-18T19:22:00,1,ירי רקטות וטילים,1,45290,נטועה,Netua,نتوعاه,Нетуа
18,נטועה,18.10.2024,19:20:02,2024-10-18T19:20:00,1,ירי רקטות וטילים,1,45289,נטועה,Netua,نتوعاه,Нетуа
19,נטועה,18.10.2024,15:25:19,2024-10-18T15:25:00,1,ירי רקטות וטילים,1,45265,נטועה,Netua,نتوعاه,Нетуа
20,נטועה,17.10.2024,07:29:33,2024-10-17T07:30:00,1,ירי רקטות וטילים,1,45117,נטועה,Netua,نتوعاه,Нетуа
21,נטועה,15.10.2024,22:06:26,2024-10-15T22:06:00,1,ירי רקטות וטילים,1,44774,נטועה,Netua,نتوعاه,Нетуа
22,נטועה,13.10.2024,19:01:13,2024-10-13T19:01:00,1,ירי רקטות וטילים,1,44131,נטועה,Netua,نتوعاه,Нетуа
23,נטועה,13.10.2024,07:05:40,2024-10-13T07:06:00,1,ירי רקטות וטילים,1,43912,נטועה,Netua,نتوعاه,Нетуа
24,נטועה,13.10.2024,03:07:55,2024-10-13T03:08:00,1,ירי רקטות וטילים,1,43873,נטועה,Netua,نتوعاه,Нетуа
25,נטועה,11.10.2024,15:01:17,2024-10-11T15:01:00,1,ירי רקטות וטילים,1,43525,נטועה,Netua,نتوعاه,Нетуа
26,נטועה,03.10.2024,11:51:22,2024-10-03T11:51:00,1,ירי רקטות וטילים,1,41747,נטועה,Netua,نتوعاه,Нетуа
27,נטועה,01.10.2024,16:11:39,2024-10-01T16:12:00,1,ירי רקטות וטילים,1,39541,נטועה,Netua,نتوعاه,Нетуа
28,נטועה,01.10.2024,01:37:35,2024-10-01T01:38:00,1,ירי רקטות וטילים,1,39379,נטועה,Netua,نتوعاه,Нетуа
29,נטועה,29.09.2024,18:34:04,2024-09-29T18:34:00,1,ירי רקטות וטילים,1,39211,נטועה,Netua,نتوعاه,Нетуа
30,נטועה,28.09.2024,13:42:36,2024-09-28T13:43:00,1,ירי רקטות וטילים,1,38887,נטועה,Netua,نتوعاه,Нетуа
31,נטועה,28.09.2024,10:42:57,2024-09-28T10:43:00,1,ירי רקטות וטילים,1,38786,נטועה,Netua,نتوعاه,Нетуа
32,נטועה,28.09.2024,09:36:21,2024-09-28T09:36:00,1,ירי רקטות וטילים,1,38687,נטועה,Netua,نتوعاه,Нетуа
33,נטועה,28.09.2024,08:01:08,2024-09-28T08:01:00,1,ירי רקטות וטילים,1,38290,נטועה,Netua,نتوعاه,Нетуа
34,נטועה,25.09.2024,10:33:42,2024-09-25T10:34:00,1,ירי רקטות וטילים,1,37815,נטועה,Netua,نتوعاه,Нетуа
35,נטועה,24.09.2024,02:40:04,2024-09-24T02:40:00,1,ירי רקטות וטילים,1,37340,נטועה,Netua,نتوعاه,Нетуа
36,נטועה,23.09.2024,17:04:24,2024-09-23T17:04:00,2,חדירת כלי טיס עוין,6,37109,נטועה,Netua,نتوعاه,Нетуа
37,נטועה,23.09.2024,14:30:39,2024-09-23T14:31:00,1,ירי רקטות וטילים,1,37033,נטועה,Netua,نتوعاه,Нетуа
38,נטועה,23.09.2024,12:24:56,2024-09-23T12:25:00,2,חדירת כלי טיס עוין,6,36993,נטועה,Netua,نتوعاه,Нетуа
39,נטועה,23.09.2024,06:31:43,2024-09-23T06:32:00,1,ירי רקטות וטילים,1,36954,נטועה,Netua,نتوعاه,Нетуа
40,נטועה,20.09.2024,13:57:06,2024-09-20T13:57:00,1,ירי רקטות וטילים,1,36456,נטועה,Netua,نتوعاه,Нетуа
41,נטועה,19.09.2024,15:53:01,2024-09-19T15:53:00,1,ירי רקטות וטילים,1,36386,נטועה,Netua,نتوعاه,Нетуа
42,נטועה,12.09.2024,13:00:25,2024-09-12T13:00:00,1,ירי רקטות וטילים,1,36019,נטועה,Netua,نتوعاه,Нетуа
43,נטועה,06.09.2024,15:14:25,2024-09-06T15:14:00,2,חדירת כלי טיס עוין,6,35837,נטועה,Netua,نتوعاه,Нетуа
44,נטועה,04.09.2024,13:40:56,2024-09-04T13:41:00,1,ירי רקטות וטילים,1,35778,נטועה,Netua,نتوعاه,Нетуа
